game_pk,date,game_time_utc,venue_id,venue_name,home_team,away_team,home_team_id,away_team_id,home_runs,away_runs,total_runs,home_sp_id,home_sp_name,away_sp_id,away_sp_name
746890,2024-05-03,2024-05-03T18:20:00Z,17,Wrigley Field,Chicago Cubs,Milwaukee Brewers,112,158,1,3,4,669713,Hayden Wesneski,605452,Joe Ross
746721,2024-05-03,2024-05-03T22:10:00Z,2602,Great American Ball Park,Cincinnati Reds,Baltimore Orioles,113,110,0,3,3,668881,Hunter Greene,608344,Cole Irvin
745510,2024-05-03,2024-05-03T22:40:00Z,31,PNC Park,Pittsburgh Pirates,Colorado Rockies,134,115,2,3,5,527048,Martín Pérez,615698,Cal Quantrill
745589,2024-05-03,2024-05-03T22:40:00Z,2681,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,143,137,4,3,7,605400,Aaron Nola,663855,Jordan Hicks
744868,2024-05-03,2024-05-03T22:45:00Z,3309,Nationals Park,Washington Nationals,Toronto Blue Jays,120,141,9,3,12,571578,Patrick Corbin,579328,Yusei Kikuchi
745101,2024-05-03,2024-05-03T22:50:00Z,12,Tropicana Field,Tampa Bay Rays,New York Mets,139,121,10,8,18,650644,Aaron Civale,500779,Jose Quintana
745756,2024-05-03,2024-05-03T23:05:00Z,3313,Yankee Stadium,New York Yankees,Detroit Tigers,147,116,2,1,3,573186,Marcus Stroman,681857,Reese Olson
746645,2024-05-03,2024-05-03T23:10:00Z,5,Progressive Field,Cleveland Guardians,Los Angeles Angels,114,108,0,6,6,676440,Tanner Bibee,667755,José Soriano
746318,2024-05-03,2024-05-03T23:40:00Z,7,Kauffman Stadium,Kansas City Royals,Texas Rangers,118,140,7,1,8,663903,Brady Singer,547179,Michael Lorenzen
746402,2024-05-03,2024-05-04T00:10:00Z,2392,Minute Maid Park,Houston Astros,Seattle Mariners,117,136,5,3,8,669854,Ronel Blanco,669923,George Kirby
745914,2024-05-03,2024-05-04T00:10:00Z,3312,Target Field,Minnesota Twins,Boston Red Sox,142,111,5,2,7,663978,Chris Paddack,656557,Tanner Houck
745187,2024-05-03,2024-05-04T00:15:00Z,2889,Busch Stadium,St. Louis Cardinals,Chicago White Sox,138,145,3,0,3,543243,Sonny Gray,641745,Brad Keller
747208,2024-05-03,2024-05-04T01:40:00Z,15,Chase Field,Arizona Diamondbacks,San Diego Padres,109,135,1,7,8,677944,Slade Cecconi,656302,Dylan Cease
745665,2024-05-03,2024-05-04T01:40:00Z,10,Oakland Coliseum,Oakland Athletics,Miami Marlins,133,146,3,1,4,676664,JP Sears,677960,Ryan Weathers
746152,2024-05-03,2024-05-04T02:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,Atlanta Braves,119,144,4,3,7,694813,Gavin Stone,450203,Charlie Morton
745750,2024-05-04,2024-05-04T17:05:00Z,3313,Yankee Stadium,New York Yankees,Detroit Tigers,147,116,5,3,8,657376,Clarke Schmidt,663554,Casey Mize
745911,2024-05-04,2024-05-04T18:10:00Z,3312,Target Field,Minnesota Twins,Boston Red Sox,142,111,3,1,4,641154,Pablo López,657514,Brennan Bernardino
745183,2024-05-04,2024-05-04T18:15:00Z,2889,Busch Stadium,St. Louis Cardinals,Chicago White Sox,138,145,5,6,11,458681,Lance Lynn,607200,Erick Fedde
746884,2024-05-04,2024-05-04T18:20:00Z,17,Wrigley Field,Chicago Cubs,Milwaukee Brewers,112,158,6,5,11,592791,Jameson Taillon,668964,Tobias Myers
745511,2024-05-04,2024-05-04T20:05:00Z,31,PNC Park,Pittsburgh Pirates,Colorado Rockies,134,115,1,0,1,683003,Jared Jones,596295,Austin Gomber
744862,2024-05-04,2024-05-04T20:05:00Z,3309,Nationals Park,Washington Nationals,Toronto Blue Jays,120,141,3,6,9,663623,Jake Irvin,592332,Kevin Gausman
745666,2024-05-04,2024-05-04T20:07:00Z,10,Oakland Coliseum,Oakland Athletics,Miami Marlins,133,146,20,4,24,621112,Paul Blackburn,669432,Trevor Rogers
745583,2024-05-04,2024-05-04T22:05:00Z,2681,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,143,137,14,3,17,624133,Ranger Suarez,676775,Keaton Winn
746644,2024-05-04,2024-05-04T22:10:00Z,5,Progressive Field,Cleveland Guardians,Los Angeles Angels,114,108,7,1,8,594902,Ben Lively,672282,Reid Detmers
746720,2024-05-04,2024-05-04T22:40:00Z,2602,Great American Ball Park,Cincinnati Reds,Baltimore Orioles,113,110,1,2,3,671096,Andrew Abbott,607644,John Means
746311,2024-05-04,2024-05-04T23:10:00Z,7,Kauffman Stadium,Kansas City Royals,Texas Rangers,118,140,4,15,19,608379,Michael Wacha,641540,Dane Dunning
746394,2024-05-04,2024-05-04T23:15:00Z,2392,Minute Maid Park,Houston Astros,Seattle Mariners,117,136,0,5,5,664285,Framber Valdez,669302,Logan Gilbert
745100,2024-05-04,2024-05-04T23:15:00Z,12,Tropicana Field,Tampa Bay Rays,New York Mets,139,121,3,1,4,641793,Zack Littell,681035,Christian Scott
747209,2024-05-04,2024-05-05T00:10:00Z,15,Chase Field,Arizona Diamondbacks,San Diego Padres,109,135,1,13,14,694297,Brandon Pfaadt,650633,Michael King
746155,2024-05-04,2024-05-05T01:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,Atlanta Braves,119,144,11,2,13,607192,Tyler Glasnow,693821,Bryce Elder
745504,2024-05-05,2024-05-05T17:35:00Z,31,PNC Park,Pittsburgh Pirates,Colorado Rockies,134,115,5,3,8,663559,Bailey Falter,663372,Ryan Feltner
744861,2024-05-05,2024-05-05T17:35:00Z,3309,Nationals Park,Washington Nationals,Toronto Blue Jays,120,141,11,8,19,669022,MacKenzie Gore,666201,Alek Manoah
746643,2024-05-05,2024-05-05T17:40:00Z,5,Progressive Field,Cleveland Guardians,Los Angeles Angels,114,108,4,1,5,471911,Carlos Carrasco,656288,Griffin Canning
745103,2024-05-05,2024-05-05T17:40:00Z,12,Tropicana Field,Tampa Bay Rays,New York Mets,139,121,7,6,13,686752,Ryan Pepiot,622663,Luis Severino
746395,2024-05-05,2024-05-05T18:10:00Z,2392,Minute Maid Park,Houston Astros,Seattle Mariners,117,136,4,5,9,686613,Hunter Brown,682243,Bryce Miller
746314,2024-05-05,2024-05-05T18:10:00Z,7,Kauffman Stadium,Kansas City Royals,Texas Rangers,118,140,2,3,5,663738,Daniel Lynch IV,592351,Jon Gray
745913,2024-05-05,2024-05-05T18:10:00Z,3312,Target Field,Minnesota Twins,Boston Red Sox,142,111,2,9,11,657746,Joe Ryan,681867,Cooper Criswell
745185,2024-05-05,2024-05-05T18:15:00Z,2889,Busch Stadium,St. Louis Cardinals,Chicago White Sox,138,145,1,5,6,669461,Matthew Liberatore,676979,Garrett Crochet
746883,2024-05-05,2024-05-05T18:20:00Z,17,Wrigley Field,Chicago Cubs,Milwaukee Brewers,112,158,5,0,5,665871,Javier Assad,642547,Freddy Peralta
745667,2024-05-05,2024-05-05T20:07:00Z,10,Oakland Coliseum,Oakland Athletics,Miami Marlins,133,146,3,12,15,671212,Joe Boyle,664350,Sixto Sánchez
746719,2024-05-05,2024-05-05T20:10:00Z,2602,Great American Ball Park,Cincinnati Reds,Baltimore Orioles,113,110,1,11,12,666157,Nick Lodolo,665152,Dean Kremer
747206,2024-05-05,2024-05-05T20:10:00Z,15,Chase Field,Arizona Diamondbacks,San Diego Padres,109,135,11,4,15,669194,Ryne Nelson,663362,Matt Waldron
746153,2024-05-05,2024-05-05T20:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,Atlanta Braves,119,144,5,1,6,572020,James Paxton,608331,Max Fried
745587,2024-05-05,2024-05-05T23:10:00Z,2681,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,143,137,5,4,9,592836,Taijuan Walker,657277,Logan Webb
745585,2024-05-06,2024-05-06T20:05:00Z,2681,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,143,137,6,1,7,554430,Zack Wheeler,696131,Mason Black
746639,2024-05-06,2024-05-06T22:10:00Z,5,Progressive Field,Cleveland Guardians,Detroit Tigers,114,116,2,1,3,663474,Triston McKenzie,656427,Jack Flaherty
745509,2024-05-06,2024-05-06T22:40:00Z,31,PNC Park,Pittsburgh Pirates,Los Angeles Angels,134,108,4,1,5,656605,Mitch Keller,542881,Tyler Anderson
745098,2024-05-06,2024-05-06T22:50:00Z,12,Tropicana Field,Tampa Bay Rays,Chicago White Sox,139,145,8,2,10,641302,Tyler Alexander,605182,Mike Clevinger
746313,2024-05-06,2024-05-06T23:10:00Z,7,Kauffman Stadium,Kansas City Royals,Milwaukee Brewers,118,158,3,2,5,666142,Cole Ragans,669060,Bryse Wilson
746886,2024-05-06,2024-05-06T23:40:00Z,17,Wrigley Field,Chicago Cubs,San Diego Padres,112,135,3,6,9,657006,Justin Steele,506433,Yu Darvish
745912,2024-05-06,2024-05-06T23:40:00Z,3312,Target Field,Minnesota Twins,Seattle Mariners,142,136,3,1,4,680573,Simeon Woods Richardson,622491,Luis Castillo
745182,2024-05-06,2024-05-06T23:45:00Z,2889,Busch Stadium,St. Louis Cardinals,New York Mets,138,121,3,4,7,502043,Kyle Gibson,640455,Sean Manaea
745669,2024-05-06,2024-05-07T01:40:00Z,10,Oakland Coliseum,Oakland Athletics,Texas Rangers,133,140,2,4,6,622072,Alex Wood,571760,Andrew Heaney
746149,2024-05-06,2024-05-07T02:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,Miami Marlins,119,146,6,3,9,621111,Walker Buehler,682610,Roddery Muñoz
745668,2024-05-07,2024-05-07T19:37:00Z,10,Oakland Coliseum,Oakland Athletics,Texas Rangers,133,140,8,15,23,548389,Ross Stripling,570632,José Ureña
746638,2024-05-07,2024-05-07T22:10:00Z,5,Progressive Field,Cleveland Guardians,Detroit Tigers,114,116,7,11,18,671106,Logan Allen,628317,Kenta Maeda
746718,2024-05-07,2024-05-07T22:40:00Z,2602,Great American Ball Park,Cincinnati Reds,Arizona Diamondbacks,113,109,2,6,8,593423,Frankie Montas,668678,Zac Gallen
745508,2024-05-07,2024-05-07T22:40:00Z,31,PNC Park,Pittsburgh Pirates,Los Angeles Angels,134,108,0,9,9,682990,Quinn Priester,663776,Patrick Sandoval
745586,2024-05-07,2024-05-07T22:40:00Z,2681,Citizens Bank Park,Philadelphia Phillies,Toronto Blue Jays,143,141,10,1,11,650911,Cristopher Sánchez,621244,José Berríos
744859,2024-05-07,2024-05-07T22:45:00Z,3309,Nationals Park,Washington Nationals,Baltimore Orioles,120,110,3,0,3,592866,Trevor Williams,669203,Corbin Burnes
745095,2024-05-07,2024-05-07T22:50:00Z,12,Tropicana Field,Tampa Bay Rays,Chicago White Sox,139,145,5,1,6,621107,Zach Eflin,647336,Michael Soroka
745752,2024-05-07,2024-05-07T23:05:00Z,3313,Yankee Stadium,New York Yankees,Houston Astros,147,117,10,3,13,661563,Luis Gil,434378,Justin Verlander
747126,2024-05-07,2024-05-07T23:20:00Z,4705,Truist Park,Atlanta Braves,Boston Red Sox,144,111,4,2,6,625643,Reynaldo López,676710,Kutter Crawford
746885,2024-05-07,2024-05-07T23:40:00Z,17,Wrigley Field,Chicago Cubs,San Diego Padres,112,135,3,2,5,684007,Shota Imanaga,681190,Randy Vásquez
745915,2024-05-07,2024-05-07T23:40:00Z,3312,Target Field,Minnesota Twins,Seattle Mariners,142,136,6,10,16,641927,Bailey Ober,676106,Emerson Hancock
746315,2024-05-07,2024-05-07T23:40:00Z,7,Kauffman Stadium,Kansas City Royals,Milwaukee Brewers,118,158,5,6,11,607625,Seth Lugo,607067,Colin Rea
745186,2024-05-07,2024-05-07T23:45:00Z,2889,Busch Stadium,St. Louis Cardinals,New York Mets,138,121,5,7,12,571945,Miles Mikolas,676130,José Buttó
746559,2024-05-07,2024-05-08T00:40:00Z,19,Coors Field,Colorado Rockies,San Francisco Giants,115,137,0,5,5,641712,Dakota Hudson,690986,Kyle Harrison
746147,2024-05-07,2024-05-08T02:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,Miami Marlins,119,146,8,2,10,808967,Yoshinobu Yamamoto,665795,Edward Cabrera
745507,2024-05-08,2024-05-08T16:35:00Z,31,PNC Park,Pittsburgh Pirates,Los Angeles Angels,134,108,4,5,9,527048,Martín Pérez,667755,José Soriano
745584,2024-05-08,2024-05-08T17:05:00Z,2681,Citizens Bank Park,Philadelphia Phillies,Toronto Blue Jays,143,141,3,5,8,605400,Aaron Nola,605135,Chris Bassitt
746640,2024-05-08,2024-05-08T17:10:00Z,5,Progressive Field,Cleveland Guardians,Detroit Tigers,114,116,5,4,9,676440,Tanner Bibee,681857,Reese Olson
746312,2024-05-08,2024-05-08T18:10:00Z,7,Kauffman Stadium,Kansas City Royals,Milwaukee Brewers,118,158,6,4,10,663903,Brady Singer,605452,Joe Ross
746879,2024-05-08,2024-05-08T18:20:00Z,17,Wrigley Field,Chicago Cubs,San Diego Padres,112,135,0,3,3,669713,Hayden Wesneski,656302,Dylan Cease
746151,2024-05-08,2024-05-08T19:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,Miami Marlins,119,146,3,1,4,694813,Gavin Stone,677960,Ryan Weathers
745664,2024-05-08,2024-05-08T19:37:00Z,10,Oakland Coliseum,Oakland Athletics,Texas Rangers,133,140,9,4,13,676664,JP Sears,547179,Michael Lorenzen
745659,2024-05-08,2024-05-08T19:42:00Z,10,Oakland Coliseum,Oakland Athletics,Texas Rangers,133,140,11,12,23,674370,Osvaldo Bido,683004,Jack Leiter
746717,2024-05-08,2024-05-08T22:40:00Z,2602,Great American Ball Park,Cincinnati Reds,Arizona Diamondbacks,113,109,3,4,7,668933,Graham Ashcraft,656756,Jordan Montgomery
744858,2024-05-08,2024-05-08T22:45:00Z,3309,Nationals Park,Washington Nationals,Baltimore Orioles,120,110,6,7,13,680730,Mitchell Parker,680694,Kyle Bradish
745097,2024-05-08,2024-05-08T22:50:00Z,12,Tropicana Field,Tampa Bay Rays,Chicago White Sox,139,145,1,4,5,650644,Aaron Civale,623167,Chris Flexen
745749,2024-05-08,2024-05-08T23:05:00Z,3313,Yankee Stadium,New York Yankees,Houston Astros,147,117,9,4,13,607074,Carlos Rodón,681293,Spencer Arrighetti
747127,2024-05-08,2024-05-08T23:20:00Z,4705,Truist Park,Atlanta Braves,Boston Red Sox,144,111,5,0,5,519242,Chris Sale,601713,Nick Pivetta
