Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,755,5878,1318,188,553,1348,154,4.902597402597403,2017
"Arizona,Detroit",85,489,131,45,53,128,119,0.7142857142857143,2017
"Arizona,Oakland",25,312,65,7,11,100,98,0.25510204081632654,2017
Atlanta,592,5144,1208,129,418,986,160,3.7,2017
"Atlanta,Boston,San Diego",12,62,11,1,4,20,35,0.34285714285714286,2017
"Atlanta,Los Angeles",81,604,163,13,21,73,144,0.5625,2017
"Atlanta,Minnesota",20,198,34,4,8,51,78,0.2564102564102564,2017
"Atlanta,New York",2,37,5,1,1,8,16,0.125,2017
"Atlanta,Pittsburgh",18,153,22,5,16,57,50,0.36,2017
"Atlanta,St. Louis",46,367,93,20,23,88,130,0.35384615384615387,2017
Baltimore,696,5768,1374,221,368,1328,160,4.35,2017
"Baltimore,Philadelphia",20,239,49,1,22,46,93,0.21505376344086022,2017
"Baltimore,Tampa Bay",67,575,148,22,36,167,137,0.48905109489051096,2017
Boston,743,6018,1377,156,556,1162,153,4.856209150326797,2017
"Boston,Oakland",56,367,79,5,27,84,109,0.5137614678899083,2017
"Boston,San Francisco",87,770,203,21,34,107,114,0.7631578947368421,2017
Chicago,1365,11021,2522,366,897,2522,157,8.694267515923567,2017
"Chicago,Detroit",59,518,118,17,75,150,108,0.5462962962962963,2017
"Chicago,Kansas City",78,666,177,17,36,74,156,0.5,2017
"Chicago,Los Angeles,Seattle",6,66,6,1,6,19,33,0.18181818181818182,2017
"Chicago,New York",97,813,156,37,97,195,145,0.6689655172413793,2017
"Chicago,Pittsburgh",36,234,48,4,12,52,103,0.34951456310679613,2017
"Chicago,San Diego",28,237,44,3,34,44,109,0.25688073394495414,2017
"Chicago,Seattle",14,138,22,3,8,33,45,0.3111111111111111,2017
"Chicago,Texas",1,8,0,0,1,2,4,0.25,2017
"Chicago,Toronto",24,213,40,6,23,47,75,0.32,2017
Cincinnati,753,6213,1390,219,565,1329,162,4.648148148148148,2017
Cleveland,796,6051,1408,205,584,1111,159,5.0062893081761,2017
"Cleveland,New York",82,617,141,36,57,139,146,0.5616438356164384,2017
"Cleveland,Tampa Bay",2,43,6,0,5,15,20,0.1,2017
Colorado,801,5947,1451,189,488,1362,159,5.037735849056604,2017
"Colorado,Oakland",10,126,21,2,12,36,39,0.2564102564102564,2017
"Colorado,San Diego",1,14,3,0,1,6,10,0.1,2017
"Colorado,Texas",45,481,112,6,46,51,123,0.36585365853658536,2017
Detroit,570,5028,1155,130,362,1014,157,3.6305732484076434,2017
"Detroit,Los Angeles",100,635,152,35,74,180,152,0.6578947368421053,2017
Houston,862,5984,1515,232,491,1042,154,5.597402597402597,2017
"Houston,Los Angeles",63,450,90,10,51,94,112,0.5625,2017
"Houston,New York,Toronto",48,374,93,5,29,44,109,0.44036697247706424,2017
Kansas City,677,5769,1373,189,378,1140,162,4.179012345679013,2017
"Kansas City,Miami",4,57,8,0,5,10,23,0.17391304347826086,2017
"Kansas City,San Diego",4,36,8,2,1,11,12,0.3333333333333333,2017
Los Angeles,1346,11232,2473,379,1063,2321,158,8.518987341772151,2017
"Los Angeles,Milwaukee",9,119,19,2,10,22,65,0.13846153846153847,2017
"Los Angeles,New York",74,527,95,26,71,123,146,0.5068493150684932,2017
"Los Angeles,Seattle,Tampa Bay",30,295,46,6,21,109,92,0.32608695652173914,2017
"Los Angeles,Tampa Bay",6,39,7,0,4,12,15,0.4,2017
Miami,767,6143,1474,193,481,1266,159,4.823899371069182,2017
"Miami,Tampa Bay",37,348,86,8,13,67,96,0.3854166666666667,2017
Milwaukee,693,5761,1284,210,508,1495,152,4.559210526315789,2017
"Milwaukee,New York",59,460,103,14,57,82,111,0.5315315315315315,2017
"Milwaukee,Oakland",25,303,65,12,21,56,98,0.25510204081632654,2017
"Milwaukee,Pittsburgh",0,6,1,0,0,4,6,0.0,2017
Minnesota,812,6230,1439,205,592,1332,152,5.342105263157895,2017
New York,1335,10486,2410,371,927,2231,155,8.612903225806452,2017
"New York,Philadelphia",11,105,17,2,8,25,67,0.16417910447761194,2017
"New York,Tampa Bay",50,491,92,30,60,135,127,0.3937007874015748,2017
"New York,Texas",6,51,5,1,3,20,32,0.1875,2017
"New York,Toronto",8,98,15,0,8,17,46,0.17391304347826086,2017
Oakland,566,4687,1035,188,430,1145,153,3.6993464052287583,2017
"Oakland,Seattle",96,655,153,31,83,147,139,0.6906474820143885,2017
"Oakland,Tampa Bay",31,313,56,9,28,88,96,0.3229166666666667,2017
Philadelphia,629,5562,1256,164,452,1293,162,3.882716049382716,2017
"Philadelphia,Toronto",26,234,44,6,15,55,72,0.3611111111111111,2017
"Philadelphia,Washington",40,334,96,9,22,68,91,0.43956043956043955,2017
Pittsburgh,645,5925,1297,148,507,1154,159,4.056603773584905,2017
"Pittsburgh,Texas",3,50,7,0,2,12,37,0.08108108108108109,2017
San Diego,568,5646,1194,183,424,1429,155,3.664516129032258,2017
San Francisco,585,5648,1253,119,447,1146,144,4.0625,2017
Seattle,707,5797,1369,190,453,1181,155,4.561290322580645,2017
"Seattle,St. Louis",0,3,1,0,0,1,2,0.0,2017
"Seattle,Toronto",0,3,0,0,0,1,2,0.0,2017
St. Louis,757,6165,1387,195,589,1331,144,5.256944444444445,2017
Tampa Bay,597,5119,1129,194,466,1246,156,3.826923076923077,2017
Texas,767,5766,1253,232,522,1440,162,4.734567901234568,2017
Toronto,671,5939,1286,217,522,1286,157,4.273885350318471,2017
Washington,795,6036,1429,208,531,1289,146,5.445205479452055,2017
