game_pk,date,game_time_utc,venue_id,venue_name,home_team,away_team,home_team_id,away_team_id,home_runs,away_runs,total_runs,home_sp_id,home_sp_name,away_sp_id,away_sp_name
778557,2025-03-27,2025-03-27T19:05:00Z,3313,Yankee Stadium,New York Yankees,Milwaukee Brewers,147,158,4,2,6,607074,Carlos Rodón,642547,Freddy Peralta
778556,2025-03-27,2025-03-27T19:07:00Z,14,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,141,110,2,12,14,621244,José Berríos,621107,Zach Eflin
778553,2025-03-27,2025-03-27T20:05:00Z,5325,Globe Life Field,Texas Rangers,Boston Red Sox,140,111,2,5,7,543135,Nathan Eovaldi,676979,Garrett Crochet
778555,2025-03-27,2025-03-27T20:05:00Z,3309,Nationals Park,Washington Nationals,Philadelphia Phillies,120,143,3,7,10,669022,MacKenzie Gore,554430,Zack Wheeler
778558,2025-03-27,2025-03-27T20:10:00Z,7,Kauffman Stadium,Kansas City Royals,Cleveland Guardians,118,114,4,7,11,666142,Cole Ragans,594902,Ben Lively
778559,2025-03-27,2025-03-27T20:10:00Z,2392,Daikin Park,Houston Astros,New York Mets,117,121,3,1,4,664285,Framber Valdez,605280,Clay Holmes
778561,2025-03-27,2025-03-27T20:10:00Z,2602,Great American Ball Park,Cincinnati Reds,San Francisco Giants,113,137,4,6,10,668881,Hunter Greene,657277,Logan Webb
778545,2025-03-27,2025-03-27T20:10:00Z,2680,Petco Park,San Diego Padres,Atlanta Braves,135,144,7,4,11,650633,Michael King,519242,Chris Sale
778554,2025-03-27,2025-03-27T20:10:00Z,4,Rate Field,Chicago White Sox,Los Angeles Angels,145,108,8,1,9,680732,Sean Burke,579328,Yusei Kikuchi
778562,2025-03-27,2025-03-27T20:10:00Z,4169,loanDepot park,Miami Marlins,Pittsburgh Pirates,146,134,5,4,9,645261,Sandy Alcantara,694973,Paul Skenes
778551,2025-03-27,2025-03-27T20:15:00Z,2889,Busch Stadium,St. Louis Cardinals,Minnesota Twins,138,142,5,3,8,543243,Sonny Gray,641154,Pablo López
778546,2025-03-27,2025-03-27T23:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,Detroit Tigers,119,116,5,4,9,605483,Blake Snell,669373,Tarik Skubal
778552,2025-03-27,2025-03-28T02:10:00Z,15,Chase Field,Arizona Diamondbacks,Chicago Cubs,109,112,6,10,16,668678,Zac Gallen,657006,Justin Steele
778547,2025-03-27,2025-03-28T02:10:00Z,680,T-Mobile Park,Seattle Mariners,Athletics,136,133,4,2,6,669302,Logan Gilbert,622663,Luis Severino
778560,2025-03-28,2025-03-28T20:10:00Z,2523,George M. Steinbrenner Field,Tampa Bay Rays,Colorado Rockies,139,115,3,2,5,686752,Ryan Pepiot,607536,Kyle Freeland
778549,2025-03-28,2025-03-28T23:07:00Z,14,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,141,110,8,2,10,592332,Kevin Gausman,450203,Charlie Morton
778548,2025-03-28,2025-03-28T23:10:00Z,4169,loanDepot park,Miami Marlins,Pittsburgh Pirates,146,134,3,4,7,687362,Connor Gillispie,656605,Mitch Keller
778550,2025-03-28,2025-03-29T00:05:00Z,5325,Globe Life Field,Texas Rangers,Boston Red Sox,140,111,4,1,5,683004,Jack Leiter,656557,Tanner Houck
778518,2025-03-28,2025-03-29T00:10:00Z,2392,Daikin Park,Houston Astros,New York Mets,117,121,1,3,4,686613,Hunter Brown,656731,Tylor Megill
778543,2025-03-28,2025-03-29T01:40:00Z,15,Chase Field,Arizona Diamondbacks,Chicago Cubs,109,112,8,1,9,518876,Merrill Kelly,592791,Jameson Taillon
778541,2025-03-28,2025-03-29T01:40:00Z,680,T-Mobile Park,Seattle Mariners,Athletics,136,133,0,7,7,622491,Luis Castillo,605488,Jeffrey Springs
778542,2025-03-28,2025-03-29T01:40:00Z,2680,Petco Park,San Diego Padres,Atlanta Braves,135,144,4,3,7,656302,Dylan Cease,625643,Reynaldo López
778544,2025-03-28,2025-03-29T02:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,Detroit Tigers,119,116,8,5,13,808967,Yoshinobu Yamamoto,656427,Jack Flaherty
778538,2025-03-29,2025-03-29T17:05:00Z,3313,Yankee Stadium,New York Yankees,Milwaukee Brewers,147,158,20,9,29,608331,Max Fried,641482,Nestor Cortes
778534,2025-03-29,2025-03-29T18:10:00Z,4,Rate Field,Chicago White Sox,Los Angeles Angels,145,108,0,1,1,686563,Jonathan Cannon,667755,José Soriano
778528,2025-03-29,2025-03-29T18:15:00Z,2889,Busch Stadium,St. Louis Cardinals,Minnesota Twins,138,142,5,1,6,607200,Erick Fedde,657746,Joe Ryan
778536,2025-03-29,2025-03-29T19:07:00Z,14,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,141,110,5,9,14,453286,Max Scherzer,665152,Dean Kremer
778535,2025-03-29,2025-03-29T20:05:00Z,3309,Nationals Park,Washington Nationals,Philadelphia Phillies,120,143,6,11,17,663623,Jake Irvin,666200,Jesús Luzardo
778529,2025-03-29,2025-03-29T20:10:00Z,7,Kauffman Stadium,Kansas City Royals,Cleveland Guardians,118,114,4,3,7,607625,Seth Lugo,668909,Gavin Williams
778540,2025-03-29,2025-03-29T20:10:00Z,2602,Great American Ball Park,Cincinnati Reds,San Francisco Giants,113,137,3,2,5,666157,Nick Lodolo,434378,Justin Verlander
778537,2025-03-29,2025-03-29T20:10:00Z,2523,George M. Steinbrenner Field,Tampa Bay Rays,Colorado Rockies,139,115,1,2,3,641793,Zack Littell,622608,Antonio Senzatela
778539,2025-03-29,2025-03-29T20:10:00Z,4169,loanDepot park,Miami Marlins,Pittsburgh Pirates,146,134,5,4,9,678368,Valente Bellozo,663559,Bailey Falter
778531,2025-03-29,2025-03-29T23:05:00Z,5325,Globe Life Field,Texas Rangers,Boston Red Sox,140,111,4,3,7,641816,Tyler Mahle,621111,Walker Buehler
778530,2025-03-29,2025-03-29T23:15:00Z,2392,Daikin Park,Houston Astros,New York Mets,117,121,2,1,3,681293,Spencer Arrighetti,656288,Griffin Canning
778520,2025-03-29,2025-03-29T23:15:00Z,2680,Petco Park,San Diego Padres,Atlanta Braves,135,144,1,0,1,681190,Randy Vásquez,680885,Spencer Schwellenbach
778532,2025-03-29,2025-03-30T00:10:00Z,15,Chase Field,Arizona Diamondbacks,Chicago Cubs,109,112,3,4,7,694297,Brandon Pfaadt,684007,Shota Imanaga
778533,2025-03-29,2025-03-30T01:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,Detroit Tigers,119,116,7,3,10,808963,Roki Sasaki,681857,Reese Olson
778521,2025-03-29,2025-03-30T01:40:00Z,680,T-Mobile Park,Seattle Mariners,Athletics,136,133,2,4,6,682243,Bryce Miller,674370,Osvaldo Bido
778526,2025-03-30,2025-03-30T17:35:00Z,3309,Nationals Park,Washington Nationals,Philadelphia Phillies,120,143,5,1,6,680730,Mitchell Parker,605400,Aaron Nola
778523,2025-03-30,2025-03-30T17:35:00Z,3313,Yankee Stadium,New York Yankees,Milwaukee Brewers,147,158,12,3,15,573186,Marcus Stroman,650644,Aaron Civale
778525,2025-03-30,2025-03-30T17:37:00Z,14,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,141,110,3,1,4,605135,Chris Bassitt,608372,Tomoyuki Sugano
778522,2025-03-30,2025-03-30T17:40:00Z,2602,Great American Ball Park,Cincinnati Reds,San Francisco Giants,113,137,3,6,9,607259,Nick Martinez,592662,Robbie Ray
