Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,617,5610,1161,166,528,1369,158,3.9050632911392404,2018
"Arizona,Atlanta",3,17,3,0,1,1,8,0.375,2018
"Arizona,Kansas City",74,586,141,3,33,95,143,0.5174825174825175,2018
"Arizona,Minnesota",75,631,154,23,52,126,151,0.4966887417218543,2018
"Arizona,Seattle",6,33,7,1,1,9,20,0.3,2018
Atlanta,729,5924,1379,168,484,1201,162,4.5,2018
"Atlanta,Baltimore",0,25,1,0,4,11,12,0.0,2018
"Atlanta,Cincinnati",67,613,113,21,50,161,138,0.4855072463768116,2018
"Atlanta,Kansas City",35,367,79,14,28,102,107,0.32710280373831774,2018
"Atlanta,Los Angeles",8,91,20,4,4,35,33,0.24242424242424243,2018
"Atlanta,New York,Philadelphia",52,399,66,13,67,111,122,0.4262295081967213,2018
"Atlanta,Texas",1,75,10,1,2,21,28,0.03571428571428571,2018
Baltimore,446,4459,946,129,290,1096,156,2.858974358974359,2018
"Baltimore,Los Angeles",92,784,203,37,77,117,162,0.5679012345679012,2018
"Baltimore,Milwaukee",115,1016,231,35,60,253,141,0.8156028368794326,2018
"Baltimore,New York",21,246,42,3,31,58,96,0.21875,2018
"Baltimore,Seattle",4,67,14,0,5,19,26,0.15384615384615385,2018
"Baltimore,Texas",28,261,61,8,19,62,73,0.3835616438356164,2018
Boston,839,5991,1439,200,536,1200,150,5.593333333333334,2018
"Boston,Los Angeles",66,534,117,14,40,64,128,0.515625,2018
"Boston,Tampa Bay",2,10,1,0,1,7,6,0.3333333333333333,2018
"Boston,Toronto",35,251,61,11,29,41,76,0.4605263157894737,2018
Chicago,1368,12026,2701,337,981,2870,160,8.55,2018
"Chicago,Milwaukee",13,139,31,5,9,41,58,0.22413793103448276,2018
"Chicago,Minnesota",22,246,58,4,16,69,76,0.2894736842105263,2018
"Chicago,New York",0,2,0,0,0,2,2,0.0,2018
"Chicago,Oakland",15,137,15,3,7,50,51,0.29411764705882354,2018
"Chicago,Texas",1,27,3,1,1,12,12,0.08333333333333333,2018
"Chicago,Washington",40,351,98,12,20,40,91,0.43956043956043955,2018
Cincinnati,649,5712,1314,153,516,1231,157,4.13375796178344,2018
"Cincinnati,Houston",5,42,9,1,2,16,15,0.3333333333333333,2018
"Cincinnati,Kansas City",25,302,65,1,19,57,86,0.29069767441860467,2018
"Cincinnati,New York",25,331,58,11,27,71,84,0.2976190476190476,2018
Cleveland,807,6219,1428,211,541,1177,158,5.1075949367088604,2018
"Cleveland,Detroit",48,353,81,11,30,77,84,0.5714285714285714,2018
"Cleveland,San Diego",6,62,10,3,5,19,21,0.2857142857142857,2018
"Cleveland,Toronto",30,219,46,8,31,54,52,0.5769230769230769,2018
Colorado,777,6160,1415,209,505,1395,160,4.85625,2018
"Colorado,Kansas City",13,182,31,3,15,39,61,0.21311475409836064,2018
Detroit,585,5693,1250,126,399,1266,157,3.7261146496815285,2018
Houston,778,5997,1358,201,561,1159,157,4.955414012738854,2018
"Houston,Los Angeles",39,404,84,9,16,98,119,0.3277310924369748,2018
Kansas City,470,4356,971,113,307,943,158,2.9746835443037973,2018
"Kansas City,Milwaukee",81,782,169,30,60,164,152,0.5328947368421053,2018
"Kansas City,Washington",20,180,38,6,16,57,74,0.2702702702702703,2018
Los Angeles,1360,10936,2393,405,1038,2441,162,8.395061728395062,2018
"Los Angeles,Miami",0,5,1,0,0,1,5,0.0,2018
"Los Angeles,Minnesota",120,1057,207,23,112,212,151,0.7947019867549668,2018
"Los Angeles,Pittsburgh",38,312,83,11,24,72,112,0.3392857142857143,2018
"Los Angeles,Toronto",0,3,1,0,0,1,2,0.0,2018
Miami,526,5329,1151,106,352,1211,156,3.371794871794872,2018
"Miami,Philadelphia",49,501,96,20,73,124,141,0.3475177304964539,2018
"Miami,Pittsburgh",0,18,3,0,2,7,15,0.0,2018
"Miami,Seattle",32,384,85,4,38,75,129,0.24806201550387597,2018
Milwaukee,654,5247,1189,189,459,1187,152,4.302631578947368,2018
"Milwaukee,San Diego",3,20,0,0,3,8,13,0.23076923076923078,2018
"Milwaukee,Tampa Bay",46,476,107,17,48,138,75,0.6133333333333333,2018
"Milwaukee,Toronto",60,403,83,13,54,106,123,0.4878048780487805,2018
"Milwaukee,Washington",3,55,4,0,1,31,29,0.10344827586206896,2018
Minnesota,568,4715,1061,121,405,1000,156,3.641025641025641,2018
"Minnesota,New York",34,272,56,17,19,97,69,0.4927536231884058,2018
"Minnesota,Seattle",2,38,5,1,4,8,16,0.125,2018
"Minnesota,Tampa Bay",28,233,49,9,7,72,83,0.3373493975903614,2018
New York,1335,10787,2293,367,1024,2399,158,8.449367088607595,2018
"New York,Philadelphia",68,592,143,23,41,119,147,0.46258503401360546,2018
"New York,Pittsburgh,Tampa Bay",34,321,73,6,16,58,94,0.3617021276595745,2018
"New York,San Francisco",112,1057,230,23,121,278,155,0.7225806451612903,2018
"New York,St. Louis",30,161,46,15,17,43,47,0.6382978723404256,2018
"New York,Toronto",19,218,43,7,18,53,38,0.5,2018
Oakland,812,6248,1406,227,550,1377,162,5.012345679012346,2018
Philadelphia,630,5735,1178,177,544,1434,161,3.9130434782608696,2018
"Philadelphia,Tampa Bay",39,416,117,15,32,80,111,0.35135135135135137,2018
"Philadelphia,Texas",0,5,1,0,1,2,4,0.0,2018
Pittsburgh,645,5587,1258,142,445,1126,148,4.358108108108108,2018
"Pittsburgh,Tampa Bay",19,191,51,6,10,40,59,0.3220338983050847,2018
San Diego,608,5942,1273,159,465,1481,162,3.753086419753086,2018
"San Diego,St. Louis",2,46,8,1,1,16,27,0.07407407407407407,2018
San Francisco,526,5380,1165,118,361,1285,151,3.4834437086092715,2018
Seattle,621,5609,1289,166,397,1130,157,3.9554140127388533,2018
"Seattle,Tampa Bay",63,501,114,11,51,79,137,0.45985401459854014,2018
St. Louis,684,5726,1269,186,477,1261,156,4.384615384615385,2018
"St. Louis,Tampa Bay",102,570,136,21,67,140,137,0.7445255474452555,2018
"St. Louis,Washington",42,337,73,21,27,73,120,0.35,2018
Tampa Bay,534,4721,1063,102,404,1063,141,3.7872340425531914,2018
Texas,734,6066,1295,192,551,1456,148,4.95945945945946,2018
Toronto,606,5324,1173,191,416,1193,147,4.122448979591836,2018
Washington,707,5680,1265,164,584,1164,162,4.364197530864198,2018
