Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,709,5891,1393,187,439,1339,158,4.487341772151899,2016
"Arizona,Baltimore",48,413,99,5,28,92,110,0.43636363636363634,2016
"Arizona,Seattle",1,24,5,0,2,7,19,0.05263157894736842,2016
Atlanta,518,4830,1108,94,403,949,158,3.278481012658228,2016
"Atlanta,Baltimore,Texas",13,94,18,3,12,38,50,0.26,2016
"Atlanta,Detroit",34,459,101,3,31,70,126,0.2698412698412698,2016
"Atlanta,Los Angeles",3,48,9,0,3,8,20,0.15,2016
"Atlanta,Miami",33,331,78,7,20,90,125,0.264,2016
"Atlanta,New York",25,333,75,10,25,65,128,0.1953125,2016
"Atlanta,San Diego",89,672,167,35,36,156,156,0.5705128205128205,2016
"Atlanta,San Francisco",25,279,52,5,26,52,86,0.29069767441860467,2016
Baltimore,729,5932,1383,248,450,1289,162,4.5,2016
"Baltimore,Seattle",1,12,2,0,0,2,5,0.2,2016
"Baltimore,Tampa Bay",35,302,76,13,34,54,83,0.42168674698795183,2016
Boston,860,6139,1563,206,544,1128,158,5.443037974683544,2016
"Boston,Cleveland",16,106,24,1,4,23,50,0.32,2016
"Boston,Milwaukee",48,429,99,10,41,59,124,0.3870967741935484,2016
"Boston,San Diego",2,37,5,1,0,21,18,0.1111111111111111,2016
"Boston,Texas",17,129,27,2,7,28,41,0.4146341463414634,2016
Chicago,1448,12024,2752,360,1068,2529,159,9.10691823899371,2016
"Chicago,Oakland",35,300,49,6,35,73,98,0.35714285714285715,2016
"Chicago,San Diego",4,98,18,3,5,31,26,0.15384615384615385,2016
"Chicago,Seattle",0,2,0,0,0,1,2,0.0,2016
"Chicago,Toronto",26,334,63,6,23,71,97,0.26804123711340205,2016
"Chicago,Washington",1,5,1,1,0,3,2,0.5,2016
Cincinnati,656,5687,1305,139,425,1199,159,4.1257861635220126,2016
"Cincinnati,New York",74,589,135,33,44,126,147,0.5034013605442177,2016
"Cincinnati,San Diego",5,24,4,1,2,11,8,0.625,2016
Cleveland,741,5896,1374,180,512,1199,158,4.689873417721519,2016
"Cleveland,Oakland",54,498,103,13,46,78,122,0.4426229508196721,2016
"Cleveland,Tampa Bay",39,345,78,9,19,55,100,0.39,2016
Colorado,845,6236,1544,204,494,1330,160,5.28125,2016
Detroit,743,6016,1453,210,481,1289,158,4.7025316455696204,2016
"Detroit,Milwaukee",12,134,24,3,11,25,49,0.24489795918367346,2016
"Detroit,Tampa Bay,Texas",25,251,54,7,11,64,71,0.352112676056338,2016
Houston,697,5851,1303,193,532,1338,162,4.302469135802469,2016
"Houston,Pittsburgh",3,87,8,1,1,32,29,0.10344827586206896,2016
"Houston,Texas",45,453,95,13,34,136,118,0.3813559322033898,2016
Kansas City,656,5915,1422,144,375,1190,162,4.049382716049383,2016
"Kansas City,Los Angeles",11,148,29,1,10,30,50,0.22,2016
"Kansas City,Oakland",60,540,109,6,29,87,93,0.6451612903225806,2016
Los Angeles,1391,11619,2664,340,952,2220,159,8.748427672955975,2016
"Los Angeles,Minnesota",0,5,0,0,2,1,2,0.0,2016
"Los Angeles,Oakland",53,439,112,10,39,56,113,0.4690265486725664,2016
"Los Angeles,Philadelphia",32,429,90,5,46,64,62,0.5161290322580645,2016
"Los Angeles,Seattle",8,65,13,1,4,15,32,0.25,2016
Miami,650,6049,1442,128,442,1187,154,4.220779220779221,2016
"Miami,Minnesota,San Diego,Tampa Bay",17,222,41,8,18,80,69,0.2463768115942029,2016
"Miami,San Diego",8,120,12,0,6,45,23,0.34782608695652173,2016
Milwaukee,577,5264,1103,170,525,1405,158,3.651898734177215,2016
"Milwaukee,Texas",67,544,143,24,47,100,141,0.475177304964539,2016
Minnesota,665,5732,1277,184,487,1321,155,4.290322580645161,2016
"Minnesota,San Francisco",73,595,159,16,29,88,141,0.5177304964539007,2016
New York,1262,11330,2507,359,933,2316,153,8.248366013071895,2016
"New York,Oakland",27,274,71,5,21,42,97,0.27835051546391754,2016
"New York,Pittsburgh",2,62,6,0,2,32,18,0.1111111111111111,2016
"New York,Seattle",9,57,9,1,6,16,26,0.34615384615384615,2016
"New York,Texas",77,619,171,31,37,111,151,0.5099337748344371,2016
Oakland,495,4487,1022,138,322,908,159,3.1132075471698113,2016
Philadelphia,576,5614,1221,153,392,1297,158,3.6455696202531644,2016
"Philadelphia,Toronto",15,167,35,5,7,48,83,0.18072289156626506,2016
Pittsburgh,712,6055,1397,152,549,1269,153,4.65359477124183,2016
"Pittsburgh,St. Louis",19,133,31,0,13,25,54,0.35185185185185186,2016
San Diego,520,4356,910,124,369,1110,157,3.3121019108280256,2016
"San Diego,Seattle",25,197,44,4,12,48,66,0.3787878787878788,2016
"San Diego,Tampa Bay",38,506,115,6,21,63,143,0.26573426573426573,2016
"San Diego,Toronto",64,539,117,20,37,155,144,0.4444444444444444,2016
San Francisco,654,5714,1317,122,533,1019,155,4.219354838709678,2016
"San Francisco,St. Louis",9,78,11,0,7,13,33,0.2727272727272727,2016
"San Francisco,Tampa Bay",43,401,89,5,23,66,90,0.4777777777777778,2016
Seattle,746,6079,1418,220,500,1243,161,4.633540372670807,2016
St. Louis,766,6142,1395,225,521,1303,152,5.0394736842105265,2016
Tampa Bay,584,5260,1148,191,393,1331,160,3.65,2016
Texas,674,5321,1258,182,382,1066,156,4.32051282051282,2016
Toronto,738,6015,1319,216,613,1301,160,4.6125,2016
Washington,762,6198,1402,202,536,1251,156,4.884615384615385,2016
