Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,562,5047,1078,109,442,1220,150,3.7466666666666666,2021
"Arizona,Atlanta",24,238,41,7,26,56,78,0.3076923076923077,2021
"Arizona,Baltimore",6,96,10,1,8,23,34,0.17647058823529413,2021
"Arizona,Chicago,Pittsburgh",7,83,12,0,6,17,34,0.20588235294117646,2021
"Arizona,Cincinnati",34,352,71,7,36,80,110,0.3090909090909091,2021
"Arizona,Milwaukee",77,609,142,28,48,129,150,0.5133333333333333,2021
"Arizona,New York",17,186,28,2,11,47,64,0.265625,2021
Atlanta,710,5347,1169,202,480,1308,176,4.034090909090909,2021
"Atlanta,Chicago",59,529,111,21,41,129,152,0.3881578947368421,2021
"Atlanta,Cleveland",53,480,121,17,34,71,127,0.41732283464566927,2021
"Atlanta,Kansas City",79,640,123,30,72,154,160,0.49375,2021
"Atlanta,Miami",84,770,148,44,51,263,161,0.5217391304347826,2021
"Atlanta,Milwaukee",9,94,16,2,8,20,41,0.21951219512195122,2021
"Atlanta,Pittsburgh",1,25,1,0,0,9,14,0.07142857142857142,2021
"Atlanta,Tampa Bay",8,106,16,0,10,31,33,0.24242424242424243,2021
"Atlanta,Washington",2,23,6,0,3,4,7,0.2857142857142857,2021
Baltimore,580,5194,1135,178,392,1260,159,3.647798742138365,2021
"Baltimore,Colorado",11,141,21,3,12,38,61,0.18032786885245902,2021
"Baltimore,Kansas City",23,295,63,3,19,76,85,0.27058823529411763,2021
"Baltimore,New York",5,83,11,0,7,21,28,0.17857142857142858,2021
"Baltimore,Philadelphia",53,394,86,14,27,77,104,0.5096153846153846,2021
"Baltimore,San Diego",19,209,48,4,9,55,88,0.2159090909090909,2021
Boston,791,5861,1393,223,482,1292,167,4.736526946107785,2021
"Boston,Colorado",5,29,5,0,3,8,16,0.3125,2021
"Boston,Houston",30,311,56,5,20,80,95,0.3157894736842105,2021
"Boston,Los Angeles",65,511,131,9,21,75,137,0.4744525547445255,2021
"Boston,Milwaukee",20,255,45,9,24,71,88,0.22727272727272727,2021
"Boston,Pittsburgh",16,124,30,3,1,42,43,0.37209302325581395,2021
"Boston,Washington",84,520,115,35,69,138,124,0.6774193548387096,2021
Chicago,1192,9751,2130,306,894,2413,156,7.641025641025641,2021
"Chicago,Cleveland",84,648,134,21,63,138,152,0.5526315789473685,2021
"Chicago,Los Angeles",38,288,51,6,22,71,83,0.4578313253012048,2021
"Chicago,New York",159,1213,275,54,82,299,142,1.119718309859155,2021
"Chicago,Oakland",44,259,79,14,16,41,64,0.6875,2021
"Chicago,San Diego",24,228,41,5,13,81,99,0.24242424242424243,2021
"Chicago,San Francisco",87,604,144,26,63,138,149,0.5838926174496645,2021
"Chicago,Toronto",25,170,28,7,22,51,55,0.45454545454545453,2021
Cincinnati,786,6131,1350,222,550,1418,150,5.24,2021
Cleveland,557,4564,985,163,326,1105,152,3.664473684210526,2021
"Cleveland,Detroit",15,163,31,8,9,36,44,0.3409090909090909,2021
"Cleveland,Houston",86,638,153,4,67,121,158,0.5443037974683544,2021
"Cleveland,Pittsburgh",43,400,84,8,51,105,122,0.3524590163934426,2021
"Cleveland,Seattle",27,315,59,4,30,78,115,0.23478260869565218,2021
"Cleveland,Tampa Bay",25,201,35,12,29,61,65,0.38461538461538464,2021
"Cleveland,Washington",8,78,16,2,4,29,25,0.32,2021
Colorado,736,5945,1329,182,486,1341,151,4.874172185430464,2021
Detroit,685,5851,1275,173,484,1485,156,4.391025641025641,2021
Houston,882,6360,1521,225,575,1257,164,5.378048780487805,2021
"Houston,Oakland",3,21,3,0,1,3,12,0.25,2021
"Houston,Seattle",45,375,80,11,31,54,95,0.47368421052631576,2021
Kansas City,626,5359,1234,149,371,1102,162,3.8641975308641974,2021
"Kansas City,Toronto",17,149,28,0,10,33,102,0.16666666666666666,2021
Los Angeles,1450,11444,2481,409,1034,2641,161,9.006211180124224,2021
"Los Angeles,Milwaukee,New York",32,301,51,9,32,80,116,0.27586206896551724,2021
"Los Angeles,New York",1,4,1,0,1,2,2,0.5,2021
"Los Angeles,Pittsburgh,Tampa Bay",27,262,50,8,29,72,81,0.3333333333333333,2021
"Los Angeles,Seattle",30,290,58,10,17,68,86,0.3488372093023256,2021
"Los Angeles,Texas",29,240,44,13,12,82,70,0.4142857142857143,2021
"Los Angeles,Washington",120,887,231,31,49,172,160,0.75,2021
Miami,483,4814,1009,123,357,1260,132,3.659090909090909,2021
"Miami,Oakland",90,546,145,12,47,105,120,0.75,2021
"Miami,Toronto",60,622,140,9,42,102,109,0.5504587155963303,2021
Milwaukee,607,5086,1013,150,489,1232,153,3.9673202614379086,2021
"Milwaukee,Seattle",5,45,6,3,2,20,15,0.3333333333333333,2021
"Milwaukee,Tampa Bay",77,576,136,25,57,166,144,0.5347222222222222,2021
"Milwaukee,Toronto",36,335,74,13,23,69,110,0.32727272727272727,2021
Minnesota,684,5730,1224,209,490,1340,152,4.5,2021
"Minnesota,New York",4,24,4,1,1,8,24,0.16666666666666666,2021
"Minnesota,Tampa Bay",81,602,139,33,52,131,144,0.5625,2021
"Minnesota,Toronto",0,4,0,0,0,2,2,0.0,2021
New York,1221,11069,2348,362,1034,2630,152,8.032894736842104,2021
"New York,Pittsburgh",16,150,25,3,18,38,45,0.35555555555555557,2021
"New York,San Francisco",22,191,30,4,23,58,74,0.2972972972972973,2021
"New York,Tampa Bay",0,26,3,0,0,10,16,0.0,2021
"New York,Texas",90,620,99,38,111,214,154,0.5844155844155844,2021
"New York,Toronto",20,103,11,1,12,26,64,0.3125,2021
Oakland,656,5358,1111,184,519,1210,156,4.205128205128205,2021
"Oakland,Pittsburgh",10,133,15,2,17,36,48,0.20833333333333334,2021
"Oakland,San Francisco",5,60,5,1,1,15,34,0.14705882352941177,2021
"Oakland,Texas",11,114,21,3,10,31,42,0.2619047619047619,2021
"Oakland,Washington",107,933,229,22,50,153,138,0.7753623188405797,2021
Philadelphia,714,5915,1258,192,554,1365,144,4.958333333333333,2021
"Philadelphia,San Diego",0,30,2,0,2,9,19,0.0,2021
"Philadelphia,Texas",3,30,4,1,0,10,13,0.23076923076923078,2021
Pittsburgh,446,4535,931,96,385,1018,159,2.8050314465408803,2021
"Pittsburgh,San Diego",83,639,176,5,48,69,155,0.535483870967742,2021
"Pittsburgh,Seattle",1,40,4,1,1,29,18,0.05555555555555555,2021
"Pittsburgh,St. Louis",14,143,30,1,12,22,52,0.2692307692307692,2021
San Diego,689,5753,1226,177,568,1252,155,4.445161290322581,2021
San Francisco,764,5956,1305,234,562,1408,144,5.305555555555555,2021
Seattle,644,5485,1103,191,491,1383,160,4.025,2021
"Seattle,Tampa Bay",1,15,1,0,2,9,10,0.1,2021
St. Louis,703,5940,1299,198,469,1321,160,4.39375,2021
"St. Louis,Washington",38,315,61,8,39,87,77,0.4935064935064935,2021
Tampa Bay,803,5780,1254,205,551,1400,153,5.248366013071895,2021
Texas,536,5286,1138,128,347,1171,158,3.392405063291139,2021
Toronto,782,5483,1343,250,448,1097,162,4.827160493827161,2021
"Toronto,Washington",13,120,22,2,15,40,46,0.2826086956521739,2021
Washington,489,4295,939,112,431,921,151,3.23841059602649,2021
