game_pk,date,game_time_utc,venue_id,venue_name,home_team,away_team,home_team_id,away_team_id,home_runs,away_runs,total_runs,home_sp_id,home_sp_name,away_sp_id,away_sp_name
823244,2026-03-25,2026-03-26T00:05:00Z,2395,Oracle Park,San Francisco Giants,New York Yankees,137,147,0,7,7,657277,Logan Webb,608331,Max Fried
823649,2026-03-26,2026-03-26T17:15:00Z,3289,Citi Field,New York Mets,Pittsburgh Pirates,121,134,11,7,18,642547,Freddy Peralta,694973,Paul Skenes
823812,2026-03-26,2026-03-26T18:10:00Z,32,American Family Field,Milwaukee Brewers,Chicago White Sox,158,145,14,2,16,694819,Jacob Misiorowski,681343,Shane Smith
824704,2026-03-26,2026-03-26T18:20:00Z,17,Wrigley Field,Chicago Cubs,Washington Nationals,112,120,4,10,14,571510,Matthew Boyd,676917,Cade Cavalli
824865,2026-03-26,2026-03-26T19:05:00Z,2,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,110,142,2,1,3,669432,Trevor Rogers,657746,Joe Ryan
824541,2026-03-26,2026-03-26T20:10:00Z,2602,Great American Ball Park,Cincinnati Reds,Boston Red Sox,113,111,0,3,3,671096,Andrew Abbott,676979,Garrett Crochet
824218,2026-03-26,2026-03-26T20:10:00Z,2392,Daikin Park,Houston Astros,Los Angeles Angels,117,108,0,3,3,686613,Hunter Brown,667755,José Soriano
823325,2026-03-26,2026-03-26T20:10:00Z,2680,Petco Park,San Diego Padres,Detroit Tigers,135,116,2,8,10,601713,Nick Pivetta,669373,Tarik Skubal
823081,2026-03-26,2026-03-26T20:15:00Z,2889,Busch Stadium,St. Louis Cardinals,Tampa Bay Rays,138,139,9,7,16,669461,Matthew Liberatore,656876,Drew Rasmussen
823486,2026-03-26,2026-03-26T20:15:00Z,2681,Citizens Bank Park,Philadelphia Phillies,Texas Rangers,143,140,5,3,8,650911,Cristopher Sánchez,543135,Nathan Eovaldi
823974,2026-03-26,2026-03-27T00:30:00Z,22,UNIQLO Field at Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,119,109,8,2,10,808967,Yoshinobu Yamamoto,668678,Zac Gallen
823163,2026-03-26,2026-03-27T02:10:00Z,680,T-Mobile Park,Seattle Mariners,Cleveland Guardians,136,114,4,6,10,669302,Logan Gilbert,676440,Tanner Bibee
823243,2026-03-27,2026-03-27T20:35:00Z,2395,Oracle Park,San Francisco Giants,New York Yankees,137,147,0,3,3,592662,Robbie Ray,693645,Cam Schlittler
822839,2026-03-27,2026-03-27T23:07:00Z,14,Rogers Centre,Toronto Blue Jays,Athletics,141,133,3,2,5,592332,Kevin Gausman,622663,Luis Severino
823893,2026-03-27,2026-03-27T23:10:00Z,4169,loanDepot park,Miami Marlins,Colorado Rockies,146,115,2,1,3,645261,Sandy Alcantara,607536,Kyle Freeland
824946,2026-03-27,2026-03-27T23:15:00Z,4705,Truist Park,Atlanta Braves,Kansas City Royals,144,118,6,0,6,519242,Chris Sale,666142,Cole Ragans
824216,2026-03-27,2026-03-28T00:15:00Z,2392,Daikin Park,Houston Astros,Los Angeles Angels,117,108,2,6,8,681347,Mike Burrows,579328,Yusei Kikuchi
823324,2026-03-27,2026-03-28T01:40:00Z,2680,Petco Park,San Diego Padres,Detroit Tigers,135,116,2,5,7,650633,Michael King,664285,Framber Valdez
823162,2026-03-27,2026-03-28T01:45:00Z,680,T-Mobile Park,Seattle Mariners,Cleveland Guardians,136,114,5,1,6,669923,George Kirby,668909,Gavin Williams
823971,2026-03-27,2026-03-28T02:10:00Z,22,UNIQLO Field at Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,119,109,5,4,9,686218,Emmet Sheehan,669194,Ryne Nelson
823082,2026-03-28,2026-03-28T18:15:00Z,2889,Busch Stadium,St. Louis Cardinals,Tampa Bay Rays,138,139,6,5,11,700241,Michael McGreevy,671212,Joe Boyle
824701,2026-03-28,2026-03-28T18:20:00Z,17,Wrigley Field,Chicago Cubs,Washington Nationals,112,120,10,2,12,690990,Cade Horton,571945,Miles Mikolas
822838,2026-03-28,2026-03-28T19:07:00Z,14,Rogers Centre,Toronto Blue Jays,Athletics,141,133,8,7,15,656302,Dylan Cease,605488,Jeffrey Springs
824862,2026-03-28,2026-03-28T20:05:00Z,2,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,110,142,1,4,5,680694,Kyle Bradish,671737,Taj Bradley
823488,2026-03-28,2026-03-28T20:05:00Z,2681,Citizens Bank Park,Philadelphia Phillies,Texas Rangers,143,140,4,5,9,605400,Aaron Nola,656641,Jacob Latz
824540,2026-03-28,2026-03-28T20:10:00Z,2602,Great American Ball Park,Cincinnati Reds,Boston Red Sox,113,111,6,5,11,663903,Brady Singer,543243,Sonny Gray
823651,2026-03-28,2026-03-28T20:10:00Z,3289,Citi Field,New York Mets,Pittsburgh Pirates,121,134,4,2,6,656849,David Peterson,656605,Mitch Keller
823892,2026-03-28,2026-03-28T20:10:00Z,4169,loanDepot park,Miami Marlins,Colorado Rockies,146,115,4,3,7,691587,Eury Pérez,547179,Michael Lorenzen
824213,2026-03-28,2026-03-28T23:10:00Z,2392,Daikin Park,Houston Astros,Los Angeles Angels,117,108,11,9,20,664299,Cristian Javier,672282,Reid Detmers
823811,2026-03-28,2026-03-28T23:10:00Z,32,American Family Field,Milwaukee Brewers,Chicago White Sox,158,145,6,1,7,694477,Chad Patrick,680732,Sean Burke
824945,2026-03-28,2026-03-28T23:15:00Z,4705,Truist Park,Atlanta Braves,Kansas City Royals,144,118,6,2,8,625643,Reynaldo López,608379,Michael Wacha
823241,2026-03-28,2026-03-28T23:15:00Z,2395,Oracle Park,San Francisco Giants,New York Yankees,137,147,1,3,4,641816,Tyler Mahle,701542,Will Warren
823323,2026-03-28,2026-03-29T00:40:00Z,2680,Petco Park,San Diego Padres,Detroit Tigers,135,116,3,0,3,681190,Randy Vásquez,656427,Jack Flaherty
823973,2026-03-28,2026-03-29T01:10:00Z,22,UNIQLO Field at Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,119,109,3,2,5,607192,Tyler Glasnow,593958,Eduardo Rodriguez
823161,2026-03-28,2026-03-29T01:40:00Z,680,T-Mobile Park,Seattle Mariners,Cleveland Guardians,136,114,5,6,11,693433,Bryan Woo,676282,Joey Cantillo
824864,2026-03-29,2026-03-29T17:35:00Z,2,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,110,142,8,6,14,669358,Shane Baz,641927,Bailey Ober
