date,away_team_abbr,home_team_abbr,away_team,home_team,open_total,close_total,away_final,home_final,season
2018-03-29,CUB,MIA,Chicago Cubs,Miami Marlins,8.0,8.0,8,4,2018
2018-03-29,STL,NYM,St. Louis Cardinals,New York Mets,7.0,6.5,4,9,2018
2018-03-29,PHI,ATL,Philadelphia Phillies,Atlanta Braves,8.0,8.0,5,8,2018
2018-03-29,MIL,SDG,Milwaukee Brewers,San Diego Padres,8.0,8.0,2,1,2018
2018-03-29,SFO,LAD,San Francisco Giants,Los Angeles Dodgers,7.0,7.5,1,0,2018
2018-03-29,COL,ARI,Colorado Rockies,Arizona Diamondbacks,9.0,8.0,2,8,2018
2018-03-29,MIN,BAL,Minnesota Twins,Baltimore Orioles,9.5,9.5,2,3,2018
2018-03-29,HOU,TEX,Houston Astros,Texas Rangers,9.0,9.0,4,1,2018
2018-03-29,NYY,TOR,New York Yankees,Toronto Blue Jays,8.5,8.5,6,1,2018
2018-03-29,BOS,TAM,Boston Red Sox,Tampa Bay Rays,7.0,6.5,4,6,2018
2018-03-29,LAA,OAK,Los Angeles Angels,Oakland Athletics,8.5,9.0,5,6,2018
2018-03-29,CWS,KAN,Chicago White Sox,Kansas City Royals,9.0,8.5,14,7,2018
2018-03-29,CLE,SEA,Cleveland Guardians,Seattle Mariners,7.5,7.0,1,2,2018
2018-03-30,CUB,MIA,Chicago Cubs,Miami Marlins,8.5,8.0,1,2,2018
2018-03-30,PHI,ATL,Philadelphia Phillies,Atlanta Braves,9.0,9.0,5,4,2018
2018-03-30,COL,ARI,Colorado Rockies,Arizona Diamondbacks,8.5,8.0,8,9,2018
2018-03-30,SFO,LAD,San Francisco Giants,Los Angeles Dodgers,7.0,7.5,1,0,2018
2018-03-30,MIL,SDG,Milwaukee Brewers,San Diego Padres,8.0,8.0,8,6,2018
2018-03-30,NYY,TOR,New York Yankees,Toronto Blue Jays,9.0,8.5,4,2,2018
2018-03-30,BOS,TAM,Boston Red Sox,Tampa Bay Rays,7.5,7.0,1,0,2018
2018-03-30,HOU,TEX,Houston Astros,Texas Rangers,9.5,9.0,1,5,2018
2018-03-30,LAA,OAK,Los Angeles Angels,Oakland Athletics,9.0,9.0,2,1,2018
2018-03-30,WAS,CIN,Washington Nationals,Cincinnati Reds,8.5,9.0,2,0,2018
2018-03-30,PIT,DET,Pittsburgh Pirates,Detroit Tigers,9.5,9.0,13,10,2018
2018-03-31,STL,NYM,St. Louis Cardinals,New York Mets,7.5,7.0,2,6,2018
2018-03-31,WAS,CIN,Washington Nationals,Cincinnati Reds,8.0,8.0,13,7,2018
2018-03-31,PHI,ATL,Philadelphia Phillies,Atlanta Braves,9.0,8.0,2,15,2018
2018-03-31,CUB,MIA,Chicago Cubs,Miami Marlins,8.5,8.0,10,6,2018
2018-03-31,COL,ARI,Colorado Rockies,Arizona Diamondbacks,8.5,8.5,2,1,2018
2018-03-31,MIL,SDG,Milwaukee Brewers,San Diego Padres,8.0,7.5,7,3,2018
2018-03-31,SFO,LAD,San Francisco Giants,Los Angeles Dodgers,8.5,8.0,0,5,2018
2018-03-31,HOU,TEX,Houston Astros,Texas Rangers,10.0,9.5,9,3,2018
2018-03-31,LAA,OAK,Los Angeles Angels,Oakland Athletics,9.0,9.0,8,3,2018
2018-03-31,NYY,TOR,New York Yankees,Toronto Blue Jays,9.0,9.5,3,5,2018
2018-03-31,CLE,SEA,Cleveland Guardians,Seattle Mariners,7.5,6.5,6,5,2018
2018-03-31,BOS,TAM,Boston Red Sox,Tampa Bay Rays,8.5,8.0,3,2,2018
2018-03-31,MIN,BAL,Minnesota Twins,Baltimore Orioles,9.5,9.0,6,2,2018
2018-03-31,CWS,KAN,Chicago White Sox,Kansas City Royals,9.0,8.5,4,3,2018
2018-04-01,CUB,MIA,Chicago Cubs,Miami Marlins,8.0,8.0,0,6,2018
2018-04-01,STL,NYM,St. Louis Cardinals,New York Mets,8.0,8.0,5,1,2018
2018-04-01,WAS,CIN,Washington Nationals,Cincinnati Reds,9.0,8.5,6,5,2018
2018-04-01,SFO,LAD,San Francisco Giants,Los Angeles Dodgers,7.5,7.5,0,9,2018
2018-04-01,MIN,BAL,Minnesota Twins,Baltimore Orioles,9.0,9.0,7,0,2018
2018-04-01,NYY,TOR,New York Yankees,Toronto Blue Jays,8.5,8.5,4,7,2018
2018-04-01,BOS,TAM,Boston Red Sox,Tampa Bay Rays,8.0,8.5,2,1,2018
2018-04-01,HOU,TEX,Houston Astros,Texas Rangers,9.5,9.5,8,2,2018
2018-04-01,LAA,OAK,Los Angeles Angels,Oakland Athletics,9.5,9.0,7,4,2018
2018-04-01,CLE,SEA,Cleveland Guardians,Seattle Mariners,8.5,7.5,4,5,2018
2018-04-01,PIT,DET,Pittsburgh Pirates,Detroit Tigers,8.5,8.5,1,0,2018
2018-04-01,PIT,DET,Pittsburgh Pirates,Detroit Tigers,9.0,8.5,8,6,2018
2018-04-02,STL,MIL,St. Louis Cardinals,Milwaukee Brewers,9.0,9.5,8,4,2018
2018-04-02,CUB,CIN,Chicago Cubs,Cincinnati Reds,9.0,8.5,0,1,2018
2018-04-02,WAS,ATL,Washington Nationals,Atlanta Braves,9.5,9.0,8,1,2018
2018-04-02,LAD,ARI,Los Angeles Dodgers,Arizona Diamondbacks,9.0,9.0,7,8,2018
2018-04-02,COL,SDG,Colorado Rockies,San Diego Padres,8.5,8.0,7,4,2018
2018-04-02,KAN,DET,Kansas City Royals,Detroit Tigers,9.5,8.5,1,6,2018
