Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,784,6065,1381,210,525,1269,158,4.962025316455696,2019
"Arizona,Atlanta",9,70,11,4,6,28,26,0.34615384615384615,2019
"Arizona,Boston",13,99,15,4,6,36,43,0.3023255813953488,2019
"Arizona,Houston",7,56,14,3,2,12,25,0.28,2019
"Arizona,Miami",2,24,2,0,0,8,14,0.14285714285714285,2019
"Arizona,Seattle",0,24,1,0,1,11,11,0.0,2019
"Arizona,Toronto",3,23,3,0,3,10,14,0.21428571428571427,2019
Atlanta,828,6145,1392,243,602,1428,160,5.175,2019
"Atlanta,Colorado",0,3,0,0,1,2,2,0.0,2019
"Atlanta,Kansas City",41,353,69,0,32,87,119,0.3445378151260504,2019
"Atlanta,New York",34,221,49,9,14,48,84,0.40476190476190477,2019
"Atlanta,Pittsburgh",15,160,30,3,13,41,48,0.3125,2019
Baltimore,705,5941,1334,207,440,1353,162,4.351851851851852,2019
"Baltimore,Chicago",10,157,28,3,11,38,56,0.17857142857142858,2019
"Baltimore,New York,Seattle",24,228,34,6,20,104,99,0.24242424242424243,2019
"Baltimore,San Francisco",14,189,38,3,18,50,68,0.20588235294117646,2019
Boston,893,6395,1541,243,582,1352,156,5.7243589743589745,2019
"Boston,Kansas City",13,196,25,3,14,78,66,0.19696969696969696,2019
Chicago,1428,11382,2653,409,885,2813,159,8.981132075471699,2019
"Chicago,Cleveland",21,166,29,3,18,52,45,0.4666666666666667,2019
"Chicago,Colorado",34,335,58,10,39,70,120,0.2833333333333333,2019
"Chicago,Detroit",100,664,178,27,41,143,151,0.6622516556291391,2019
"Chicago,Houston",31,279,52,8,23,47,110,0.2818181818181818,2019
"Chicago,Houston,Kansas City",46,374,71,12,32,86,105,0.4380952380952381,2019
"Chicago,Kansas City",0,6,1,0,0,3,5,0.0,2019
"Chicago,Los Angeles",30,328,68,8,27,51,101,0.297029702970297,2019
"Chicago,San Francisco",0,16,1,0,1,10,14,0.0,2019
Cincinnati,633,5493,1192,200,459,1286,159,3.981132075471698,2019
"Cincinnati,Cleveland",77,633,151,24,46,145,149,0.5167785234899329,2019
"Cincinnati,San Francisco",15,139,30,2,2,41,42,0.35714285714285715,2019
"Cincinnati,Toronto",67,588,145,23,28,144,147,0.4557823129251701,2019
Cleveland,700,5548,1226,208,509,1172,158,4.430379746835443,2019
"Cleveland,Philadelphia",26,170,40,13,15,45,78,0.3333333333333333,2019
"Cleveland,San Diego",69,548,123,37,47,156,150,0.46,2019
"Cleveland,Tampa Bay",3,24,2,0,1,13,15,0.2,2019
Colorado,824,6202,1483,221,478,1485,155,5.316129032258065,2019
Detroit,525,5600,1223,138,360,1499,136,3.860294117647059,2019
Houston,848,5697,1407,270,570,988,156,5.435897435897436,2019
"Houston,Los Angeles",25,426,68,4,48,127,83,0.30120481927710846,2019
"Houston,Toronto",23,168,27,7,21,58,57,0.40350877192982454,2019
Kansas City,624,5365,1226,154,406,1220,162,3.8518518518518516,2019
"Kansas City,Oakland",0,5,2,0,0,1,3,0.0,2019
Los Angeles,1592,11904,2664,484,1145,2501,156,10.205128205128204,2019
"Los Angeles,Miami",14,147,31,4,10,38,44,0.3181818181818182,2019
"Los Angeles,New York,Tampa Bay",52,391,88,16,32,85,103,0.5048543689320388,2019
"Los Angeles,Oakland",14,101,21,3,10,22,35,0.4,2019
"Los Angeles,Pittsburgh",0,4,0,0,0,2,3,0.0,2019
"Los Angeles,Seattle",12,82,19,2,5,26,40,0.3,2019
"Los Angeles,St. Louis",6,101,16,2,9,24,61,0.09836065573770492,2019
"Los Angeles,Tampa Bay",4,74,10,1,1,27,25,0.16,2019
Miami,606,5937,1310,145,388,1434,162,3.740740740740741,2019
Milwaukee,735,5977,1309,241,588,1479,153,4.803921568627451,2019
"Milwaukee,Minnesota,San Francisco",30,179,29,9,24,67,89,0.33707865168539325,2019
"Milwaukee,New York",0,2,0,0,0,1,2,0.0,2019
"Milwaukee,Pittsburgh",3,48,4,0,1,28,24,0.125,2019
"Milwaukee,San Francisco",12,131,29,4,5,33,30,0.4,2019
"Milwaukee,Seattle",2,20,1,0,4,5,17,0.11764705882352941,2019
"Milwaukee,Tampa Bay",39,369,74,12,43,81,131,0.29770992366412213,2019
Minnesota,938,6387,1546,307,524,1331,153,6.130718954248366,2019
New York,1637,11804,2805,526,1029,2650,161,10.167701863354038,2019
"New York,Oakland",16,201,33,2,26,26,53,0.3018867924528302,2019
"New York,Philadelphia",0,45,3,0,0,22,24,0.0,2019
"New York,Philadelphia,San Francisco",8,66,5,1,3,25,49,0.16326530612244897,2019
"New York,San Francisco",50,491,107,5,43,47,142,0.352112676056338,2019
"New York,Seattle",81,486,102,34,58,103,109,0.7431192660550459,2019
"New York,Toronto",9,77,12,1,4,20,17,0.5294117647058824,2019
Oakland,825,6039,1343,251,554,1297,162,5.092592592592593,2019
"Oakland,Pittsburgh,San Francisco",5,68,10,1,3,12,28,0.17857142857142858,2019
"Oakland,San Diego",8,109,21,1,14,26,32,0.25,2019
"Oakland,Toronto",3,30,4,2,4,7,11,0.2727272727272727,2019
Philadelphia,719,5765,1261,182,541,1331,161,4.46583850931677,2019
"Philadelphia,Pittsburgh",33,278,79,12,16,55,78,0.4230769230769231,2019
"Philadelphia,San Diego",1,24,4,1,2,7,14,0.07142857142857142,2019
"Philadelphia,Seattle",43,332,67,26,19,81,98,0.4387755102040816,2019
"Philadelphia,Texas",1,20,0,0,1,9,11,0.09090909090909091,2019
Pittsburgh,725,5924,1432,158,403,1140,152,4.769736842105263,2019
San Diego,631,5545,1176,192,463,1457,160,3.94375,2019
"San Diego,San Francisco",29,190,48,6,13,42,68,0.4264705882352941,2019
San Francisco,472,4367,938,119,365,1092,156,3.0256410256410255,2019
"San Francisco,Seattle",13,144,20,4,14,44,40,0.325,2019
"San Francisco,Tampa Bay",1,53,5,1,2,14,21,0.047619047619047616,2019
"San Francisco,Toronto",83,645,158,21,18,89,161,0.515527950310559,2019
"San Francisco,Washington",38,301,64,9,19,59,119,0.31932773109243695,2019
Seattle,664,5545,1187,199,510,1405,144,4.611111111111111,2019
St. Louis,759,6106,1325,208,555,1406,161,4.714285714285714,2019
Tampa Bay,689,5646,1281,194,491,1354,152,4.532894736842105,2019
"Tampa Bay,Toronto",59,442,115,13,38,63,110,0.5363636363636364,2019
Texas,765,5835,1298,211,496,1492,150,5.1,2019
"Texas,Washington",69,514,116,18,57,103,131,0.5267175572519084,2019
Toronto,609,5150,1073,212,445,1302,151,4.033112582781457,2019
Washington,819,5917,1373,217,554,1249,155,5.283870967741936,2019
