Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,295,2600,551,61,215,530,67,4.402985074626866,2026
Athletics,298,2592,577,86,256,576,69,4.318840579710145,2026
"Athletics,Atlanta",16,153,24,5,11,32,29,0.5517241379310345,2026
"Athletics,New York",1,26,2,0,1,3,14,0.07142857142857142,2026
Atlanta,354,2592,599,94,210,543,70,5.057142857142857,2026
Baltimore,341,2738,582,85,281,642,72,4.736111111111111,2026
Boston,274,2550,563,56,195,560,67,4.08955223880597,2026
Chicago,631,5203,1082,166,540,1169,71,8.887323943661972,2026
"Chicago,Houston",6,52,10,0,6,7,17,0.35294117647058826,2026
"Chicago,New York",16,94,24,6,4,21,43,0.37209302325581395,2026
"Chicago,Philadelphia",12,95,18,4,7,32,51,0.23529411764705882,2026
"Chicago,Texas",5,50,13,1,2,10,17,0.29411764705882354,2026
"Chicago,Toronto",11,117,22,1,1,25,40,0.275,2026
Cincinnati,290,2631,530,87,269,644,69,4.202898550724638,2026
Cleveland,284,2643,538,65,274,544,72,3.9444444444444446,2026
"Cleveland,San Francisco",10,144,22,2,10,36,48,0.20833333333333334,2026
Colorado,306,2684,596,69,219,638,68,4.5,2026
Detroit,287,2664,550,75,263,606,71,4.042253521126761,2026
"Detroit,Minnesota",10,74,11,1,6,30,51,0.19607843137254902,2026
Houston,329,2698,584,96,242,589,71,4.633802816901408,2026
Kansas City,281,2659,566,62,245,564,71,3.9577464788732395,2026
"Kansas City,Texas",5,36,10,2,1,7,15,0.3333333333333333,2026
Los Angeles,701,5440,1192,177,534,1224,71,9.873239436619718,2026
Miami,305,2626,571,58,237,569,71,4.295774647887324,2026
"Miami,New York,Tampa Bay",5,65,13,0,6,19,25,0.2,2026
Milwaukee,366,2667,590,61,296,552,65,5.630769230769231,2026
Minnesota,324,2646,563,85,235,583,69,4.695652173913044,2026
New York,619,5135,1071,174,486,1155,70,8.842857142857143,2026
Philadelphia,284,2595,535,88,211,605,70,4.057142857142857,2026
Pittsburgh,356,2782,618,84,277,658,71,5.014084507042254,2026
San Diego,267,2519,492,72,223,581,68,3.926470588235294,2026
San Francisco,286,2589,621,71,157,535,71,4.028169014084507,2026
Seattle,310,2729,573,94,246,616,72,4.305555555555555,2026
St. Louis,315,2611,566,81,228,549,68,4.632352941176471,2026
Tampa Bay,299,2549,572,54,247,487,67,4.462686567164179,2026
Texas,273,2557,533,68,234,584,68,4.014705882352941,2026
Toronto,281,2567,578,67,204,502,70,4.014285714285714,2026
Washington,382,2745,597,92,246,586,71,5.380281690140845,2026
