date,away_team_abbr,home_team_abbr,away_team,home_team,open_total,close_total,away_final,home_final,season
2020-07-23,NYY,WAS,New York Yankees,Washington Nationals,7.0,7.5,4,1,2020
2020-07-23,SFO,LAD,San Francisco Giants,Los Angeles Dodgers,8.0,9.0,1,8,2020
2020-07-24,ATL,NYM,Atlanta Braves,New York Mets,8.0,7.5,0,1,2020
2020-07-24,DET,CIN,Detroit Tigers,Cincinnati Reds,8.0,9.0,1,7,2020
2020-07-24,TOR,TAM,Toronto Blue Jays,Tampa Bay Rays,8.5,7.5,6,4,2020
2020-07-24,MIA,PHI,Miami Marlins,Philadelphia Phillies,8.0,9.0,5,2,2020
2020-07-24,KAN,CLE,Kansas City Royals,Cleveland Guardians,8.0,9.0,0,2,2020
2020-07-24,MIL,CUB,Milwaukee Brewers,Chicago Cubs,8.0,8.5,0,3,2020
2020-07-24,BAL,BOS,Baltimore Orioles,Boston Red Sox,9.5,10.0,2,13,2020
2020-07-24,COL,TEX,Colorado Rockies,Texas Rangers,8.0,9.0,0,1,2020
2020-07-24,MIN,CWS,Minnesota Twins,Chicago White Sox,8.5,9.0,10,5,2020
2020-07-24,PIT,STL,Pittsburgh Pirates,St. Louis Cardinals,8.5,8.0,4,5,2020
2020-07-24,SEA,HOU,Seattle Mariners,Houston Astros,8.5,8.5,2,8,2020
2020-07-24,ARI,SDG,Arizona Diamondbacks,San Diego Padres,8.5,8.0,2,7,2020
2020-07-24,SFO,LAD,San Francisco Giants,Los Angeles Dodgers,8.5,9.0,1,9,2020
2020-07-24,LAA,OAK,Los Angeles Angels,Oakland Athletics,8.5,8.5,3,7,2020
2020-07-25,MIL,CUB,Milwaukee Brewers,Chicago Cubs,9.5,9.5,8,3,2020
2020-07-25,BAL,BOS,Baltimore Orioles,Boston Red Sox,10.5,10.5,7,2,2020
2020-07-25,MIN,CWS,Minnesota Twins,Chicago White Sox,9.5,10.0,3,10,2020
2020-07-25,PIT,STL,Pittsburgh Pirates,St. Louis Cardinals,9.0,9.0,1,9,2020
2020-07-25,TOR,TAM,Toronto Blue Jays,Tampa Bay Rays,8.5,8.5,1,4,2020
2020-07-25,MIA,PHI,Miami Marlins,Philadelphia Phillies,9.0,9.0,1,7,2020
2020-07-25,COL,TEX,Colorado Rockies,Texas Rangers,9.0,8.5,3,2,2020
2020-07-25,SEA,HOU,Seattle Mariners,Houston Astros,9.5,9.5,2,7,2020
2020-07-25,LAA,OAK,Los Angeles Angels,Oakland Athletics,9.0,8.5,4,1,2020
2020-07-25,SFO,LAD,San Francisco Giants,Los Angeles Dodgers,5.5,9.5,5,4,2020
2020-07-25,ATL,NYM,Atlanta Braves,New York Mets,9.0,9.0,5,3,2020
2020-07-25,DET,CIN,Detroit Tigers,Cincinnati Reds,9.0,9.0,6,4,2020
2020-07-25,KAN,CLE,Kansas City Royals,Cleveland Guardians,9.0,9.0,3,2,2020
2020-07-25,NYY,WAS,New York Yankees,Washington Nationals,8.5,10.0,2,9,2020
2020-07-25,ARI,SDG,Arizona Diamondbacks,San Diego Padres,8.5,8.0,1,5,2020
2020-07-26,MIA,PHI,Miami Marlins,Philadelphia Phillies,9.0,9.5,11,6,2020
2020-07-26,NYY,WAS,New York Yankees,Washington Nationals,10.0,10.0,3,2,2020
2020-07-26,TOR,TAM,Toronto Blue Jays,Tampa Bay Rays,8.0,8.0,5,6,2020
2020-07-26,DET,CIN,Detroit Tigers,Cincinnati Reds,9.0,9.5,3,2,2020
2020-07-26,KAN,CLE,Kansas City Royals,Cleveland Guardians,9.0,9.0,2,9,2020
2020-07-26,BAL,BOS,Baltimore Orioles,Boston Red Sox,11.0,11.0,7,4,2020
2020-07-26,MIN,CWS,Minnesota Twins,Chicago White Sox,10.5,10.0,14,2,2020
2020-07-26,SEA,HOU,Seattle Mariners,Houston Astros,9.0,9.0,7,6,2020
2020-07-26,PIT,STL,Pittsburgh Pirates,St. Louis Cardinals,9.0,9.0,5,1,2020
2020-07-26,MIL,CUB,Milwaukee Brewers,Chicago Cubs,11.0,11.5,1,9,2020
2020-07-26,COL,TEX,Colorado Rockies,Texas Rangers,9.0,8.5,5,2,2020
2020-07-26,LAA,OAK,Los Angeles Angels,Oakland Athletics,9.0,9.0,4,6,2020
2020-07-26,ARI,SDG,Arizona Diamondbacks,San Diego Padres,8.5,8.0,4,3,2020
