Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,625,5356,1089,148,478,1176,160,3.90625,2022
"Arizona,Kansas City",46,359,77,12,23,83,102,0.45098039215686275,2022
"Arizona,Oakland",3,37,5,2,3,13,13,0.23076923076923078,2022
"Arizona,San Diego",26,224,45,6,12,57,93,0.27956989247311825,2022
"Arizona,Seattle",2,17,3,0,1,7,7,0.2857142857142857,2022
"Arizona,Tampa Bay",39,491,110,12,41,115,135,0.28888888888888886,2022
Atlanta,778,5987,1375,243,457,1485,166,4.686746987951807,2022
"Atlanta,Baltimore",0,15,2,0,0,5,5,0.0,2022
"Atlanta,Detroit",40,480,86,7,56,131,131,0.3053435114503817,2022
"Atlanta,Los Angeles",6,77,11,0,2,24,33,0.18181818181818182,2022
"Atlanta,Los Angeles,San Francisco,Seattle",9,149,27,3,17,40,49,0.1836734693877551,2022
"Atlanta,New York,San Diego",5,104,15,1,4,25,33,0.15151515151515152,2022
"Atlanta,Washington",8,110,17,0,11,25,37,0.21621621621621623,2022
Baltimore,630,5536,1166,159,439,1268,156,4.038461538461538,2022
"Baltimore,Boston",3,41,5,1,1,12,15,0.2,2022
"Baltimore,Houston",56,611,125,18,54,143,151,0.3708609271523179,2022
"Baltimore,Miami",39,507,109,16,28,119,129,0.3023255813953488,2022
"Baltimore,Tampa Bay",22,225,29,5,16,94,83,0.26506024096385544,2022
Boston,610,4886,1152,134,395,1114,152,4.0131578947368425,2022
"Boston,Chicago",25,274,67,3,12,56,89,0.2808988764044944,2022
"Boston,Cincinnati",89,622,131,17,56,167,144,0.6180555555555556,2022
"Boston,Cleveland,Pittsburgh,Tampa Bay",19,190,35,4,16,59,69,0.2753623188405797,2022
"Boston,Houston",42,445,113,9,23,75,125,0.336,2022
"Boston,New York",1,44,4,0,5,13,17,0.058823529411764705,2022
"Boston,San Diego",38,419,102,8,37,64,104,0.36538461538461536,2022
"Boston,Texas",15,186,37,1,14,32,63,0.23809523809523808,2022
"Boston,Toronto",30,371,70,4,24,78,132,0.22727272727272727,2022
Chicago,1247,11282,2535,287,837,2509,158,7.8924050632911396,2022
"Chicago,Cleveland",43,473,97,14,30,157,118,0.3644067796610169,2022
"Chicago,Los Angeles",46,405,75,8,31,111,59,0.7796610169491526,2022
"Chicago,Oakland",66,577,133,17,39,92,149,0.4429530201342282,2022
"Chicago,Washington",19,222,55,4,8,23,63,0.30158730158730157,2022
Cincinnati,442,4439,930,106,323,1028,145,3.0482758620689654,2022
"Cincinnati,Los Angeles,St. Louis",10,136,20,3,4,46,51,0.19607843137254902,2022
"Cincinnati,New York",78,606,131,14,45,171,105,0.7428571428571429,2022
"Cincinnati,San Diego",89,599,143,29,39,137,146,0.6095890410958904,2022
"Cincinnati,San Francisco",7,103,13,1,10,26,39,0.1794871794871795,2022
"Cincinnati,San Francisco,Seattle",14,110,24,5,8,34,46,0.30434782608695654,2022
Cleveland,654,5819,1353,119,422,1022,164,3.9878048780487805,2022
"Cleveland,Minnesota",6,86,12,0,13,27,33,0.18181818181818182,2022
"Cleveland,Oakland",19,179,30,0,11,26,69,0.2753623188405797,2022
"Cleveland,Philadelphia",17,128,25,4,5,29,55,0.3090909090909091,2022
"Cleveland,Washington",18,131,27,5,15,30,47,0.3829787234042553,2022
Colorado,698,6105,1408,149,453,1330,153,4.562091503267974,2022
Detroit,533,5550,1184,108,342,1323,144,3.701388888888889,2022
Houston,724,5859,1322,216,518,1142,168,4.309523809523809,2022
"Houston,San Francisco",31,265,52,5,13,30,104,0.2980769230769231,2022
"Houston,Tampa Bay",54,334,65,8,20,113,106,0.5094339622641509,2022
Kansas City,507,4748,1035,119,341,1093,150,3.38,2022
"Kansas City,New York",54,521,140,5,52,77,126,0.42857142857142855,2022
"Kansas City,San Diego",1,36,4,0,3,11,16,0.0625,2022
"Kansas City,Seattle",53,530,92,20,73,96,136,0.3897058823529412,2022
"Kansas City,Toronto",70,556,127,11,38,85,141,0.49645390070921985,2022
Los Angeles,1354,11225,2498,368,966,2549,164,8.25609756097561,2022
"Los Angeles,New York",48,410,56,19,56,163,126,0.38095238095238093,2022
"Los Angeles,Oakland",2,57,7,0,6,17,22,0.09090909090909091,2022
"Los Angeles,Philadelphia",67,618,129,16,36,219,149,0.44966442953020136,2022
"Los Angeles,San Diego",37,271,58,13,35,99,84,0.44047619047619047,2022
"Los Angeles,San Francisco,Texas",7,80,11,0,7,41,29,0.2413793103448276,2022
"Los Angeles,Seattle",13,111,21,3,11,38,41,0.3170731707317073,2022
Miami,520,5354,1115,128,399,1275,140,3.7142857142857144,2022
"Miami,Minnesota",13,23,1,0,2,12,37,0.35135135135135137,2022
"Miami,San Francisco",21,136,30,1,9,44,79,0.26582278481012656,2022
Milwaukee,721,6096,1269,218,576,1458,154,4.681818181818182,2022
"Milwaukee,San Diego",3,36,6,0,1,7,17,0.17647058823529413,2022
"Milwaukee,Texas",13,91,20,6,9,30,30,0.43333333333333335,2022
Minnesota,684,6035,1346,178,508,1324,144,4.75,2022
"Minnesota,Pittsburgh",3,22,1,0,2,9,10,0.3,2022
New York,1466,11457,2553,405,1029,2358,166,8.831325301204819,2022
"New York,Pittsburgh",70,741,141,25,88,174,133,0.5263157894736842,2022
"New York,San Francisco",98,756,147,23,85,228,119,0.8235294117647058,2022
"New York,Seattle",11,64,9,0,8,10,44,0.25,2022
"New York,St. Louis",46,348,83,10,19,68,95,0.4842105263157895,2022
Oakland,493,5199,1003,122,388,1261,150,3.2866666666666666,2022
"Oakland,St. Louis",7,59,16,3,5,10,22,0.3181818181818182,2022
"Oakland,Tampa Bay",39,338,80,11,12,83,102,0.38235294117647056,2022
Philadelphia,774,6325,1425,222,513,1415,173,4.473988439306359,2022
"Philadelphia,St. Louis",27,200,42,2,6,54,82,0.32926829268292684,2022
"Philadelphia,Tampa Bay",15,87,17,0,7,36,44,0.3409090909090909,2022
"Philadelphia,Toronto",18,117,13,2,5,45,109,0.1651376146788991,2022
Pittsburgh,526,5179,1064,139,408,1341,145,3.627586206896552,2022
"Pittsburgh,San Francisco,Seattle",4,80,9,0,6,22,16,0.25,2022
"Pittsburgh,Toronto",25,282,49,4,17,58,62,0.4032258064516129,2022
San Diego,567,4904,1062,123,435,1072,170,3.335294117647059,2022
"San Diego,Washington",270,2270,477,72,281,449,166,1.6265060240963856,2022
San Francisco,612,5291,1104,157,489,1232,151,4.052980132450331,2022
"San Francisco,Seattle",29,254,42,6,25,66,57,0.5087719298245614,2022
"San Francisco,Texas",7,62,7,1,9,8,22,0.3181818181818182,2022
Seattle,665,5878,1209,183,555,1336,161,4.130434782608695,2022
St. Louis,720,5794,1305,192,522,1147,155,4.645161290322581,2022
Tampa Bay,566,5208,1120,120,452,1143,155,3.6516129032258067,2022
Texas,687,5872,1278,192,437,1398,161,4.267080745341615,2022
Toronto,733,5823,1408,190,478,1137,162,4.5246913580246915,2022
Washington,419,4333,975,84,261,937,147,2.8503401360544216,2022
