date,away_team_abbr,home_team_abbr,away_team,home_team,open_total,close_total,away_final,home_final,season
2019-03-28,NYM,WAS,New York Mets,Washington Nationals,6.5,6.5,2,0,2019
2019-03-28,STL,MIL,St. Louis Cardinals,Milwaukee Brewers,8.5,8.5,4,5,2019
2019-03-28,ATL,PHI,Atlanta Braves,Philadelphia Phillies,7.5,8.0,4,10,2019
2019-03-28,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,8.0,8.5,3,5,2019
2019-03-28,ARI,LAD,Arizona Diamondbacks,Los Angeles Dodgers,7.5,7.0,5,12,2019
2019-03-28,SFO,SDG,San Francisco Giants,San Diego Padres,8.0,7.5,0,2,2019
2019-03-28,COL,MIA,Colorado Rockies,Miami Marlins,7.5,7.5,6,3,2019
2019-03-28,BAL,NYY,Baltimore Orioles,New York Yankees,9.0,9.0,2,7,2019
2019-03-28,DET,TOR,Detroit Tigers,Toronto Blue Jays,9.0,8.5,2,0,2019
2019-03-28,HOU,TAM,Houston Astros,Tampa Bay Rays,6.5,7.0,5,1,2019
2019-03-28,LAA,OAK,Los Angeles Angels,Oakland Athletics,9.0,8.5,0,4,2019
2019-03-28,CLE,MIN,Cleveland Guardians,Minnesota Twins,7.5,7.5,0,2,2019
2019-03-28,CWS,KAN,Chicago White Sox,Kansas City Royals,8.5,8.5,3,5,2019
2019-03-28,BOS,SEA,Boston Red Sox,Seattle Mariners,7.0,7.0,4,12,2019
2019-03-28,CUB,TEX,Chicago Cubs,Texas Rangers,9.5,9.5,12,4,2019
2019-03-29,COL,MIA,Colorado Rockies,Miami Marlins,7.5,7.0,6,1,2019
2019-03-29,STL,MIL,St. Louis Cardinals,Milwaukee Brewers,8.5,8.5,9,5,2019
2019-03-29,SFO,SDG,San Francisco Giants,San Diego Padres,7.5,7.5,1,4,2019
2019-03-29,ARI,LAD,Arizona Diamondbacks,Los Angeles Dodgers,7.5,7.0,5,4,2019
2019-03-29,DET,TOR,Detroit Tigers,Toronto Blue Jays,9.0,9.0,0,6,2019
2019-03-29,HOU,TAM,Houston Astros,Tampa Bay Rays,7.0,7.0,2,4,2019
