date,away_team_abbr,home_team_abbr,away_team,home_team,open_total,close_total,away_final,home_final,season
2021-04-01,PIT,CUB,Pittsburgh Pirates,Chicago Cubs,7.0,6.5,5,3,2021
2021-04-01,ATL,PHI,Atlanta Braves,Philadelphia Phillies,7.5,7.5,2,3,2021
2021-04-01,ARI,SDG,Arizona Diamondbacks,San Diego Padres,8.0,8.5,7,8,2021
2021-04-01,LAD,COL,Los Angeles Dodgers,Colorado Rockies,11.5,10.5,5,8,2021
2021-04-01,STL,CIN,St. Louis Cardinals,Cincinnati Reds,7.5,7.0,11,6,2021
2021-04-01,TOR,NYY,Toronto Blue Jays,New York Yankees,8.0,8.0,3,2,2021
2021-04-01,CLE,DET,Cleveland Guardians,Detroit Tigers,7.5,7.5,2,3,2021
2021-04-01,TEX,KAN,Texas Rangers,Kansas City Royals,9.5,8.5,10,14,2021
2021-04-01,CWS,LAA,Chicago White Sox,Los Angeles Angels,8.5,8.0,3,4,2021
2021-04-01,HOU,OAK,Houston Astros,Oakland Athletics,8.5,8.0,8,1,2021
2021-04-01,MIN,MIL,Minnesota Twins,Milwaukee Brewers,8.0,7.5,5,6,2021
2021-04-01,TAM,MIA,Tampa Bay Rays,Miami Marlins,8.0,7.0,1,0,2021
2021-04-01,SFO,SEA,San Francisco Giants,Seattle Mariners,8.5,8.0,7,8,2021
2021-04-02,LAD,COL,Los Angeles Dodgers,Colorado Rockies,11.0,12.0,11,6,2021
2021-04-02,ARI,SDG,Arizona Diamondbacks,San Diego Padres,8.5,8.0,2,4,2021
2021-04-02,CWS,LAA,Chicago White Sox,Los Angeles Angels,8.5,8.5,12,8,2021
2021-04-02,HOU,OAK,Houston Astros,Oakland Athletics,8.5,8.5,9,5,2021
2021-04-02,TAM,MIA,Tampa Bay Rays,Miami Marlins,7.5,7.5,6,4,2021
2021-04-02,SFO,SEA,San Francisco Giants,Seattle Mariners,8.5,8.5,6,3,2021
2021-04-02,BAL,BOS,Baltimore Orioles,Boston Red Sox,9.0,9.0,3,0,2021
2021-04-03,PIT,CUB,Pittsburgh Pirates,Chicago Cubs,11.0,11.0,1,5,2021
2021-04-03,ATL,PHI,Atlanta Braves,Philadelphia Phillies,8.5,7.5,0,4,2021
2021-04-03,STL,CIN,St. Louis Cardinals,Cincinnati Reds,9.0,9.0,6,9,2021
2021-04-03,LAD,COL,Los Angeles Dodgers,Colorado Rockies,11.5,11.5,6,5,2021
2021-04-03,ARI,SDG,Arizona Diamondbacks,San Diego Padres,8.5,8.5,0,7,2021
2021-04-03,TOR,NYY,Toronto Blue Jays,New York Yankees,9.0,9.0,3,5,2021
2021-04-03,CLE,DET,Cleveland Guardians,Detroit Tigers,8.5,8.0,2,5,2021
2021-04-03,BAL,BOS,Baltimore Orioles,Boston Red Sox,10.5,10.0,4,2,2021
2021-04-03,TEX,KAN,Texas Rangers,Kansas City Royals,9.5,9.0,4,11,2021
2021-04-03,HOU,OAK,Houston Astros,Oakland Athletics,9.0,9.0,9,1,2021
2021-04-03,CWS,LAA,Chicago White Sox,Los Angeles Angels,8.5,9.0,3,5,2021
2021-04-03,TAM,MIA,Tampa Bay Rays,Miami Marlins,8.0,7.5,7,12,2021
2021-04-03,MIN,MIL,Minnesota Twins,Milwaukee Brewers,8.0,7.5,2,0,2021
2021-04-03,SFO,SEA,San Francisco Giants,Seattle Mariners,9.0,9.0,0,4,2021
2021-04-04,ATL,PHI,Atlanta Braves,Philadelphia Phillies,8.5,8.5,1,2,2021
2021-04-04,STL,CIN,St. Louis Cardinals,Cincinnati Reds,9.5,9.5,1,12,2021
2021-04-04,PIT,CUB,Pittsburgh Pirates,Chicago Cubs,8.5,8.5,3,4,2021
2021-04-04,LAD,COL,Los Angeles Dodgers,Colorado Rockies,12.0,12.0,4,2,2021
2021-04-04,ARI,SDG,Arizona Diamondbacks,San Diego Padres,9.5,9.0,3,1,2021
2021-04-04,TOR,NYY,Toronto Blue Jays,New York Yankees,9.5,9.5,3,1,2021
2021-04-04,CLE,DET,Cleveland Guardians,Detroit Tigers,8.5,8.0,9,3,2021
2021-04-04,BAL,BOS,Baltimore Orioles,Boston Red Sox,10.0,9.5,11,3,2021
2021-04-04,TEX,KAN,Texas Rangers,Kansas City Royals,9.5,10.0,7,3,2021
2021-04-04,HOU,OAK,Houston Astros,Oakland Athletics,8.5,8.5,9,2,2021
2021-04-04,CWS,LAA,Chicago White Sox,Los Angeles Angels,9.0,9.5,4,7,2021
2021-04-04,MIN,MIL,Minnesota Twins,Milwaukee Brewers,8.5,8.0,8,2,2021
2021-04-05,STL,MIA,St. Louis Cardinals,Miami Marlins,8.0,8.0,4,1,2021
2021-04-05,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,9.0,9.0,3,5,2021
2021-04-05,NYM,PHI,New York Mets,Philadelphia Phillies,7.5,7.5,3,5,2021
2021-04-05,MIL,CUB,Milwaukee Brewers,Chicago Cubs,9.5,9.5,3,5,2021
2021-04-05,SFO,SDG,San Francisco Giants,San Diego Padres,8.5,8.0,3,2,2021
2021-04-05,MIN,DET,Minnesota Twins,Detroit Tigers,8.5,9.0,15,6,2021
2021-04-05,TOR,TEX,Toronto Blue Jays,Texas Rangers,10.0,9.5,6,2,2021
2021-04-05,KAN,CLE,Kansas City Royals,Cleveland Guardians,8.0,9.0,3,0,2021
2021-04-05,BAL,NYY,Baltimore Orioles,New York Yankees,9.5,10.0,0,7,2021
2021-04-05,TAM,BOS,Tampa Bay Rays,Boston Red Sox,9.5,9.5,2,11,2021
2021-04-05,HOU,LAA,Houston Astros,Los Angeles Angels,9.0,10.0,6,7,2021
2021-04-05,CWS,SEA,Chicago White Sox,Seattle Mariners,9.0,8.0,6,0,2021
2021-04-05,LAD,OAK,Los Angeles Dodgers,Oakland Athletics,9.0,8.5,10,3,2021
2021-04-06,ATL,WAS,Atlanta Braves,Washington Nationals,8.0,7.5,5,6,2021
2021-04-06,STL,MIA,St. Louis Cardinals,Miami Marlins,8.0,7.5,4,2,2021
2021-04-06,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,9.0,9.0,1,14,2021
2021-04-06,NYM,PHI,New York Mets,Philadelphia Phillies,9.0,9.0,8,4,2021
2021-04-06,MIL,CUB,Milwaukee Brewers,Chicago Cubs,9.5,9.0,4,0,2021
2021-04-06,ARI,COL,Arizona Diamondbacks,Colorado Rockies,11.0,10.5,10,8,2021
2021-04-06,SFO,SDG,San Francisco Giants,San Diego Padres,8.0,8.0,1,3,2021
2021-04-06,MIN,DET,Minnesota Twins,Detroit Tigers,9.0,9.0,3,4,2021
2021-04-06,HOU,LAA,Houston Astros,Los Angeles Angels,9.0,9.0,4,2,2021
2021-04-06,BAL,NYY,Baltimore Orioles,New York Yankees,8.5,8.0,2,7,2021
2021-04-06,TAM,BOS,Tampa Bay Rays,Boston Red Sox,9.0,9.0,5,6,2021
2021-04-06,TOR,TEX,Toronto Blue Jays,Texas Rangers,9.5,9.5,4,7,2021
2021-04-06,CWS,SEA,Chicago White Sox,Seattle Mariners,7.5,7.0,10,4,2021
2021-04-06,LAD,OAK,Los Angeles Dodgers,Oakland Athletics,8.0,8.5,5,1,2021
2021-04-07,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,8.5,8.0,4,11,2021
2021-04-07,MIL,CUB,Milwaukee Brewers,Chicago Cubs,9.0,9.0,4,2,2021
2021-04-07,ATL,WAS,Atlanta Braves,Washington Nationals,6.5,6.5,7,6,2021
2021-04-07,NYM,PHI,New York Mets,Philadelphia Phillies,8.0,8.0,2,8,2021
2021-04-07,STL,MIA,St. Louis Cardinals,Miami Marlins,7.5,7.0,7,0,2021
2021-04-07,SFO,SDG,San Francisco Giants,San Diego Padres,8.0,7.5,3,2,2021
2021-04-07,ARI,COL,Arizona Diamondbacks,Colorado Rockies,11.5,11.5,0,8,2021
2021-04-07,MIN,DET,Minnesota Twins,Detroit Tigers,8.0,8.5,3,2,2021
2021-04-07,TAM,BOS,Tampa Bay Rays,Boston Red Sox,9.0,8.5,2,9,2021
2021-04-07,KAN,CLE,Kansas City Royals,Cleveland Guardians,8.0,8.0,2,4,2021
2021-04-07,TOR,TEX,Toronto Blue Jays,Texas Rangers,9.0,8.5,1,2,2021
2021-04-07,CWS,SEA,Chicago White Sox,Seattle Mariners,8.5,8.5,4,8,2021
2021-04-07,BAL,NYY,Baltimore Orioles,New York Yankees,9.0,9.0,4,3,2021
2021-04-07,LAD,OAK,Los Angeles Dodgers,Oakland Athletics,8.5,8.0,3,4,2021
2021-04-07,ATL,WAS,Atlanta Braves,Washington Nationals,6.5,6.5,2,0,2021
2021-04-08,MIA,NYM,Miami Marlins,New York Mets,8.5,8.5,2,3,2021
2021-04-08,CUB,PIT,Chicago Cubs,Pittsburgh Pirates,8.5,8.5,4,2,2021
2021-04-08,ARI,COL,Arizona Diamondbacks,Colorado Rockies,12.0,11.0,3,7,2021
2021-04-08,MIL,STL,Milwaukee Brewers,St. Louis Cardinals,8.0,7.5,1,3,2021
2021-04-08,BOS,BAL,Boston Red Sox,Baltimore Orioles,9.5,9.0,7,3,2021
2021-04-08,SEA,MIN,Seattle Mariners,Minnesota Twins,8.0,8.0,2,10,2021
2021-04-08,KAN,CWS,Kansas City Royals,Chicago White Sox,9.0,8.0,0,6,2021
2021-04-08,LAA,TOR,Los Angeles Angels,Toronto Blue Jays,9.5,10.0,7,5,2021
2021-04-08,OAK,HOU,Oakland Athletics,Houston Astros,9.5,10.0,2,6,2021
2021-04-09,COL,SFO,Colorado Rockies,San Francisco Giants,8.5,8.5,1,3,2021
2021-04-09,WAS,LAD,Washington Nationals,Los Angeles Dodgers,8.5,8.5,0,1,2021
2021-04-09,PHI,ATL,Philadelphia Phillies,Atlanta Braves,8.5,7.5,1,8,2021
2021-04-09,CIN,ARI,Cincinnati Reds,Arizona Diamondbacks,9.0,9.5,6,5,2021
2021-04-09,NYY,TAM,New York Yankees,Tampa Bay Rays,8.5,8.0,5,10,2021
2021-04-09,LAA,TOR,Los Angeles Angels,Toronto Blue Jays,10.5,11.0,7,1,2021
2021-04-09,DET,CLE,Detroit Tigers,Cleveland Guardians,8.5,9.5,1,4,2021
2021-04-09,OAK,HOU,Oakland Athletics,Houston Astros,9.0,8.5,6,2,2021
2021-04-09,SDG,TEX,San Diego Padres,Texas Rangers,9.0,9.0,3,0,2021
2021-04-10,MIA,NYM,Miami Marlins,New York Mets,7.0,6.5,3,0,2021
2021-04-10,MIL,STL,Milwaukee Brewers,St. Louis Cardinals,8.5,8.0,9,5,2021
2021-04-10,COL,SFO,Colorado Rockies,San Francisco Giants,8.5,8.5,3,4,2021
