Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,643,5150,1132,160,460,1101,161,3.9937888198757765,2025
"Arizona,Cincinnati,St. Louis",19,91,11,0,11,29,62,0.3064516129032258,2025
"Arizona,Kansas City",35,293,62,9,17,61,113,0.30973451327433627,2025
"Arizona,Seattle",183,1363,320,75,102,303,171,1.0701754385964912,2025
Athletics,699,5768,1312,210,480,1326,162,4.314814814814815,2025
"Athletics,Cincinnati",50,456,132,16,23,82,95,0.5263157894736842,2025
"Athletics,Los Angeles",3,47,7,1,3,22,19,0.15789473684210525,2025
"Athletics,Milwaukee",1,18,2,0,0,6,8,0.125,2025
"Athletics,Minnesota",4,78,17,0,8,21,28,0.14285714285714285,2025
Atlanta,697,5961,1301,187,556,1322,162,4.302469135802469,2025
"Atlanta,Baltimore",2,22,3,1,1,6,8,0.25,2025
"Atlanta,Baltimore,Chicago",14,95,22,0,6,21,60,0.23333333333333334,2025
"Atlanta,Cincinnati",31,217,46,6,25,49,76,0.40789473684210525,2025
"Atlanta,Colorado",13,214,41,3,10,47,76,0.17105263157894737,2025
"Atlanta,Los Angeles",1,8,1,0,0,2,5,0.2,2025
"Atlanta,New York",5,21,5,0,2,1,14,0.35714285714285715,2025
"Atlanta,San Francisco",5,63,10,1,7,14,26,0.19230769230769232,2025
"Atlanta,Tampa Bay",19,191,40,5,16,39,48,0.3958333333333333,2025
"Atlanta,Texas",1,10,2,0,1,3,6,0.16666666666666666,2025
Baltimore,507,4630,959,139,361,1152,154,3.292207792207792,2025
"Baltimore,Chicago",3,59,5,1,11,25,23,0.13043478260869565,2025
"Baltimore,Colorado",5,129,16,0,6,40,42,0.11904761904761904,2025
"Baltimore,Houston",43,496,100,14,41,119,112,0.38392857142857145,2025
"Baltimore,New York",58,498,94,17,50,120,133,0.43609022556390975,2025
"Baltimore,San Diego",139,1043,259,41,94,229,147,0.9455782312925171,2025
"Baltimore,San Francisco",13,57,10,1,4,13,30,0.43333333333333335,2025
Boston,730,5852,1330,170,457,1342,160,4.5625,2025
"Boston,San Francisco",99,729,153,35,112,192,163,0.6073619631901841,2025
"Boston,Toronto",2,23,5,0,0,6,12,0.16666666666666666,2025
"Boston,Washington",64,616,124,18,62,160,156,0.41025641025641024,2025
Chicago,1383,11481,2510,387,1003,2492,167,8.281437125748504,2025
"Chicago,Cleveland",49,474,91,11,52,91,124,0.3951612903225806,2025
"Chicago,Los Angeles",2,28,1,0,4,4,18,0.1111111111111111,2025
"Chicago,Miami",19,149,29,3,9,48,57,0.3333333333333333,2025
"Chicago,Milwaukee",49,582,119,17,38,107,121,0.4049586776859504,2025
"Chicago,Minnesota",58,454,91,11,40,111,120,0.48333333333333334,2025
"Chicago,New York",22,160,32,5,11,51,65,0.3384615384615385,2025
"Chicago,New York,Tampa Bay",8,50,11,0,3,12,25,0.32,2025
"Chicago,Tampa Bay",42,454,90,4,44,109,90,0.4666666666666667,2025
"Chicago,Toronto",2,75,9,0,2,27,27,0.07407407407407407,2025
Cincinnati,657,5537,1201,151,478,1317,164,4.0060975609756095,2025
"Cincinnati,Pittsburgh",50,576,124,5,36,111,154,0.3246753246753247,2025
"Cincinnati,San Diego",2,80,13,0,7,20,42,0.047619047619047616,2025
"Cincinnati,St. Louis",1,15,1,0,2,5,8,0.125,2025
Cleveland,604,5587,1126,160,451,1282,161,3.751552795031056,2025
Colorado,530,5171,1145,136,327,1312,148,3.581081081081081,2025
"Colorado,New York",64,601,113,21,71,191,160,0.4,2025
"Colorado,Texas",10,74,13,5,6,28,20,0.5,2025
Detroit,787,6421,1406,204,540,1542,165,4.7696969696969695,2025
