Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Houston,626,5502,1249,166,419,1158,155,4.038709677419355,2025
"Houston,Miami",61,497,107,14,42,110,134,0.4552238805970149,2025
"Houston,Minnesota",63,584,148,13,45,113,144,0.4375,2025
Kansas City,573,5312,1184,141,381,979,160,3.58125,2025
"Kansas City,Pittsburgh",43,459,112,7,26,81,134,0.3208955223880597,2025
"Kansas City,San Diego",32,358,84,5,19,66,112,0.2857142857142857,2025
"Kansas City,San Francisco",68,558,111,17,72,108,146,0.4657534246575342,2025
Los Angeles,1521,12445,2661,485,1098,3021,175,8.691428571428572,2025
"Los Angeles,Minnesota",19,148,18,6,12,63,59,0.3220338983050847,2025
"Los Angeles,New York",24,265,40,5,17,80,106,0.22641509433962265,2025
"Los Angeles,Philadelphia,Toronto",2,32,2,0,2,8,13,0.15384615384615385,2025
"Los Angeles,San Francisco",19,242,35,2,27,58,80,0.2375,2025
"Los Angeles,Tampa Bay",16,243,33,1,26,55,48,0.3333333333333333,2025
"Los Angeles,Washington",44,337,76,5,39,57,117,0.37606837606837606,2025
Miami,630,5422,1237,139,425,1087,143,4.405594405594406,2025
"Miami,Minnesota",7,125,19,0,11,39,45,0.15555555555555556,2025
"Miami,Pittsburgh",10,88,18,0,8,15,27,0.37037037037037035,2025
"Miami,Tampa Bay",19,242,50,5,14,47,97,0.1958762886597938,2025
Milwaukee,778,6060,1372,159,550,1255,165,4.715151515151515,2025
"Milwaukee,San Diego",17,150,31,0,8,37,68,0.25,2025
"Milwaukee,Tampa Bay",38,337,62,14,42,86,98,0.3877551020408163,2025
Minnesota,451,4022,854,132,347,893,142,3.176056338028169,2025
"Minnesota,Philadelphia",107,891,199,36,68,230,149,0.7181208053691275,2025
"Minnesota,Toronto",67,647,141,9,30,121,140,0.4785714285714286,2025
New York,1561,11972,2663,490,1157,2662,162,9.635802469135802,2025
"New York,Tampa Bay",52,375,75,5,47,99,129,0.40310077519379844,2025
"New York,Washington",22,201,53,6,7,32,66,0.3333333333333333,2025
Philadelphia,763,6111,1400,210,531,1317,166,4.596385542168675,2025
Pittsburgh,483,4894,984,111,477,1219,154,3.1363636363636362,2025
"Pittsburgh,Toronto",49,499,119,2,18,81,151,0.32450331125827814,2025
San Diego,632,5528,1235,139,472,1026,162,3.9012345679012346,2025
"San Diego,Toronto",15,149,29,0,17,28,55,0.2727272727272727,2025
San Francisco,593,5051,1069,142,426,1125,159,3.729559748427673,2025
Seattle,680,5463,1181,205,518,1248,172,3.953488372093023,2025
"Seattle,Texas",92,914,186,34,50,255,112,0.8214285714285714,2025
St. Louis,679,6023,1327,148,475,1303,139,4.884892086330935,2025
Tampa Bay,604,4899,1170,161,346,1092,154,3.9220779220779223,2025
Texas,656,5785,1219,166,472,1253,144,4.555555555555555,2025
Toronto,856,6468,1557,216,552,1131,175,4.8914285714285715,2025
Washington,588,5097,1124,137,363,1163,157,3.745222929936306,2025
