Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,k_bb_ratio,mlbID,season
Andrew Abbott,24,990,Maj-NL,Cincinnati,21,21,8.0,6.0,,109.1,100,47,47,44,120,16,1,3.87,409,24,1,0,6,5,7,4,3,459,1898,0.63,0.16,0.11,0.3,0.25,0.09,1.317,0.302,9.9,2.73,671096,2023
Joan Adon,24,987,Maj-NL,Washington,12,10,2.0,4.0,,51.2,60,37,37,24,48,8,3,6.45,211,18,0,3,3,1,9,0,1,240,924,0.63,0.15,0.1,0.38,0.28,0.07,1.626,0.333,8.4,2.0,672851,2023
Keegan Akin,28,1081,Maj-AL,Baltimore,24,1,2.0,2.0,,23.2,35,22,18,7,27,2,0,6.85,104,6,2,2,1,1,0,2,1,112,452,0.71,0.17,0.13,0.36,0.29,0.08,1.775,0.434,10.3,3.86,669211,2023
Sandy Alcantara,27,1014,Maj-NL,Miami,28,28,7.0,12.0,,184.2,176,91,85,48,151,22,5,4.14,700,30,1,0,18,6,17,3,3,762,2722,0.69,0.15,0.13,0.52,0.22,0.05,1.213,0.289,7.4,3.15,645261,2023
Scott Alexander,33,996,Maj-NL,San Francisco,55,8,7.0,3.0,1.0,48.1,55,30,25,11,31,2,1,4.66,195,9,1,3,5,0,7,0,0,208,694,0.68,0.16,0.1,0.62,0.21,0.04,1.366,0.327,5.8,2.82,518397,2023
Tyler Alexander,28,1077,Maj-AL,Detroit,25,1,2.0,1.0,,44.0,44,25,22,5,44,8,2,4.5,172,10,0,0,6,1,1,0,0,181,679,0.7,0.21,0.08,0.33,0.24,0.08,1.114,0.298,9.0,8.8,641302,2023
Kolby Allard,25,1063,Maj-NL,Atlanta,4,3,,1.0,,12.1,16,9,9,4,13,2,0,6.57,52,3,0,0,1,0,1,0,0,56,200,0.66,0.17,0.11,0.31,0.33,0.05,1.622,0.378,9.5,3.25,663465,2023
Logan Allen,24,998,Maj-AL,Cleveland,24,24,7.0,8.0,,125.1,127,55,53,48,119,16,1,3.81,483,28,0,0,11,2,0,5,1,537,2134,0.64,0.16,0.11,0.43,0.25,0.07,1.396,0.317,8.5,2.48,671106,2023
Chase Anderson,35,991,"Maj-AL,Maj-NL","Colorado,Tampa Bay",19,17,1.0,6.0,1.0,86.1,90,53,52,33,64,17,7,5.42,329,11,2,0,9,2,4,4,0,372,1447,0.61,0.14,0.09,0.36,0.24,0.05,1.425,0.292,6.7,1.94,502624,2023
Tyler Anderson,33,1001,Maj-AL,Los Angeles,27,25,6.0,6.0,,141.0,146,90,85,64,119,20,7,5.43,549,40,2,1,7,7,7,2,0,629,2436,0.64,0.14,0.13,0.31,0.27,0.08,1.489,0.302,7.6,1.86,542881,2023
Tejay Antone,29,1004,Maj-NL,Cincinnati,5,1,,,,5.2,3,1,1,2,7,0,0,1.59,19,1,0,0,1,0,0,0,0,21,90,0.66,0.24,0.1,0.67,0.17,0.0,0.882,0.25,11.1,3.5,622088,2023
Shawn Armstrong,32,983,Maj-AL,Tampa Bay,40,6,1.0,,,53.0,37,12,8,11,55,2,4,1.36,195,8,1,0,2,1,1,0,0,211,818,0.69,0.15,0.13,0.38,0.26,0.1,0.906,0.252,9.3,5.0,542888,2023
Graham Ashcraft,25,1016,Maj-NL,Cincinnati,26,26,7.0,9.0,,145.2,148,78,77,52,111,23,10,4.76,558,23,4,0,21,2,10,4,1,624,2324,0.65,0.17,0.1,0.48,0.24,0.05,1.373,0.293,6.9,2.13,668933,2023
Javier Assad,25,987,Maj-NL,Chicago,32,10,5.0,3.0,,109.1,93,38,37,41,94,13,3,3.05,402,18,3,1,10,2,8,3,2,449,1711,0.61,0.18,0.08,0.47,0.22,0.08,1.226,0.269,7.7,2.29,665871,2023
Pedro Avila,26,986,Maj-NL,San Diego,14,6,2.0,2.0,,50.1,43,23,18,25,54,3,5,3.22,187,11,0,0,6,1,3,0,0,220,895,0.61,0.15,0.12,0.6,0.22,0.02,1.351,0.305,9.7,2.16,658648,2023
Tanner Banks,31,987,Maj-AL,Chicago,32,3,1.0,4.0,1.0,61.0,59,32,30,16,51,10,4,4.43,232,13,4,1,6,3,8,1,0,255,1008,0.63,0.17,0.1,0.37,0.24,0.05,1.23,0.282,7.5,3.19,621383,2023
