Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,k_bb_ratio,mlbID,season
Matt Barnes,33,1108,Maj-NL,Miami,24,1,1.0,,,21.1,25,13,13,10,20,2,1,5.48,88,3,0,1,2,0,5,0,0,99,400,0.59,0.2,0.08,0.5,0.26,0.09,1.641,0.348,8.4,2.0,598264,2023
Jaime Barria,26,992,Maj-AL,Los Angeles,34,6,2.0,6.0,,82.1,91,63,52,30,62,20,2,5.68,328,17,0,6,7,2,0,1,2,362,1351,0.64,0.15,0.1,0.36,0.24,0.07,1.47,0.286,6.8,2.07,642545,2023
Chris Bassitt,34,989,Maj-AL,Toronto,33,33,16.0,8.0,,200.0,176,88,80,59,186,28,12,3.6,749,38,2,2,14,5,14,6,2,826,3140,0.66,0.19,0.1,0.43,0.23,0.07,1.175,0.274,8.4,3.15,605135,2023
Peyton Battenfield,25,1123,Maj-AL,Cleveland,7,6,,5.0,,34.2,34,22,20,12,27,7,0,5.19,133,8,0,0,4,1,2,0,0,146,551,0.65,0.15,0.12,0.42,0.24,0.04,1.327,0.27,7.0,2.25,685410,2023
Tristan Beck,27,987,Maj-NL,San Francisco,33,3,3.0,3.0,2.0,85.0,83,40,37,21,68,10,2,3.92,330,15,0,2,10,0,2,0,0,354,1298,0.65,0.16,0.11,0.42,0.22,0.07,1.224,0.29,7.2,3.24,663941,2023
Jalen Beeks,29,997,Maj-AL,Tampa Bay,30,8,2.0,3.0,1.0,42.1,42,28,28,21,47,4,1,5.95,167,10,0,0,2,2,0,0,0,192,731,0.62,0.16,0.13,0.46,0.24,0.04,1.488,0.322,10.0,2.24,656222,2023
Brayan Bello,24,990,Maj-AL,Boston,28,28,12.0,11.0,,157.0,165,77,74,45,132,24,6,4.24,611,36,2,0,23,5,9,3,2,668,2616,0.63,0.15,0.11,0.56,0.19,0.04,1.338,0.307,7.6,2.93,678394,2023
Brennan Bernardino,31,986,Maj-AL,Boston,55,6,2.0,1.0,,50.2,48,19,18,18,58,4,6,3.2,192,10,1,1,6,0,2,1,2,216,865,0.62,0.22,0.09,0.49,0.28,0.07,1.303,0.338,10.3,3.22,657514,2023
Jose Berrios,29,983,Maj-AL,Toronto,33,33,11.0,13.0,,192.2,176,83,78,53,189,25,9,3.64,728,33,2,3,14,2,12,4,3,794,2985,0.65,0.18,0.11,0.42,0.27,0.06,1.189,0.293,8.8,3.57,621244,2023
Tanner Bibee,24,1001,Maj-AL,Cleveland,25,25,10.0,4.0,,142.0,122,49,47,45,141,13,5,2.98,530,26,0,0,7,4,9,1,3,585,2323,0.64,0.16,0.11,0.37,0.26,0.08,1.176,0.287,8.9,3.13,676440,2023
Osvaldo Bido,27,986,Maj-NL,Pittsburgh,16,9,2.0,5.0,,50.2,55,35,33,21,48,4,8,5.86,204,8,1,0,1,3,2,0,0,236,940,0.63,0.18,0.09,0.36,0.31,0.1,1.5,0.329,8.5,2.29,674370,2023
Shane Bieber,28,990,Maj-AL,Cleveland,21,21,6.0,6.0,,128.0,124,56,54,34,107,14,3,3.8,490,29,2,0,14,4,11,5,2,533,1957,0.65,0.19,0.11,0.48,0.26,0.04,1.234,0.295,7.5,3.15,669456,2023
Brandon Bielak,27,1024,Maj-AL,Houston,15,13,5.0,6.0,,80.0,86,43,34,36,62,12,5,3.83,311,19,1,0,12,0,5,6,1,353,1394,0.59,0.14,0.1,0.51,0.22,0.04,1.525,0.312,7.0,1.72,656232,2023
Jake Bird,27,986,Maj-NL,Colorado,70,3,3.0,3.0,,89.1,94,47,43,27,77,6,7,4.33,341,19,2,0,11,6,5,1,0,381,1392,0.64,0.19,0.09,0.53,0.23,0.04,1.354,0.333,7.8,2.85,656234,2023
Ty Blach,32,988,Maj-NL,Colorado,20,13,3.0,3.0,,78.0,104,51,48,24,50,15,6,5.54,315,16,2,0,12,7,2,1,0,352,1264,0.67,0.17,0.07,0.39,0.3,0.04,1.641,0.346,5.8,2.08,621389,2023
Paul Blackburn,29,991,Maj-AL,Oakland,21,20,4.0,7.0,,103.2,117,54,51,43,104,11,3,4.43,409,22,3,1,7,8,10,3,1,464,1875,0.61,0.16,0.1,0.42,0.29,0.05,1.543,0.351,9.0,2.42,621112,2023
Ronel Blanco,29,1022,Maj-AL,Houston,17,7,2.0,1.0,,52.0,49,29,26,28,52,12,2,4.5,195,5,0,0,9,1,2,0,0,226,905,0.62,0.11,0.16,0.35,0.26,0.04,1.481,0.28,9.0,1.86,669854,2023
Ryan Borucki,29,988,Maj-NL,Pittsburgh,38,2,4.0,,,40.1,26,11,11,4,33,4,4,2.45,142,7,0,0,4,0,4,1,0,152,529,0.71,0.19,0.14,0.48,0.19,0.09,0.744,0.21,7.4,8.25,621366,2023
Jonathan Bowlan,26,988,Maj-AL,Kansas City,2,1,,1.0,,3.0,5,1,1,0,3,1,0,3.0,14,0,0,0,0,0,0,0,0,14,56,0.66,0.07,0.16,0.27,0.18,0.09,1.667,0.4,9.0,,680742,2023
Matthew Boyd,32,1083,Maj-AL,Detroit,15,15,5.0,5.0,,71.0,69,46,43,25,73,11,2,5.45,276,15,0,0,5,0,2,2,2,303,1176,0.64,0.14,0.14,0.39,0.22,0.08,1.324,0.302,9.3,2.92,571510,2023
Joe Boyle,23,987,Maj-AL,Oakland,3,3,2.0,,,16.0,8,4,3,5,15,1,0,1.69,54,3,0,0,0,1,2,1,1,60,240,0.66,0.2,0.09,0.3,0.18,0.13,0.813,0.179,8.4,3.0,671212,2023
Cody Bradford,25,956,Maj-AL,Texas,25,8,5.0,3.0,,63.2,60,34,34,12,56,12,1,4.81,242,17,2,0,4,5,3,0,0,261,1079,0.67,0.18,0.1,0.33,0.24,0.09,1.131,0.268,7.9,4.67,674003,2023
Kyle Bradish,26,980,Maj-AL,Baltimore,31,31,12.0,8.0,,173.1,139,56,55,45,177,14,8,2.86,636,30,1,0,19,2,3,2,0,693,2725,0.64,0.18,0.11,0.49,0.26,0.03,1.062,0.28,9.2,3.93,680694,2023
Taj Bradley,22,986,Maj-AL,Tampa Bay,23,21,5.0,8.0,,104.2,106,69,65,39,129,23,1,5.59,416,25,3,0,2,4,0,0,0,460,1821,0.65,0.15,0.11,0.36,0.28,0.12,1.385,0.31,11.1,3.31,671737,2023
John Brebbia,33,986,Maj-NL,San Francisco,40,10,3.0,5.0,,38.1,31,21,17,14,47,6,0,3.99,144,7,1,2,0,3,5,1,1,161,675,0.64,0.17,0.12,0.3,0.23,0.06,1.174,0.266,11.0,3.36,605154,2023
Beau Brieske,25,987,Maj-AL,Detroit,25,1,2.0,3.0,2.0,35.0,36,14,14,12,31,4,0,3.6,139,9,0,0,0,1,1,0,0,152,637,0.63,0.14,0.1,0.43,0.25,0.06,1.371,0.305,8.0,2.58,689225,2023
Jhony Brito,25,986,Maj-AL,New York,25,13,9.0,7.0,1.0,90.1,82,47,43,28,72,14,4,4.28,336,18,2,0,9,4,7,3,3,372,1450,0.66,0.18,0.09,0.44,0.19,0.06,1.218,0.268,7.2,2.57,666745,2023
Connor Brogdon,28,1105,Maj-NL,Philadelphia,27,1,2.0,1.0,,29.0,29,14,13,13,26,5,1,4.03,110,4,2,0,0,3,5,1,0,127,545,0.63,0.16,0.12,0.38,0.2,0.09,1.448,0.293,8.1,2.0,641401,2023
Hunter Brown,24,964,Maj-AL,Houston,35,29,11.0,13.0,,162.2,163,96,90,56,184,27,9,4.98,624,35,2,0,17,2,16,7,2,691,2835,0.63,0.17,0.1,0.52,0.22,0.05,1.346,0.328,10.2,3.29,686613,2023
Kris Bubic,25,1155,Maj-AL,Kansas City,3,3,,2.0,,16.0,19,7,7,2,16,1,1,3.94,65,3,0,0,1,0,1,0,0,68,265,0.67,0.13,0.15,0.53,0.18,0.04,1.313,0.375,9.0,8.0,663460,2023
Madison Bumgarner,33,1151,Maj-NL,Arizona,4,4,,3.0,,16.2,25,20,19,15,10,4,1,10.26,72,8,0,0,0,2,3,1,0,90,350,0.57,0.14,0.06,0.36,0.25,0.09,2.4,0.35,5.4,0.67,518516,2023
Corbin Burnes,28,984,Maj-NL,Milwaukee,33,33,10.0,9.0,,197.2,146,81,77,68,205,25,8,3.51,721,19,1,0,10,6,12,2,3,803,3173,0.63,0.17,0.12,0.44,0.26,0.06,1.083,0.243,9.3,3.01,669203,2023
Jose Butto,25,986,Maj-NL,New York,9,7,1.0,4.0,,42.0,33,17,17,23,38,3,0,3.64,156,3,1,0,2,0,10,0,0,179,734,0.59,0.13,0.12,0.42,0.21,0.09,1.333,0.261,8.1,1.65,676130,2023
Edward Cabrera,25,988,Maj-NL,Miami,22,20,7.0,7.0,,99.2,78,48,47,66,118,11,4,4.24,363,18,0,0,11,1,16,2,1,434,1803,0.59,0.16,0.12,0.56,0.15,0.07,1.445,0.285,10.7,1.79,665795,2023
Griffin Canning,27,990,Maj-AL,Los Angeles,24,22,7.0,8.0,,127.0,121,62,61,36,139,22,5,4.32,493,19,3,1,6,1,2,0,3,536,2177,0.65,0.17,0.13,0.43,0.21,0.06,1.236,0.297,9.9,3.86,656288,2023
Carlos Carrasco,36,1022,Maj-NL,New York,20,20,3.0,8.0,,90.0,115,71,68,38,66,18,6,6.8,371,24,2,0,6,2,12,1,4,417,1587,0.62,0.15,0.11,0.46,0.28,0.05,1.7,0.336,6.6,1.74,471911,2023
Luis Castillo,30,987,Maj-AL,Seattle,33,33,14.0,9.0,,197.0,160,81,73,56,219,28,5,3.34,735,36,5,0,2,5,6,6,1,802,3208,0.67,0.14,0.15,0.39,0.24,0.09,1.096,0.268,10.0,3.91,622491,2023
Dylan Cease,27,988,Maj-AL,Chicago,33,33,7.0,9.0,,177.0,172,98,90,79,214,19,9,4.58,689,32,9,3,6,6,13,2,3,784,3262,0.62,0.16,0.14,0.37,0.28,0.08,1.418,0.331,10.9,2.71,656302,2023
Slade Cecconi,24,966,Maj-NL,Arizona,9,4,,1.0,,29.0,29,13,13,4,21,4,2,4.03,110,9,1,0,2,1,1,1,0,117,445,0.63,0.15,0.08,0.39,0.22,0.04,1.138,0.291,6.5,5.25,677944,2023
Luis Cessa,31,1133,Maj-NL,Cincinnati,7,6,1.0,4.0,,26.0,46,26,26,12,11,3,1,9.0,116,11,2,0,5,2,0,0,0,132,464,0.63,0.16,0.06,0.38,0.38,0.07,2.231,0.413,3.8,0.92,570666,2023
JT Chargois,32,983,Maj-NL,Miami,47,5,1.0,,1.0,43.0,36,17,17,19,35,3,0,3.56,154,14,0,2,7,3,5,1,1,178,710,0.6,0.2,0.08,0.54,0.22,0.03,1.279,0.277,7.3,1.84,608638,2023
Jesse Chavez,39,986,Maj-NL,Atlanta,36,1,1.0,,1.0,34.2,26,10,6,12,39,2,3,1.56,128,4,1,0,3,1,3,1,0,144,581,0.64,0.22,0.1,0.52,0.28,0.08,1.096,0.273,10.1,3.25,445926,2023
Yonny Chirinos,29,1029,"Maj-AL,Maj-NL","Atlanta,Tampa Bay",20,9,5.0,5.0,,85.0,91,53,51,27,53,15,5,5.4,331,22,1,0,9,3,3,1,1,367,1342,0.64,0.15,0.08,0.46,0.27,0.05,1.388,0.286,5.6,1.96,630023,2023
Aaron Civale,28,988,Maj-AL,"Cleveland,Tampa Bay",23,23,7.0,5.0,,122.1,109,47,47,33,116,12,5,3.46,463,21,1,0,9,1,6,2,0,504,2009,0.66,0.19,0.1,0.4,0.24,0.09,1.161,0.289,8.5,3.52,650644,2023
Taylor Clarke,30,986,Maj-AL,Kansas City,58,2,3.0,6.0,3.0,59.0,71,42,39,24,65,12,3,5.95,234,11,1,1,0,3,0,3,5,266,1068,0.65,0.15,0.13,0.32,0.25,0.11,1.61,0.369,9.9,2.71,664199,2023
Mike Clevinger,32,987,Maj-AL,Chicago,24,24,9.0,9.0,,131.1,121,56,55,40,110,16,9,3.77,496,27,3,0,10,3,27,1,4,549,2097,0.66,0.17,0.1,0.31,0.23,0.12,1.226,0.282,7.5,2.75,605182,2023
Alex Cobb,35,998,Maj-NL,San Francisco,28,28,7.0,7.0,,151.1,163,69,65,37,131,19,6,3.87,600,33,4,0,16,2,13,3,4,646,2505,0.64,0.19,0.09,0.58,0.24,0.02,1.322,0.319,7.8,3.54,502171,2023
Gerrit Cole,32,990,Maj-AL,New York,33,33,15.0,4.0,,209.0,157,64,61,48,222,20,7,2.63,761,26,1,0,14,2,7,4,2,821,3282,0.66,0.16,0.12,0.4,0.25,0.07,0.981,0.263,9.6,4.63,543037,2023
Dylan Coleman,26,1027,Maj-AL,Kansas City,23,1,,2.0,,18.1,18,19,18,19,21,3,5,8.84,69,3,0,1,2,3,4,0,0,96,383,0.55,0.18,0.11,0.35,0.31,0.12,2.018,0.313,10.3,1.11,669395,2023
Roansy Contreras,23,1074,Maj-NL,Pittsburgh,19,11,3.0,7.0,1.0,68.1,75,50,50,32,55,11,1,6.59,266,16,0,1,6,1,13,2,2,302,1141,0.64,0.17,0.12,0.39,0.25,0.07,1.566,0.318,7.2,1.72,672710,2023
Patrick Corbin,33,990,Maj-NL,Washington,32,32,10.0,15.0,,180.0,210,113,104,57,124,33,4,5.2,717,34,1,0,15,9,28,10,8,790,2925,0.62,0.16,0.09,0.45,0.24,0.05,1.483,0.311,6.2,2.18,571578,2023
Jimmy Cordero,31,1077,Maj-AL,New York,31,1,3.0,2.0,,32.2,25,14,14,10,34,2,2,3.86,120,5,1,0,3,0,6,0,0,132,512,0.64,0.21,0.1,0.56,0.26,0.03,1.071,0.274,9.4,3.4,622772,2023
Nestor Cortes,28,1043,Maj-AL,New York,12,12,5.0,2.0,,63.1,59,36,35,20,67,11,3,4.97,242,15,0,0,5,1,2,1,2,266,1068,0.66,0.16,0.1,0.26,0.22,0.16,1.247,0.291,9.5,3.35,641482,2023
Dylan Covey,31,990,Maj-NL,"Los Angeles,Philadelphia",29,1,1.0,3.0,,43.0,48,22,18,17,30,5,2,3.77,170,5,1,1,5,2,1,0,1,191,735,0.62,0.15,0.07,0.54,0.25,0.06,1.512,0.314,6.3,1.76,592229,2023
Austin Cox,26,1009,Maj-AL,Kansas City,24,3,,1.0,1.0,35.2,28,20,18,17,33,2,2,4.54,127,5,2,0,3,3,3,1,2,149,578,0.62,0.18,0.11,0.37,0.28,0.05,1.262,0.274,8.3,1.94,680735,2023
Kutter Crawford,27,987,Maj-AL,Boston,31,23,6.0,8.0,,129.1,107,59,58,36,135,17,5,4.04,484,26,2,0,9,2,8,2,1,527,2103,0.66,0.14,0.13,0.35,0.19,0.14,1.106,0.269,9.4,3.75,676710,2023
Fernando Cruz,33,987,Maj-NL,Cincinnati,58,2,1.0,2.0,,66.0,52,39,36,28,98,6,2,4.91,246,14,3,0,3,2,6,0,0,279,1122,0.63,0.14,0.16,0.3,0.28,0.07,1.212,0.319,13.4,3.5,518585,2023
Steven Cruz,24,987,Maj-AL,Kansas City,10,4,,,,12.2,11,7,7,11,15,1,1,4.97,50,4,1,0,0,0,1,0,0,62,244,0.57,0.16,0.09,0.37,0.2,0.09,1.737,0.294,10.7,1.36,674444,2023
Jose Cuas,29,988,"Maj-AL,Maj-NL","Chicago,Kansas City",72,2,3.0,2.0,1.0,65.1,63,30,29,35,71,8,7,3.99,249,10,2,0,8,1,4,2,0,292,1176,0.61,0.16,0.13,0.45,0.26,0.07,1.5,0.322,9.8,2.03,621016,2023
Johnny Cueto,37,990,Maj-NL,Miami,13,10,1.0,4.0,,52.1,51,36,35,15,39,17,3,6.02,199,6,0,0,7,1,0,0,1,218,855,0.66,0.14,0.09,0.34,0.23,0.09,1.261,0.236,6.7,2.6,456501,2023
Xzavion Curry,24,987,Maj-AL,Cleveland,41,9,3.0,4.0,,95.0,98,47,43,30,67,12,2,4.07,367,22,2,1,7,4,10,1,1,404,1496,0.65,0.16,0.09,0.32,0.26,0.09,1.347,0.295,6.3,2.23,675540,2023
Yu Darvish,36,1023,Maj-NL,San Diego,24,24,8.0,10.0,,136.1,134,71,69,43,141,18,8,4.56,517,25,2,0,12,6,17,4,0,574,2220,0.65,0.18,0.11,0.43,0.27,0.09,1.298,0.319,9.3,3.28,506433,2023
Tucker Davidson,27,988,Maj-AL,"Kansas City,Los Angeles",38,1,1.0,2.0,2.0,51.1,64,37,34,19,46,6,3,5.96,209,18,0,2,6,1,10,0,0,236,848,0.64,0.18,0.11,0.46,0.23,0.05,1.617,0.367,8.1,2.42,656353,2023
Zach Davies,30,991,Maj-NL,Arizona,18,18,2.0,5.0,,82.1,98,67,64,39,72,10,2,7.0,332,17,4,0,7,3,8,1,0,377,1498,0.59,0.18,0.08,0.44,0.26,0.05,1.664,0.348,7.9,1.85,605200,2023
Noah Davis,26,990,Maj-NL,Colorado,8,6,,4.0,,30.0,43,30,29,15,26,6,4,8.7,126,6,0,0,3,1,3,2,1,146,601,0.62,0.15,0.08,0.48,0.22,0.09,1.933,0.389,7.8,1.73,663562,2023
Jose De Leon,30,1090,Maj-AL,Minnesota,12,1,,1.0,,17.1,16,10,9,5,17,2,1,4.67,64,1,0,0,3,0,1,0,0,70,284,0.68,0.2,0.11,0.4,0.28,0.15,1.212,0.311,8.8,3.4,592254,2023
Jacob deGrom,35,1142,Maj-AL,Texas,6,6,2.0,,,30.1,19,11,9,4,45,2,0,2.67,111,7,2,0,0,0,5,1,0,115,451,0.67,0.16,0.2,0.38,0.21,0.11,0.758,0.266,13.4,11.25,594798,2023
Matt Dermody,32,1101,Maj-AL,Boston,1,1,,1.0,,4.0,4,3,3,1,1,2,1,6.75,15,0,0,0,1,0,0,0,0,17,76,0.59,0.11,0.07,0.5,0.29,0.07,1.25,0.167,2.3,1.0,571616,2023
Anthony DeSclafani,33,1056,Maj-NL,San Francisco,19,18,4.0,8.0,,99.2,105,59,54,20,79,15,4,4.88,388,25,1,0,6,3,8,3,2,419,1550,0.64,0.17,0.09,0.42,0.27,0.06,1.254,0.303,7.1,3.95,543101,2023
Reid Detmers,23,991,Maj-AL,Los Angeles,28,28,4.0,10.0,,148.2,141,81,74,60,168,19,13,4.48,569,28,1,2,11,2,15,4,2,644,2600,0.64,0.15,0.12,0.37,0.29,0.06,1.352,0.318,10.2,2.8,672282,2023
Jhonathan Diaz,26,995,Maj-AL,Los Angeles,4,1,,,,7.0,13,11,8,7,4,0,2,10.29,31,5,0,0,0,2,1,1,1,42,160,0.58,0.16,0.07,0.45,0.21,0.07,2.857,0.448,5.1,0.57,646242,2023
Miguel Diaz,28,987,Maj-AL,Detroit,12,3,1.0,,,14.0,8,1,1,5,16,0,0,0.64,49,2,0,0,0,0,1,0,0,54,208,0.64,0.17,0.13,0.39,0.21,0.09,0.929,0.242,10.3,3.2,622766,2023
Dylan Dodd,25,986,Maj-NL,Atlanta,7,7,2.0,2.0,,34.1,53,29,29,12,15,9,1,7.6,151,13,0,1,2,0,2,1,0,164,568,0.7,0.16,0.09,0.36,0.24,0.06,1.893,0.346,3.9,1.25,689266,2023
Shawn Dubin,27,1077,Maj-AL,Houston,3,1,,,,9.0,12,7,7,3,11,1,1,7.0,37,4,0,0,1,1,0,0,0,42,172,0.63,0.13,0.1,0.44,0.22,0.0,1.667,0.423,11.0,3.67,681869,2023
Dane Dunning,28,956,Maj-AL,Texas,40,26,13.0,8.0,,179.2,171,77,75,60,145,21,10,3.76,679,27,3,0,22,5,8,4,0,754,2830,0.65,0.18,0.1,0.48,0.22,0.06,1.286,0.29,7.3,2.42,641540,2023
Zach Eflin,29,983,Maj-AL,Tampa Bay,32,32,16.0,9.0,,182.2,167,74,74,26,189,21,3,3.65,693,33,5,2,12,3,8,6,1,727,2653,0.69,0.19,0.11,0.5,0.21,0.07,1.057,0.3,9.3,7.27,621107,2023
Bryce Elder,24,976,Maj-NL,Atlanta,32,32,12.0,5.0,,177.1,165,85,80,64,132,21,8,4.06,667,32,3,0,26,5,9,1,0,746,2905,0.63,0.16,0.1,0.5,0.24,0.05,1.291,0.277,6.7,2.06,693821,2023
Mason Englert,23,1057,Maj-AL,Detroit,31,1,4.0,3.0,,56.0,67,39,34,17,41,12,2,5.46,230,14,2,0,4,2,7,0,0,253,961,0.65,0.14,0.11,0.4,0.24,0.05,1.5,0.307,6.6,2.41,669438,2023
Nathan Eovaldi,33,955,Maj-AL,Texas,31,31,17.0,5.0,,180.2,148,71,70,57,173,18,7,3.49,659,30,6,1,21,3,13,4,1,730,2793,0.64,0.15,0.12,0.51,0.23,0.05,1.135,0.276,8.6,3.04,543135,2023
Joey Estes,21,990,Maj-AL,Oakland,2,2,,1.0,,10.0,12,9,8,2,7,4,3,7.2,42,3,0,1,2,0,1,0,0,47,165,0.68,0.16,0.15,0.29,0.23,0.14,1.4,0.258,6.3,3.5,683155,2023
Alex Faedo,27,1004,Maj-AL,Detroit,15,12,2.0,5.0,,64.2,48,35,32,20,58,12,1,4.45,240,13,0,0,3,1,2,0,0,262,1034,0.65,0.17,0.1,0.36,0.23,0.1,1.052,0.211,8.1,2.9,656412,2023
Bailey Falter,26,994,Maj-NL,"Philadelphia,Pittsburgh",18,14,2.0,9.0,,80.2,94,55,48,20,60,17,0,5.36,326,17,1,0,5,1,9,4,2,347,1297,0.67,0.16,0.08,0.4,0.27,0.1,1.413,0.308,6.7,3.0,663559,2023
Calvin Faucher,27,1050,Maj-AL,Tampa Bay,17,4,1.0,1.0,,25.2,31,20,20,12,25,4,1,7.01,107,4,1,0,2,0,4,0,0,120,514,0.64,0.17,0.11,0.49,0.23,0.06,1.675,0.346,8.8,2.08,676534,2023
Ryan Feltner,26,991,Maj-NL,Colorado,10,10,2.0,4.0,,43.1,45,29,28,28,38,2,2,5.82,170,8,1,0,3,1,4,0,0,201,781,0.63,0.19,0.08,0.44,0.27,0.08,1.685,0.328,7.9,1.36,663372,2023
Caleb Ferguson,26,976,Maj-NL,Los Angeles,70,7,7.0,4.0,3.0,62.2,64,30,23,24,72,4,8,3.3,245,9,1,0,8,1,4,1,1,278,1093,0.66,0.17,0.11,0.51,0.25,0.09,1.404,0.353,10.3,3.0,657571,2023
Jack Flaherty,27,979,"Maj-AL,Maj-NL","Baltimore,St. Louis",30,27,8.0,9.0,,146.1,164,84,81,69,149,17,12,4.98,572,37,2,2,20,6,4,2,0,660,2680,0.61,0.17,0.11,0.43,0.28,0.05,1.592,0.357,9.2,2.16,656427,2023
Josh Fleming,27,1036,Maj-AL,Tampa Bay,12,3,2.0,,,51.2,56,29,27,19,25,9,0,4.7,199,8,1,2,10,3,1,0,0,221,759,0.63,0.17,0.08,0.62,0.2,0.03,1.452,0.28,4.4,1.32,676596,2023
Chris Flexen,28,989,"Maj-AL,Maj-NL","Colorado,Seattle",29,16,2.0,8.0,,102.1,133,81,78,38,74,25,4,6.86,420,19,1,0,10,3,6,2,0,466,1755,0.63,0.15,0.1,0.39,0.29,0.08,1.671,0.333,6.5,1.95,623167,2023
J.P. France,28,964,Maj-AL,Houston,26,23,11.0,6.0,,139.1,144,68,62,49,103,19,2,4.0,538,21,2,0,17,7,9,2,3,597,2269,0.62,0.17,0.09,0.42,0.25,0.08,1.385,0.296,6.7,2.1,641585,2023
