Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,k_bb_ratio,mlbID,season
Lake Bachar,31,0,Maj-NL,Miami,22,3,,,,38.1,22,14,13,13,45,5,3,3.05,135,4,0,0,0,1,3,0,0,153,628,0.61,0.15,0.15,0.36,0.19,0.09,0.913,0.198,10.6,3.46,669199,2026
Kyle Backhus,28,49,Maj-NL,Philadelphia,10,1,,,,9.2,11,6,5,1,10,2,0,4.66,40,0,0,0,0,0,0,0,0,41,161,0.69,0.24,0.07,0.53,0.23,0.07,1.241,0.321,9.3,10.0,679775,2026
Tanner Banks,34,1,Maj-NL,Philadelphia,23,1,,4.0,,24.2,35,18,17,13,29,1,0,6.2,109,7,1,1,1,0,1,0,0,122,470,0.65,0.16,0.12,0.36,0.3,0.05,1.946,0.43,10.6,2.23,621383,2026
Chris Bassitt,37,10,Maj-AL,Baltimore,12,10,4.0,4.0,,56.1,70,34,33,22,37,6,8,5.27,228,14,0,0,4,3,5,4,0,261,979,0.61,0.16,0.09,0.47,0.22,0.08,1.633,0.34,5.9,1.68,605135,2026
Shane Baz,27,1,Maj-AL,Baltimore,14,14,4.0,6.0,,82.0,82,43,37,32,67,8,3,4.06,311,27,1,1,7,9,4,0,0,355,1345,0.64,0.16,0.09,0.38,0.3,0.07,1.39,0.302,7.4,2.09,669358,2026
Brayan Bello,27,9,Maj-AL,Boston,12,8,2.0,6.0,,61.0,78,47,43,24,44,10,1,6.34,252,14,0,0,3,4,6,2,0,282,1047,0.64,0.14,0.11,0.51,0.23,0.02,1.672,0.337,6.5,1.83,678394,2026
Jake Bennett,25,3,Maj-AL,Boston,3,3,1.0,2.0,,15.1,18,9,9,5,8,1,0,5.28,56,3,0,1,4,3,3,0,0,65,244,0.66,0.12,0.09,0.58,0.13,0.08,1.5,0.34,4.7,1.6,687562,2026
Brennan Bernardino,34,1,Maj-NL,Colorado,33,2,2.0,3.0,,28.0,28,16,13,8,22,2,2,4.18,107,7,0,1,1,2,5,1,2,121,445,0.64,0.14,0.11,0.51,0.2,0.07,1.286,0.306,7.1,2.75,657514,2026
Tanner Bibee,27,1,Maj-AL,Cleveland,15,15,2.0,7.0,,84.0,73,37,37,26,71,15,1,3.96,312,11,0,0,7,3,4,0,3,342,1320,0.64,0.17,0.12,0.39,0.23,0.09,1.179,0.253,7.6,2.73,676440,2026
Paul Blackburn,32,4,Maj-AL,New York,20,1,2.0,1.0,,30.1,30,11,10,11,21,2,1,2.97,115,4,0,0,3,0,2,2,0,127,467,0.63,0.16,0.08,0.55,0.2,0.03,1.352,0.304,6.2,1.91,621112,2026
Cody Bolton,28,27,Maj-AL,Houston,8,3,,1.0,1.0,20.0,21,12,12,14,22,3,1,5.4,78,6,0,0,1,1,2,0,0,95,388,0.6,0.18,0.07,0.38,0.28,0.05,1.75,0.333,9.9,1.57,675989,2026
Matthew Boyd,35,41,Maj-NL,Chicago,5,5,2.0,1.0,,24.0,25,17,16,6,31,2,0,6.0,94,7,0,0,1,0,0,1,1,100,430,0.67,0.16,0.14,0.4,0.35,0.08,1.292,0.377,11.6,5.17,571510,2026
Joe Boyle,26,66,Maj-AL,Tampa Bay,3,3,,1.0,,15.2,11,11,9,6,16,1,0,5.17,58,5,0,0,0,1,3,1,0,66,263,0.63,0.17,0.11,0.41,0.2,0.16,1.085,0.238,9.2,2.67,671212,2026
Kyle Bradish,29,2,Maj-AL,Baltimore,14,14,3.0,7.0,,73.1,76,40,35,39,73,11,1,4.3,282,15,2,1,8,1,3,3,2,323,1288,0.61,0.17,0.1,0.51,0.2,0.08,1.568,0.327,9.0,1.87,680694,2026
Taj Bradley,25,4,Maj-AL,Minnesota,12,12,5.0,3.0,,65.0,61,29,29,29,73,9,2,4.02,250,15,0,0,3,2,4,0,0,284,1157,0.62,0.16,0.11,0.33,0.3,0.08,1.385,0.306,10.1,2.52,671737,2026
Huascar Brazoban,36,1,Maj-NL,New York,29,6,3.0,1.0,,34.2,19,9,8,15,30,2,1,2.08,119,7,0,1,3,1,3,2,1,137,523,0.64,0.15,0.13,0.57,0.14,0.09,0.981,0.193,7.8,2.0,623211,2026
Ben Brown,26,0,Maj-NL,Chicago,19,7,3.0,2.0,1.0,62.0,41,14,12,19,61,1,2,1.74,220,5,1,0,4,2,6,0,1,243,932,0.64,0.18,0.11,0.47,0.24,0.06,0.968,0.25,8.9,3.21,676962,2026
Hunter Brown,27,74,Maj-AL,Houston,2,2,1.0,,,10.2,5,1,1,6,17,0,0,0.84,37,1,0,0,0,0,1,0,0,43,180,0.61,0.21,0.11,0.5,0.2,0.05,1.031,0.25,14.3,2.83,686613,2026
Kris Bubic,28,30,Maj-AL,Kansas City,9,9,3.0,2.0,,50.1,36,23,23,26,51,4,1,4.11,180,8,1,0,4,0,5,2,2,207,811,0.63,0.16,0.11,0.46,0.22,0.04,1.232,0.256,9.1,1.96,663460,2026
Walker Buehler,31,5,Maj-NL,San Diego,13,13,3.0,3.0,,62.1,62,30,30,22,53,4,3,4.33,241,11,1,1,4,0,6,2,1,266,1050,0.62,0.18,0.08,0.47,0.29,0.04,1.348,0.315,7.7,2.41,621111,2026
Sean Burke,26,0,Maj-AL,Chicago,14,11,3.0,4.0,,73.2,65,35,34,28,73,9,5,4.15,279,15,2,0,2,0,12,3,0,313,1248,0.65,0.19,0.09,0.38,0.24,0.09,1.262,0.284,8.9,2.61,680732,2026
Chase Burns,23,4,Maj-NL,Cincinnati,13,13,7.0,1.0,,75.2,52,18,18,23,88,9,0,2.14,273,11,1,0,5,0,7,2,2,297,1193,0.62,0.14,0.15,0.41,0.21,0.1,0.991,0.244,10.5,3.83,695505,2026
Mike Burrows,26,0,Maj-AL,Houston,14,14,3.0,8.0,,78.1,94,54,51,30,65,18,3,5.86,317,14,1,0,11,0,5,1,0,350,1294,0.64,0.15,0.11,0.38,0.26,0.08,1.583,0.325,7.5,2.17,681347,2026
Edward Cabrera,28,2,Maj-NL,Chicago,12,12,4.0,3.0,,63.0,66,39,34,23,58,13,1,4.86,241,8,0,0,6,2,10,3,3,269,1036,0.62,0.14,0.12,0.45,0.26,0.05,1.413,0.308,8.3,2.52,665795,2026
Noah Cameron,26,0,Maj-AL,Kansas City,13,13,3.0,4.0,,70.0,68,36,32,17,64,8,0,4.11,275,15,2,0,4,3,1,2,1,295,1149,0.64,0.16,0.1,0.39,0.28,0.08,1.214,0.291,8.2,3.76,702070,2026
Griffin Canning,30,1,Maj-NL,San Diego,8,8,,5.0,,37.2,37,30,30,22,39,8,0,7.17,139,6,0,0,4,2,1,2,3,163,645,0.58,0.16,0.1,0.5,0.2,0.05,1.566,0.309,9.3,1.77,656288,2026
Joey Cantillo,26,0,Maj-AL,Cleveland,15,15,5.0,3.0,,72.0,71,39,35,36,67,11,1,4.38,272,16,0,0,7,1,12,3,0,312,1274,0.62,0.17,0.12,0.44,0.18,0.06,1.486,0.308,8.4,1.86,676282,2026
Luis Castillo,33,0,Maj-AL,Seattle,14,12,2.0,6.0,,66.2,67,45,37,25,65,9,5,5.0,262,12,2,0,0,2,6,3,1,298,1230,0.65,0.13,0.11,0.39,0.26,0.09,1.38,0.305,8.8,2.6,622491,2026
Cade Cavalli,27,0,Maj-NL,Washington,15,15,4.0,4.0,,74.2,79,40,33,25,81,6,11,3.98,293,12,0,0,6,3,4,2,1,333,1269,0.65,0.19,0.11,0.46,0.25,0.05,1.393,0.349,9.8,3.24,676917,2026
Dylan Cease,30,4,Maj-AL,Toronto,12,12,3.0,3.0,,68.0,52,25,22,27,103,5,3,2.91,249,8,0,0,4,1,9,3,1,280,1171,0.62,0.16,0.16,0.46,0.25,0.1,1.162,0.331,13.6,3.81,656302,2026
Slade Cecconi,27,4,Maj-AL,Cleveland,14,14,3.0,5.0,,72.2,82,41,39,23,61,10,3,4.83,285,13,0,0,8,5,8,0,1,316,1194,0.64,0.17,0.09,0.46,0.24,0.06,1.445,0.329,7.6,2.65,677944,2026
Bubba Chandler,23,0,Maj-NL,Pittsburgh,14,13,2.0,7.0,,68.0,53,42,36,41,68,8,2,4.76,255,14,1,1,3,2,3,0,0,301,1203,0.63,0.15,0.11,0.35,0.23,0.12,1.382,0.249,9.0,1.66,696149,2026
Aaron Civale,31,19,Maj-AL,Athletics,11,11,5.0,2.0,,55.2,65,26,26,17,39,12,1,4.2,224,12,1,1,1,2,4,2,1,246,925,0.65,0.2,0.08,0.29,0.27,0.1,1.473,0.303,6.3,2.29,650644,2026
Gerrit Cole,35,4,Maj-AL,New York,4,4,1.0,1.0,,22.0,17,6,6,6,18,3,1,2.45,81,4,0,0,0,0,2,1,1,89,318,0.69,0.21,0.07,0.3,0.25,0.13,1.045,0.233,7.4,3.0,543037,2026
Patrick Corbin,36,5,Maj-AL,Toronto,12,12,2.0,3.0,,57.1,63,29,29,20,40,7,5,4.55,223,15,0,0,5,3,10,4,2,252,947,0.62,0.14,0.09,0.41,0.28,0.07,1.448,0.313,6.3,2.0,571578,2026
Garrett Crochet,27,49,Maj-AL,Boston,6,6,3.0,3.0,,30.0,33,23,21,11,37,5,4,6.3,122,9,0,0,3,0,0,0,0,138,518,0.64,0.14,0.11,0.37,0.36,0.02,1.467,0.35,11.1,3.36,676979,2026
Coleman Crow,25,4,Maj-NL,Milwaukee,5,4,,1.0,,18.2,21,13,11,6,10,2,1,5.3,76,7,1,1,1,2,0,1,0,85,295,0.69,0.17,0.08,0.37,0.25,0.12,1.446,0.288,4.8,1.67,689441,2026
Jacob deGrom,38,0,Maj-AL,Texas,14,14,5.0,4.0,,76.2,61,27,27,15,89,13,0,3.17,289,8,0,1,0,1,2,4,0,305,1232,0.66,0.13,0.17,0.32,0.29,0.08,0.991,0.255,10.4,5.93,594798,2026
Reid Detmers,26,3,Maj-AL,Los Angeles,14,14,2.0,5.0,,81.0,61,39,36,24,97,7,4,4.0,297,15,1,0,4,5,8,2,1,331,1329,0.65,0.16,0.12,0.35,0.23,0.11,1.049,0.273,10.8,4.04,672282,2026
Hunter Dobbins,26,2,Maj-NL,St. Louis,4,2,1.0,,1.0,17.1,17,7,7,7,19,3,0,3.63,66,3,0,0,3,0,0,0,0,73,306,0.63,0.15,0.1,0.47,0.3,0.06,1.385,0.318,9.9,2.71,690928,2026
Chase Dollander,24,30,Maj-NL,Colorado,10,3,3.0,3.0,,44.0,39,19,19,18,47,6,3,3.89,164,10,0,0,2,3,2,2,0,189,743,0.63,0.15,0.12,0.49,0.17,0.09,1.295,0.289,9.6,2.61,801403,2026
Shane Drohan,27,0,Maj-NL,Milwaukee,14,4,3.0,2.0,1.0,42.2,39,20,17,11,44,3,0,3.59,164,10,1,0,4,2,2,0,0,177,658,0.65,0.15,0.13,0.45,0.2,0.06,1.172,0.303,9.3,4.0,675660,2026
Connelly Early,24,5,Maj-AL,Boston,13,13,5.0,4.0,,71.0,60,26,26,27,69,12,6,3.3,264,9,0,0,9,2,4,0,0,300,1180,0.64,0.17,0.1,0.41,0.22,0.05,1.225,0.259,8.7,2.56,813349,2026
Zach Eflin,32,74,Maj-AL,Baltimore,1,1,,,,3.2,4,1,1,2,7,1,0,2.45,15,1,0,0,0,0,0,0,0,17,73,0.6,0.14,0.16,0.63,0.13,0.0,1.636,0.429,17.2,3.5,621107,2026
Brandon Eisert,28,0,Maj-AL,Chicago,15,3,1.0,,,15.2,17,9,9,6,17,3,0,5.17,62,5,0,0,0,0,2,0,1,70,308,0.59,0.13,0.13,0.4,0.23,0.02,1.468,0.333,9.8,2.83,685126,2026
Bryce Elder,27,6,Maj-NL,Atlanta,14,14,5.0,3.0,,84.2,64,29,25,25,71,7,2,2.66,311,7,2,0,4,2,6,0,1,342,1223,0.63,0.16,0.09,0.46,0.21,0.07,1.051,0.243,7.5,2.84,693821,2026
Mason Englert,26,1,Maj-AL,Tampa Bay,12,1,,1.0,1.0,25.0,30,12,11,6,19,4,1,3.96,100,8,0,3,1,2,2,1,1,110,408,0.69,0.14,0.12,0.3,0.29,0.1,1.44,0.329,6.8,3.17,669438,2026
Nathan Eovaldi,36,4,Maj-AL,Texas,13,13,5.0,7.0,,80.1,75,40,38,20,77,15,6,4.26,309,11,1,0,4,1,1,3,0,337,1191,0.67,0.15,0.15,0.5,0.19,0.05,1.183,0.275,8.6,3.85,543135,2026
Joey Estes,24,0,Maj-AL,Athletics,1,1,,,,4.1,5,4,4,1,4,1,0,8.31,16,2,1,0,0,1,0,0,0,18,71,0.66,0.14,0.14,0.15,0.38,0.0,1.385,0.333,8.3,4.0,683155,2026
Pete Fairbanks,32,2,Maj-NL,Miami,21,1,3.0,3.0,8.0,19.0,17,16,14,11,27,3,2,6.63,72,2,1,1,0,1,1,1,0,86,371,0.66,0.2,0.12,0.24,0.22,0.13,1.474,0.326,12.8,2.45,664126,2026
Bailey Falter,29,18,Maj-AL,Kansas City,5,2,,2.0,,9.2,24,15,15,6,6,4,0,13.97,51,3,0,0,2,0,1,0,0,57,180,0.61,0.16,0.08,0.31,0.42,0.07,3.103,0.488,5.6,1.0,663559,2026
Erick Fedde,33,4,Maj-AL,Chicago,13,8,1.0,5.0,,63.1,64,37,33,24,40,14,3,4.69,244,7,1,0,3,3,3,2,2,276,1085,0.6,0.18,0.07,0.38,0.24,0.09,1.389,0.259,5.7,1.67,607200,2026
Ryan Feltner,29,2,Maj-NL,Colorado,8,8,2.0,2.0,,36.1,31,22,21,13,26,6,1,5.2,136,9,1,0,3,0,7,2,0,150,545,0.61,0.13,0.1,0.42,0.22,0.06,1.211,0.24,6.4,2.0,663372,2026
Braydon Fisher,25,1,Maj-AL,Toronto,35,4,2.0,1.0,1.0,36.2,25,14,11,15,39,3,2,2.7,126,6,0,1,5,1,0,0,4,144,588,0.66,0.2,0.12,0.47,0.22,0.06,1.091,0.259,9.6,2.6,680755,2026
Jack Flaherty,30,1,Maj-AL,Detroit,15,15,1.0,8.0,,65.2,69,47,39,34,78,8,5,5.35,261,18,3,1,2,4,3,1,0,306,1289,0.61,0.17,0.1,0.32,0.28,0.11,1.569,0.341,10.7,2.29,656427,2026
Mason Fluharty,24,1,Maj-AL,Toronto,37,3,3.0,,,27.2,27,12,12,10,37,3,1,3.9,106,3,0,1,0,1,0,2,0,119,493,0.65,0.16,0.13,0.34,0.27,0.08,1.337,0.358,12.0,3.7,689254,2026
Kyle Freeland,33,0,Maj-NL,Colorado,12,12,1.0,7.0,,58.2,84,54,52,16,49,14,5,7.98,256,15,2,0,5,2,9,1,0,279,1040,0.67,0.16,0.1,0.39,0.27,0.04,1.705,0.359,7.5,3.06,607536,2026
Max Fried,32,31,Maj-AL,New York,10,10,4.0,3.0,,61.2,43,22,22,19,50,1,2,3.21,216,9,0,0,7,2,3,1,2,240,917,0.62,0.17,0.1,0.49,0.19,0.08,1.005,0.251,7.3,2.63,608331,2026
Didier Fuentes,21,0,Maj-NL,Atlanta,20,1,4.0,,1.0,28.0,20,7,7,9,33,1,2,2.25,100,4,0,0,2,2,3,0,1,113,480,0.65,0.15,0.13,0.39,0.22,0.12,1.036,0.279,10.6,3.67,800311,2026
Zac Gallen,30,4,Maj-NL,Arizona,14,14,3.0,5.0,,69.2,87,47,42,21,46,11,2,5.43,285,13,2,0,7,3,5,0,0,312,1201,0.64,0.17,0.09,0.47,0.23,0.03,1.55,0.329,5.9,2.19,668678,2026
Braxton Garrett,28,25,Maj-NL,Miami,2,2,,1.0,,4.1,7,7,7,8,5,0,0,14.54,19,4,0,0,0,1,2,0,0,28,129,0.5,0.11,0.09,0.47,0.13,0.07,3.462,0.467,10.4,0.63,666129,2026
Robert Gasser,27,4,Maj-NL,Milwaukee,4,4,,3.0,,18.1,20,14,13,9,19,6,3,6.38,75,4,1,0,0,0,0,0,0,87,344,0.64,0.17,0.1,0.21,0.3,0.14,1.582,0.28,9.3,2.11,688107,2026
Kevin Gausman,35,0,Maj-AL,Toronto,15,15,4.0,4.0,,87.0,74,35,33,16,86,10,1,3.41,326,15,2,0,4,3,7,1,1,349,1400,0.65,0.15,0.13,0.4,0.24,0.11,1.034,0.275,8.9,5.38,592332,2026
Trey Gibson,24,0,Maj-AL,Baltimore,5,4,1.0,2.0,,21.1,21,14,14,13,12,4,1,5.91,81,2,0,0,3,1,0,1,1,96,378,0.61,0.2,0.07,0.54,0.23,0.03,1.594,0.258,5.1,0.92,694346,2026
Luis Gil,28,48,Maj-AL,New York,4,4,1.0,2.0,,19.1,15,13,13,11,9,6,3,6.05,71,3,0,0,1,0,1,0,1,85,337,0.57,0.19,0.05,0.47,0.15,0.06,1.345,0.161,4.2,0.82,661563,2026
Logan Gilbert,29,4,Maj-AL,Seattle,14,14,4.0,4.0,,79.2,67,32,32,19,82,13,4,3.62,296,20,0,0,7,2,4,2,2,321,1305,0.65,0.16,0.13,0.36,0.26,0.08,1.079,0.266,9.3,4.32,669302,2026
Tyler Gilbert,32,4,Maj-AL,Chicago,4,1,,,,3.2,7,7,7,4,3,2,0,17.18,18,3,0,0,0,0,1,0,0,22,94,0.62,0.17,0.06,0.4,0.27,0.0,3.0,0.385,7.4,0.75,656457,2026
J.T. Ginn,27,4,Maj-AL,Athletics,15,12,4.0,3.0,,71.1,52,27,25,30,65,8,4,3.15,254,10,0,0,7,1,7,2,1,290,1109,0.62,0.16,0.12,0.49,0.21,0.07,1.15,0.242,8.2,2.17,669372,2026
Lucas Giolito,31,4,Maj-NL,San Diego,5,5,2.0,1.0,,20.2,18,12,10,18,14,3,1,4.35,76,1,0,0,2,0,3,0,0,95,400,0.56,0.16,0.1,0.27,0.29,0.13,1.742,0.254,6.1,0.78,608337,2026
Tyler Glasnow,32,38,Maj-NL,Los Angeles,7,7,3.0,,,39.2,20,12,12,13,49,5,0,2.72,134,5,1,1,3,1,6,2,1,148,599,0.63,0.2,0.12,0.45,0.22,0.07,0.832,0.185,11.1,3.77,607192,2026
Colton Gordon,27,50,Maj-AL,Houston,4,1,,,,9.1,21,12,12,3,11,6,1,11.57,45,1,1,1,2,1,0,1,0,50,202,0.64,0.15,0.08,0.37,0.31,0.03,2.571,0.517,10.6,3.67,676467,2026
Tanner Gordon,28,13,Maj-NL,Colorado,9,2,,1.0,,35.1,47,25,25,8,35,6,1,6.37,146,16,0,1,4,1,2,0,0,158,592,0.66,0.14,0.11,0.32,0.25,0.06,1.557,0.387,8.9,4.38,685299,2026
MacKenzie Gore,27,3,Maj-AL,Texas,14,14,4.0,5.0,,71.0,63,33,33,33,76,6,2,4.18,272,14,3,0,3,1,4,0,0,309,1248,0.63,0.15,0.11,0.37,0.31,0.07,1.352,0.298,9.6,2.3,669022,2026
Sonny Gray,36,1,Maj-AL,Boston,12,12,8.0,1.0,,62.1,59,22,21,16,51,6,3,3.03,237,14,1,0,3,0,6,2,0,256,952,0.64,0.17,0.09,0.48,0.27,0.05,1.203,0.294,7.4,3.19,543243,2026
Foster Griffin,30,3,Maj-NL,Washington,14,14,7.0,2.0,,78.0,64,34,30,21,74,15,6,3.46,292,10,0,0,7,1,3,0,0,321,1274,0.65,0.19,0.1,0.44,0.21,0.06,1.09,0.24,8.5,3.52,656492,2026
Ryan Gusto,27,3,Maj-NL,Miami,4,2,,1.0,,9.0,11,6,6,2,9,0,0,6.0,38,1,1,0,0,0,0,0,0,40,151,0.68,0.19,0.08,0.52,0.28,0.1,1.444,0.379,9.0,4.5,687473,2026
DL Hall,27,9,Maj-NL,Milwaukee,24,1,,,,31.0,14,7,7,24,32,1,1,2.03,100,3,0,0,5,1,0,1,1,126,537,0.58,0.19,0.11,0.51,0.17,0.12,1.226,0.191,9.3,1.33,669084,2026
Emerson Hancock,27,5,Maj-AL,Seattle,13,13,5.0,2.0,,75.2,55,23,23,17,73,10,4,2.74,270,9,0,0,8,1,3,1,1,292,1188,0.64,0.13,0.11,0.41,0.21,0.08,0.952,0.239,8.7,4.29,676106,2026
Brenan Hanifee,28,3,Maj-AL,Detroit,14,2,,,,13.2,15,5,5,4,6,2,1,3.29,53,3,0,0,1,0,0,1,0,59,200,0.65,0.21,0.04,0.58,0.1,0.04,1.39,0.289,4.0,1.5,669724,2026
Kyle Harrison,24,5,Maj-NL,Milwaukee,12,12,7.0,1.0,,59.2,51,18,18,18,77,7,3,2.72,225,9,1,0,3,0,2,1,1,246,1058,0.67,0.17,0.14,0.35,0.29,0.08,1.156,0.312,11.6,4.28,690986,2026
Logan Henderson,24,22,Maj-NL,Milwaukee,5,5,2.0,1.0,,23.0,18,7,7,6,30,2,0,2.74,84,3,1,0,0,0,2,2,0,90,354,0.71,0.14,0.14,0.19,0.35,0.13,1.043,0.308,11.7,5.0,701656,2026
Jimmy Herget,32,32,Maj-NL,Colorado,15,3,,1.0,1.0,16.0,18,9,9,4,17,2,1,5.06,62,6,0,0,0,2,2,0,0,70,287,0.68,0.16,0.15,0.25,0.25,0.13,1.375,0.356,9.6,4.25,623474,2026
Clay Holmes,33,29,Maj-NL,New York,9,9,4.0,4.0,,52.2,40,14,14,18,45,3,1,2.39,194,8,0,0,4,1,1,0,0,215,828,0.65,0.18,0.09,0.55,0.18,0.05,1.101,0.252,7.7,2.5,605280,2026
Grant Holmes,30,4,Maj-NL,Atlanta,13,13,4.0,2.0,,66.2,60,31,30,29,59,13,2,4.05,255,8,1,0,3,1,0,1,0,287,1064,0.63,0.14,0.13,0.42,0.24,0.07,1.335,0.255,8.0,2.03,656550,2026
Tyler Holton,30,0,Maj-AL,Detroit,31,2,1.0,4.0,,31.1,37,16,14,8,27,4,2,4.02,123,6,1,0,4,0,0,1,1,134,530,0.63,0.16,0.11,0.49,0.28,0.05,1.436,0.359,7.8,3.38,663947,2026
Cade Horton,24,71,Maj-NL,Chicago,2,2,1.0,,,7.1,4,2,2,2,4,1,0,2.45,24,0,0,0,2,0,0,0,0,26,90,0.67,0.19,0.1,0.55,0.3,0.0,0.818,0.158,4.9,2.0,690990,2026
Adrian Houser,33,4,Maj-NL,San Francisco,13,13,2.0,6.0,,65.0,76,45,40,24,46,11,4,5.54,263,20,2,0,6,3,4,1,1,296,1084,0.62,0.18,0.08,0.43,0.26,0.07,1.538,0.311,6.4,1.92,605288,2026
Bryan Hudson,29,1,Maj-AL,Chicago,33,3,3.0,2.0,3.0,32.0,27,10,8,14,28,0,3,2.25,111,2,0,1,3,4,6,0,1,136,530,0.65,0.2,0.1,0.48,0.22,0.05,1.281,0.31,7.9,2.0,663542,2026
Tatsuya Imai,28,1,Maj-AL,Houston,9,9,3.0,3.0,,35.0,29,25,25,24,37,5,4,6.43,128,2,0,0,4,0,5,1,0,157,696,0.59,0.16,0.12,0.51,0.21,0.07,1.514,0.279,9.5,1.54,837227,2026
Shota Imanaga,32,3,Maj-NL,Chicago,14,14,4.0,6.0,,81.0,65,41,40,21,81,17,3,4.44,302,14,1,0,6,1,3,0,1,327,1262,0.65,0.14,0.15,0.38,0.18,0.11,1.062,0.234,9.0,3.86,684007,2026
Jake Irvin,29,21,Maj-NL,Washington,11,11,2.0,4.0,,51.2,48,34,30,22,58,7,6,5.23,199,10,0,0,2,1,6,1,3,228,949,0.63,0.17,0.11,0.4,0.23,0.06,1.355,0.304,10.1,2.64,663623,2026
Cristian Javier,29,66,Maj-AL,Houston,3,3,,1.0,,9.1,13,13,13,9,4,2,2,12.54,37,1,0,0,4,0,1,0,0,48,176,0.56,0.1,0.09,0.33,0.18,0.09,2.357,0.355,3.9,0.44,664299,2026
