Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,k_bb_ratio,mlbID,season
Andrew Abbott,27,5,Maj-NL,Cincinnati,14,14,4.0,4.0,,74.2,72,36,34,33,53,10,0,4.1,286,7,1,0,3,2,12,3,1,322,1281,0.63,0.16,0.09,0.41,0.24,0.09,1.406,0.276,6.4,1.61,671096,2026
Mick Abel,24,60,Maj-AL,Minnesota,4,3,1.0,2.0,,20.1,22,9,9,10,23,0,3,3.98,80,6,0,1,2,0,1,1,0,93,357,0.67,0.17,0.12,0.4,0.28,0.07,1.574,0.386,10.2,2.3,690953,2026
Zach Agnos,25,1,Maj-NL,Colorado,18,2,,2.0,2.0,42.2,53,40,37,18,30,8,3,7.8,175,14,2,2,2,4,1,1,0,201,743,0.64,0.12,0.12,0.34,0.27,0.04,1.664,0.319,6.3,1.67,688642,2026
Keegan Akin,31,0,Maj-AL,Baltimore,20,2,,,,19.2,25,16,16,6,13,3,0,7.32,82,3,2,0,1,2,0,0,0,91,343,0.66,0.18,0.08,0.35,0.24,0.06,1.576,0.324,5.9,2.17,669211,2026
Sandy Alcantara,30,1,Maj-NL,Miami,15,15,6.0,4.0,,97.1,96,49,46,23,71,12,6,4.25,374,15,2,0,8,0,10,4,0,404,1442,0.68,0.16,0.1,0.45,0.23,0.07,1.223,0.289,6.6,3.09,645261,2026
Sam Aldegheri,24,1,Maj-AL,Los Angeles,5,2,2.0,1.0,,17.0,14,6,4,8,12,1,0,2.12,63,2,0,0,1,1,0,1,0,72,273,0.63,0.15,0.1,0.37,0.19,0.12,1.294,0.255,6.4,1.5,691951,2026
Jason Alexander,33,18,Maj-AL,Houston,4,2,1.0,1.0,,18.1,21,19,19,8,14,4,1,9.33,75,3,3,0,1,0,1,0,0,84,300,0.63,0.18,0.08,0.44,0.21,0.07,1.582,0.298,6.9,1.75,669920,2026
Tyler Alexander,31,3,Maj-AL,Texas,29,1,1.0,1.0,2.0,28.0,31,12,10,8,22,2,2,3.21,109,4,1,0,3,1,4,2,0,122,451,0.65,0.2,0.07,0.54,0.17,0.04,1.393,0.337,7.1,2.75,641302,2026
Andrew Alvarez,27,4,Maj-NL,Washington,7,2,1.0,,1.0,24.1,24,10,10,11,26,2,0,3.7,92,4,2,0,3,0,2,1,0,103,430,0.61,0.16,0.11,0.55,0.29,0.08,1.438,0.344,9.6,2.36,674841,2026
Drew Anderson,32,1,Maj-AL,Detroit,25,1,2.0,3.0,2.0,43.2,39,21,19,17,53,6,1,3.92,166,9,0,1,2,1,3,0,0,186,726,0.65,0.15,0.13,0.49,0.18,0.1,1.282,0.306,10.9,3.12,623454,2026
Spencer Arrighetti,26,5,Maj-AL,Houston,10,10,7.0,1.0,,57.0,37,16,14,31,53,3,10,2.21,200,6,0,0,5,1,10,2,2,243,935,0.6,0.18,0.1,0.4,0.23,0.07,1.193,0.234,8.4,1.71,681293,2026
Aaron Ashby,28,3,Maj-NL,Milwaukee,30,1,9.0,,,41.0,37,17,13,20,56,3,2,2.85,154,7,0,1,5,1,1,0,0,177,709,0.62,0.21,0.13,0.56,0.23,0.04,1.39,0.354,12.3,2.8,676879,2026
Braxton Ashcraft,26,1,Maj-NL,Pittsburgh,14,14,5.0,3.0,,84.2,74,34,31,19,90,8,6,3.3,313,13,1,0,11,5,9,3,1,344,1233,0.69,0.17,0.13,0.47,0.19,0.08,1.098,0.3,9.6,4.74,677952,2026
Javier Assad,28,1,Maj-NL,Chicago,10,4,4.0,1.0,,38.1,30,17,17,9,24,4,1,3.99,137,6,0,0,5,1,1,0,1,150,575,0.62,0.18,0.06,0.49,0.18,0.08,1.017,0.236,5.6,2.67,665871,2026
Luinder Avila,24,1,Maj-AL,Kansas City,13,4,1.0,3.0,,32.0,36,22,22,22,28,4,0,6.19,121,12,0,0,4,1,3,3,1,144,628,0.59,0.17,0.09,0.48,0.2,0.06,1.813,0.356,7.9,1.27,679883,2026
