Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,742,6018,1348,176,536,1227,174,4.264367816091954,2023
"Arizona,Chicago",17,193,30,7,12,70,73,0.2328767123287671,2023
"Arizona,Detroit",13,151,28,2,14,40,50,0.26,2023
"Arizona,New York",65,545,126,19,49,125,145,0.4482758620689655,2023
"Arizona,Oakland",36,432,79,6,47,101,135,0.26666666666666666,2023
"Arizona,Seattle",70,532,115,10,35,113,105,0.6666666666666666,2023
Atlanta,940,6309,1549,309,544,1309,166,5.662650602409639,2023
"Atlanta,Detroit",1,0,0,0,0,0,2,0.5,2023
"Atlanta,Kansas City",32,262,52,1,26,40,93,0.34408602150537637,2023
"Atlanta,Los Angeles",1,19,1,0,0,7,11,0.09090909090909091,2023
Baltimore,782,5990,1367,178,484,1343,157,4.980891719745223,2023
"Baltimore,New York",45,322,70,9,44,70,96,0.46875,2023
Boston,707,5625,1326,173,439,1256,153,4.620915032679738,2023
"Boston,Colorado",2,52,7,1,2,15,18,0.1111111111111111,2023
"Boston,Los Angeles",57,516,113,11,34,97,143,0.3986013986013986,2023
"Boston,Milwaukee",18,177,28,3,21,41,52,0.34615384615384615,2023
"Boston,Milwaukee,Tampa Bay",28,169,35,3,17,40,63,0.4444444444444444,2023
Chicago,1366,11396,2561,325,885,2549,158,8.645569620253164,2023
"Chicago,Detroit,Los Angeles",10,83,18,2,3,21,46,0.21739130434782608,2023
"Chicago,Kansas City",35,179,38,17,14,51,53,0.660377358490566,2023
"Chicago,Los Angeles",17,179,25,6,24,77,72,0.2361111111111111,2023
"Chicago,Miami",71,547,125,34,32,149,143,0.4965034965034965,2023
"Chicago,Seattle",1,30,7,0,1,9,17,0.058823529411764705,2023
"Chicago,Washington",77,576,127,22,53,127,140,0.55,2023
Cincinnati,774,6116,1361,197,547,1485,156,4.961538461538462,2023
"Cincinnati,Los Angeles",60,548,116,20,44,125,140,0.42857142857142855,2023
"Cincinnati,New York",44,344,74,7,17,59,98,0.4489795918367347,2023
"Cincinnati,St. Louis",1,6,0,0,1,1,8,0.125,2023
Cleveland,563,5122,1161,107,389,940,158,3.5632911392405062,2023
"Cleveland,Detroit",22,293,55,4,17,81,89,0.24719101123595505,2023
"Cleveland,Los Angeles",70,545,134,6,29,99,142,0.49295774647887325,2023
"Cleveland,Miami",53,625,139,22,63,135,152,0.34868421052631576,2023
"Cleveland,Oakland",46,404,81,9,33,114,105,0.4380952380952381,2023
Colorado,565,4797,1081,130,346,1278,153,3.69281045751634,2023
"Colorado,Los Angeles",146,1135,267,40,69,256,118,1.2372881355932204,2023
"Colorado,Los Angeles,San Francisco",11,145,27,1,9,39,51,0.21568627450980393,2023
"Colorado,San Diego",55,521,111,9,50,90,125,0.44,2023
Detroit,623,5659,1214,158,482,1356,159,3.9182389937106916,2023
"Detroit,San Francisco",0,26,1,0,2,9,8,0.0,2023
Houston,871,6604,1525,240,576,1312,172,5.063953488372093,2023
"Houston,Milwaukee",11,107,15,2,14,24,38,0.2894736842105263,2023
Kansas City,623,5581,1247,149,373,1311,158,3.9430379746835444,2023
"Kansas City,San Francisco",8,72,14,0,6,14,30,0.26666666666666666,2023
Los Angeles,1470,10899,2423,428,1063,2515,164,8.963414634146341,2023
"Los Angeles,New York",32,309,65,6,18,78,99,0.32323232323232326,2023
"Los Angeles,Seattle",25,254,41,4,19,53,90,0.2777777777777778,2023
Miami,586,5327,1237,133,384,1105,155,3.7806451612903227,2023
"Miami,San Diego",42,457,106,17,31,132,123,0.34146341463414637,2023
Milwaukee,650,5447,1167,144,529,1294,151,4.304635761589404,2023
"Milwaukee,New York",70,713,144,24,71,131,141,0.49645390070921985,2023
"Milwaukee,Pittsburgh",79,628,134,23,67,106,148,0.5337837837837838,2023
"Milwaukee,San Francisco",3,57,11,0,8,16,20,0.15,2023
Minnesota,786,6363,1360,238,612,1708,141,5.574468085106383,2023
"Minnesota,Toronto",11,90,16,2,12,27,39,0.28205128205128205,2023
New York,1256,10829,2234,396,980,2515,160,7.85,2023
"New York,San Diego",33,267,52,19,21,67,75,0.44,2023
Oakland,531,5396,1077,159,445,1346,137,3.875912408759124,2023
Philadelphia,855,6651,1519,244,587,1589,173,4.942196531791907,2023
"Philadelphia,Pittsburgh",21,256,48,6,23,74,92,0.22826086956521738,2023
Pittsburgh,594,5031,1088,131,459,1226,145,4.096551724137931,2023
"Pittsburgh,San Diego",20,240,42,9,19,71,48,0.4166666666666667,2023
"Pittsburgh,San Francisco",6,72,14,0,10,15,27,0.2222222222222222,2023
"Pittsburgh,Texas",14,213,34,1,11,48,82,0.17073170731707318,2023
"Pittsburgh,Toronto",5,47,9,0,8,8,22,0.22727272727272727,2023
San Diego,696,5680,1219,181,603,1193,162,4.296296296296297,2023
San Francisco,669,5974,1252,173,538,1450,144,4.645833333333333,2023
"San Francisco,Seattle",15,144,22,5,9,32,54,0.2777777777777778,2023
"San Francisco,St. Louis,Toronto",41,400,77,14,21,121,112,0.36607142857142855,2023
Seattle,679,5564,1213,194,508,1472,162,4.191358024691358,2023
St. Louis,681,5893,1311,196,549,1238,154,4.422077922077922,2023
Tampa Bay,857,6221,1443,230,513,1437,153,5.601307189542483,2023
Texas,977,6955,1616,263,665,1555,179,5.4581005586592175,2023
Toronto,741,6195,1424,188,545,1289,160,4.63125,2023
Washington,643,5666,1306,135,387,1061,156,4.121794871794871,2023
