date,away_team_abbr,home_team_abbr,away_team,home_team,open_total,close_total,away_final,home_final,season
2017-04-02,SFO,ARI,San Francisco Giants,Arizona Diamondbacks,8.0,8.5,5,6,2017
2017-04-02,CUB,STL,Chicago Cubs,St. Louis Cardinals,7.5,7.0,3,4,2017
2017-04-02,NYY,TAM,New York Yankees,Tampa Bay Rays,7.0,7.0,3,7,2017
2017-04-03,MIA,WAS,Miami Marlins,Washington Nationals,7.5,8.5,2,4,2017
2017-04-03,ATL,NYM,Atlanta Braves,New York Mets,6.5,7.0,0,6,2017
2017-04-03,COL,MIL,Colorado Rockies,Milwaukee Brewers,8.5,8.5,7,5,2017
2017-04-03,SDG,LOS,San Diego Padres,LOS,6.0,6.5,3,14,2017
2017-04-03,PHI,CIN,Philadelphia Phillies,Cincinnati Reds,9.0,8.5,4,3,2017
2017-04-03,SEA,HOU,Seattle Mariners,Houston Astros,8.0,8.5,0,3,2017
2017-04-03,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,8.5,8.5,2,3,2017
2017-04-03,KAN,MIN,Kansas City Royals,Minnesota Twins,8.0,8.0,1,7,2017
2017-04-03,CLE,TEX,Cleveland Guardians,Texas Rangers,8.0,8.0,8,5,2017
2017-04-03,LAA,OAK,Los Angeles Angels,Oakland Athletics,8.0,8.0,2,4,2017
2017-04-03,PIT,BOS,Pittsburgh Pirates,Boston Red Sox,9.0,8.5,3,5,2017
2017-04-04,COL,MIL,Colorado Rockies,Milwaukee Brewers,8.5,8.0,6,5,2017
2017-04-04,CUB,STL,Chicago Cubs,St. Louis Cardinals,7.5,7.0,2,1,2017
2017-04-04,SFO,ARI,San Francisco Giants,Arizona Diamondbacks,9.0,9.0,8,4,2017
2017-04-04,SDG,LOS,San Diego Padres,LOS,7.5,7.5,4,0,2017
2017-04-04,NYY,TAM,New York Yankees,Tampa Bay Rays,7.5,7.5,5,0,2017
2017-04-04,CLE,TEX,Cleveland Guardians,Texas Rangers,9.0,9.0,4,3,2017
2017-04-04,SEA,HOU,Seattle Mariners,Houston Astros,8.5,8.5,1,2,2017
2017-04-04,LAA,OAK,Los Angeles Angels,Oakland Athletics,7.5,7.5,7,6,2017
2017-04-04,DET,CWS,Detroit Tigers,Chicago White Sox,7.5,7.5,6,3,2017
2017-04-05,MIA,WAS,Miami Marlins,Washington Nationals,8.0,8.5,4,6,2017
2017-04-05,PHI,CIN,Philadelphia Phillies,Cincinnati Reds,9.0,8.5,0,2,2017
2017-04-05,ATL,NYM,Atlanta Braves,New York Mets,7.0,7.0,3,1,2017
2017-04-05,COL,MIL,Colorado Rockies,Milwaukee Brewers,9.0,9.0,1,6,2017
2017-04-05,SFO,ARI,San Francisco Giants,Arizona Diamondbacks,9.5,9.5,6,8,2017
2017-04-05,SDG,LOS,San Diego Padres,LOS,7.0,7.5,1,3,2017
2017-04-05,KAN,MIN,Kansas City Royals,Minnesota Twins,8.5,8.5,1,9,2017
2017-04-05,NYY,TAM,New York Yankees,Tampa Bay Rays,7.5,7.5,1,4,2017
2017-04-05,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,9.0,8.5,1,3,2017
2017-04-05,CLE,TEX,Cleveland Guardians,Texas Rangers,8.5,8.0,9,6,2017
2017-04-05,SEA,HOU,Seattle Mariners,Houston Astros,9.0,7.5,3,5,2017
2017-04-05,LAA,OAK,Los Angeles Angels,Oakland Athletics,7.5,8.5,5,0,2017
2017-04-05,PIT,BOS,Pittsburgh Pirates,Boston Red Sox,8.5,7.5,0,3,2017
2017-04-06,PHI,CIN,Philadelphia Phillies,Cincinnati Reds,8.5,9.0,4,7,2017
2017-04-06,COL,MIL,Colorado Rockies,Milwaukee Brewers,9.5,9.5,2,1,2017
2017-04-06,SDG,LOS,San Diego Padres,LOS,8.0,8.5,2,10,2017
2017-04-06,MIA,WAS,Miami Marlins,Washington Nationals,8.5,9.0,4,3,2017
2017-04-06,ATL,NYM,Atlanta Braves,New York Mets,7.5,7.0,2,6,2017
2017-04-06,SFO,ARI,San Francisco Giants,Arizona Diamondbacks,9.5,9.5,3,9,2017
2017-04-06,KAN,MIN,Kansas City Royals,Minnesota Twins,8.5,8.0,3,5,2017
2017-04-06,DET,CWS,Detroit Tigers,Chicago White Sox,8.5,9.0,2,11,2017
