Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,608,5357,1284,116,417,1101,158,3.848101265822785,2015
"Arizona,Atlanta",19,118,33,3,9,16,44,0.4318181818181818,2015
"Arizona,Chicago,Seattle",42,378,81,19,25,92,110,0.38181818181818183,2015
"Arizona,Miami",26,227,45,9,23,69,78,0.3333333333333333,2015
"Arizona,Seattle",62,552,134,22,36,132,142,0.43661971830985913,2015
"Arizona,Toronto",24,249,44,3,27,49,100,0.24,2015
Atlanta,452,4605,1067,68,331,774,156,2.8974358974358974,2015
"Atlanta,Baltimore",6,106,18,2,12,28,35,0.17142857142857143,2015
"Atlanta,Chicago",0,8,1,0,1,2,6,0.0,2015
"Atlanta,Cleveland",71,997,206,9,91,235,136,0.5220588235294118,2015
"Atlanta,Kansas City",29,262,48,7,31,81,95,0.30526315789473685,2015
"Atlanta,Los Angeles",22,328,63,1,32,68,97,0.2268041237113402,2015
"Atlanta,Los Angeles,New York",40,396,91,14,34,79,117,0.3418803418803419,2015
"Atlanta,New York",54,429,95,14,29,99,107,0.5046728971962616,2015
Baltimore,641,5367,1239,206,376,1190,162,3.95679012345679,2015
"Baltimore,Boston,San Francisco",51,365,85,7,31,84,112,0.45535714285714285,2015
"Baltimore,Chicago",4,84,16,1,4,29,29,0.13793103448275862,2015
"Baltimore,Milwaukee",83,589,159,14,28,92,153,0.5424836601307189,2015
"Baltimore,Pittsburgh",24,265,55,4,26,66,87,0.27586206896551724,2015
Boston,671,5490,1346,143,403,981,155,4.329032258064516,2015
"Boston,Los Angeles",19,204,41,1,16,32,67,0.2835820895522388,2015
"Boston,Milwaukee",1,17,1,0,1,6,13,0.07692307692307693,2015
"Boston,Tampa Bay",13,166,27,1,20,36,58,0.22413793103448276,2015
"Boston,Texas",57,559,105,22,70,155,130,0.43846153846153846,2015
Chicago,1283,11871,2643,300,946,2660,160,8.01875,2015
"Chicago,Los Angeles",14,253,54,4,13,47,75,0.18666666666666668,2015
"Chicago,Miami",4,65,6,0,5,16,30,0.13333333333333333,2015
"Chicago,Seattle",56,527,131,9,29,126,132,0.42424242424242425,2015
Cincinnati,589,5739,1289,147,471,1127,158,3.7278481012658227,2015
"Cincinnati,Cleveland",4,34,3,0,3,11,11,0.36363636363636365,2015
"Cincinnati,San Francisco",62,617,133,25,29,181,134,0.4626865671641791,2015
Cleveland,538,4758,1095,113,428,855,154,3.4935064935064934,2015
"Cleveland,Los Angeles",38,391,102,10,20,49,132,0.2878787878787879,2015
"Cleveland,San Diego",36,258,58,5,21,52,81,0.4444444444444444,2015
"Cleveland,St. Louis",47,526,106,19,49,148,145,0.32413793103448274,2015
Colorado,656,5398,1310,166,346,1137,157,4.178343949044586,2015
"Colorado,Texas",20,140,24,5,14,60,68,0.29411764705882354,2015
"Colorado,Toronto",134,1053,268,24,64,176,128,1.046875,2015
Detroit,625,5661,1390,132,435,1145,158,3.9556962025316458,2015
"Detroit,Los Angeles,Tampa Bay",3,81,11,2,3,31,24,0.125,2015
"Detroit,Milwaukee",14,272,64,1,5,59,101,0.13861386138613863,2015
"Detroit,New York",101,676,184,35,33,141,158,0.6392405063291139,2015
"Detroit,Toronto",0,9,0,0,0,3,3,0.0,2015
Houston,704,5866,1317,224,476,1343,154,4.571428571428571,2015
"Houston,Milwaukee",81,664,149,20,51,164,115,0.7043478260869566,2015
"Houston,Oakland",1,4,1,0,0,2,2,0.5,2015
Kansas City,679,5713,1409,131,345,903,158,4.2974683544303796,2015
"Kansas City,Los Angeles",9,120,21,1,6,26,43,0.20930232558139536,2015
"Kansas City,Oakland",76,535,129,13,62,56,126,0.6031746031746031,2015
"Kansas City,Philadelphia",3,28,5,0,1,5,14,0.21428571428571427,2015
"Kansas City,Pittsburgh",0,4,0,0,0,1,4,0.0,2015
Los Angeles,1245,11146,2487,348,943,2232,159,7.830188679245283,2015
"Los Angeles,Miami",1,34,7,0,0,7,19,0.05263157894736842,2015
"Los Angeles,New York",21,141,25,4,10,49,62,0.3387096774193548,2015
"Los Angeles,Philadelphia",37,423,79,8,32,64,107,0.34579439252336447,2015
"Los Angeles,Seattle",20,141,31,6,14,41,54,0.37037037037037035,2015
"Los Angeles,Tampa Bay",27,317,67,5,21,52,108,0.25,2015
"Los Angeles,Toronto",4,30,7,2,1,2,12,0.3333333333333333,2015
Miami,591,5563,1350,115,346,1040,152,3.888157894736842,2015
"Miami,Pittsburgh",14,256,53,5,23,76,98,0.14285714285714285,2015
"Miami,San Francisco",14,258,47,2,21,50,108,0.12962962962962962,2015
"Miami,Texas",2,41,6,0,1,4,22,0.09090909090909091,2015
Milwaukee,507,4658,1037,110,330,1030,149,3.402684563758389,2015
"Milwaukee,Pittsburgh",43,516,117,17,31,68,137,0.31386861313868614,2015
Minnesota,696,6017,1349,156,439,1264,157,4.43312101910828,2015
New York,1341,11701,2585,353,992,2344,157,8.54140127388535,2015
"New York,Seattle",28,264,55,10,18,45,100,0.28,2015
