game_pk,date,game_time_utc,venue_id,venue_name,home_team,away_team,home_team_id,away_team_id,home_runs,away_runs,total_runs,home_sp_id,home_sp_name,away_sp_id,away_sp_name
718780,2023-03-30,2023-03-30T17:05:00Z,3309,Nationals Park,Washington Nationals,Atlanta Braves,120,144,2,7,9,571578,Patrick Corbin,608331,Max Fried
718781,2023-03-30,2023-03-30T17:05:00Z,3313,Yankee Stadium,New York Yankees,San Francisco Giants,147,137,5,0,5,543037,Gerrit Cole,657277,Logan Webb
718782,2023-03-30,2023-03-30T18:10:00Z,3,Fenway Park,Boston Red Sox,Baltimore Orioles,111,110,9,10,19,446372,Corey Kluber,502043,Kyle Gibson
718777,2023-03-30,2023-03-30T18:20:00Z,17,Wrigley Field,Chicago Cubs,Milwaukee Brewers,112,158,4,0,4,573186,Marcus Stroman,669203,Corbin Burnes
718776,2023-03-30,2023-03-30T19:10:00Z,12,Tropicana Field,Tampa Bay Rays,Detroit Tigers,139,116,4,0,4,663556,Shane McClanahan,593958,Eduardo Rodriguez
718779,2023-03-30,2023-03-30T20:05:00Z,5325,Globe Life Field,Texas Rangers,Philadelphia Phillies,140,143,11,7,18,594798,Jacob deGrom,605400,Aaron Nola
718773,2023-03-30,2023-03-30T20:10:00Z,2602,Great American Ball Park,Cincinnati Reds,Pittsburgh Pirates,113,134,4,5,9,668881,Hunter Greene,656605,Mitch Keller
718772,2023-03-30,2023-03-30T20:10:00Z,2889,Busch Stadium,St. Louis Cardinals,Toronto Blue Jays,138,141,9,10,19,571945,Miles Mikolas,666201,Alek Manoah
718775,2023-03-30,2023-03-30T20:10:00Z,7,Kauffman Stadium,Kansas City Royals,Minnesota Twins,118,142,0,2,2,425844,Zack Greinke,641154,Pablo López
718774,2023-03-30,2023-03-30T20:10:00Z,4169,loanDepot park,Miami Marlins,New York Mets,146,121,3,5,8,645261,Sandy Alcantara,453286,Max Scherzer
718768,2023-03-30,2023-03-30T23:08:00Z,2392,Minute Maid Park,Houston Astros,Chicago White Sox,117,145,2,3,5,664285,Framber Valdez,656302,Dylan Cease
718778,2023-03-30,2023-03-31T01:40:00Z,2680,Petco Park,San Diego Padres,Colorado Rockies,135,115,2,7,9,605483,Blake Snell,608566,Germán Márquez
718769,2023-03-30,2023-03-31T02:07:00Z,10,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,133,108,2,1,3,666205,Kyle Muller,660271,Shohei Ohtani
718770,2023-03-30,2023-03-31T02:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,119,109,8,2,10,628711,Julio Urías,668678,Zac Gallen
718767,2023-03-30,2023-03-31T02:10:00Z,680,T-Mobile Park,Seattle Mariners,Cleveland Guardians,136,114,3,0,3,622491,Luis Castillo,669456,Shane Bieber
718771,2023-03-31,2023-03-31T22:40:00Z,4169,loanDepot park,Miami Marlins,New York Mets,146,121,2,1,3,666200,Jesús Luzardo,656849,David Peterson
718764,2023-03-31,2023-04-01T00:10:00Z,2392,Minute Maid Park,Houston Astros,Chicago White Sox,117,145,6,3,9,664299,Cristian Javier,458681,Lance Lynn
718766,2023-03-31,2023-04-01T01:40:00Z,2680,Petco Park,San Diego Padres,Colorado Rockies,135,115,1,4,5,607259,Nick Martinez,607536,Kyle Freeland
718765,2023-03-31,2023-04-01T02:10:00Z,22,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,119,109,1,2,3,669160,Dustin May,518876,Merrill Kelly
718763,2023-03-31,2023-04-01T02:10:00Z,680,T-Mobile Park,Seattle Mariners,Cleveland Guardians,136,114,4,9,13,592662,Robbie Ray,683769,Hunter Gaddis
718760,2023-04-01,2023-04-01T18:10:00Z,2392,Minute Maid Park,Houston Astros,Chicago White Sox,117,145,6,4,10,664353,José Urquidy,608337,Lucas Giolito
718759,2023-04-01,2023-04-01T18:15:00Z,2889,Busch Stadium,St. Louis Cardinals,Toronto Blue Jays,138,141,4,1,5,656427,Jack Flaherty,592332,Kevin Gausman
