game_pk,date,venue_name,temp_f,wind_mph,wind_deg,wind_out,is_dome
778075,2025-05-03,loanDepot park,,0.0,,False,True
778108,2025-05-01,Progressive Field,62.6,17.0,238.0,True,False
778099,2025-05-01,Citizens Bank Park,70.7,9.1,142.0,True,False
778070,2025-05-03,Globe Life Field,,0.0,,False,True
778101,2025-05-01,Angel Stadium,63.4,5.5,212.0,True,False
778087,2025-05-02,Great American Ball Park,68.1,5.6,190.0,True,False
778098,2025-05-01,Oracle Park,54.2,10.9,241.0,True,False
778086,2025-05-02,Citizens Bank Park,83.2,10.9,217.0,True,False
778090,2025-05-02,PNC Park,64.1,5.0,239.0,False,False
778093,2025-05-02,Oriole Park at Camden Yards,85.6,5.0,197.0,True,False
