Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,k_bb_ratio,mlbID,season
Kyle Bradish,27,729,Maj-AL,Baltimore,8,8,2.0,,,39.1,27,12,12,15,53,2,3,2.75,144,6,2,0,2,0,0,0,1,163,674,0.62,0.2,0.11,0.55,0.19,0.1,1.068,0.281,12.1,3.53,680694,2024
Taj Bradley,23,624,Maj-AL,Tampa Bay,25,25,8.0,11.0,,138.0,122,68,63,47,154,22,3,4.11,519,22,1,0,11,5,6,0,0,578,2295,0.65,0.14,0.13,0.42,0.24,0.06,1.225,0.287,10.0,3.28,671737,2024
Ryan Brasier,36,591,Maj-NL,Los Angeles,37,6,2.0,1.0,,37.0,30,17,16,8,32,7,0,3.89,134,6,1,0,4,3,2,0,0,146,513,0.7,0.16,0.11,0.41,0.24,0.1,1.027,0.235,7.8,4.0,518489,2024
Beau Brieske,26,609,Maj-AL,Detroit,52,12,4.0,6.0,3.0,73.2,56,32,28,32,75,6,2,3.42,264,11,3,2,6,3,6,3,0,302,1239,0.63,0.15,0.11,0.38,0.24,0.09,1.195,0.269,9.2,2.34,689225,2024
Aaron Brooks,34,719,Maj-AL,Oakland,5,4,,2.0,,26.2,33,19,15,8,12,4,1,5.06,107,7,0,0,4,3,2,1,0,119,403,0.65,0.15,0.09,0.49,0.21,0.02,1.538,0.309,4.1,1.5,605156,2024
Ben Brown,24,735,Maj-NL,Chicago,15,8,1.0,3.0,,55.1,41,22,22,19,64,5,1,3.58,197,9,0,0,3,4,5,0,1,222,849,0.65,0.19,0.13,0.38,0.25,0.09,1.084,0.273,10.4,3.37,676962,2024
Hunter Brown,25,619,Maj-AL,Houston,32,31,11.0,9.0,,175.2,158,72,67,62,188,19,5,3.43,665,17,2,0,13,2,21,9,0,734,2988,0.63,0.17,0.1,0.48,0.23,0.07,1.252,0.302,9.6,3.03,686613,2024
Walker Buehler,29,591,Maj-NL,Los Angeles,20,19,2.0,7.0,1.0,90.1,101,58,51,33,77,17,6,5.08,364,17,2,1,12,3,12,2,0,407,1595,0.63,0.18,0.09,0.46,0.26,0.05,1.483,0.308,7.7,2.33,621111,2024
Brock Burke,27,623,Maj-AL,"Los Angeles,Texas",34,1,2.0,1.0,,34.0,37,22,22,16,41,4,2,5.82,135,12,1,2,5,1,2,0,0,154,575,0.67,0.15,0.14,0.46,0.24,0.09,1.559,0.363,10.9,2.56,656271,2024
Sean Burke,24,623,Maj-AL,Chicago,4,3,2.0,,,19.0,12,4,3,7,22,2,0,1.42,69,5,0,0,0,0,2,0,1,76,309,0.63,0.13,0.13,0.34,0.26,0.15,1.0,0.222,10.4,3.14,680732,2024
Corbin Burnes,29,620,Maj-AL,Baltimore,33,33,15.0,10.0,,202.1,170,77,64,49,184,22,2,2.85,757,21,1,0,12,3,42,7,5,811,3081,0.65,0.16,0.13,0.48,0.2,0.09,1.082,0.267,8.2,3.76,669203,2024
Ryan Burr,30,622,Maj-AL,Toronto,33,4,,2.0,,31.1,29,16,15,11,44,4,1,4.31,123,10,0,0,1,0,2,0,1,135,550,0.66,0.16,0.15,0.33,0.3,0.04,1.277,0.333,12.6,4.0,621114,2024
Ky Bush,24,658,Maj-AL,Chicago,4,4,,3.0,,17.2,20,11,11,16,11,2,1,5.6,69,5,0,1,2,1,2,1,1,87,328,0.58,0.17,0.09,0.37,0.22,0.1,2.038,0.316,5.6,0.69,681066,2024
Jose Butto,26,601,Maj-NL,New York,36,7,7.0,3.0,3.0,81.0,47,27,26,41,87,8,6,2.89,274,11,0,0,9,4,3,3,0,326,1356,0.58,0.14,0.13,0.4,0.23,0.09,1.086,0.213,9.7,2.12,676130,2024
Edward Cabrera,26,626,Maj-NL,Miami,20,20,4.0,8.0,,96.1,82,60,53,50,107,15,5,4.95,361,12,1,0,5,2,20,5,1,418,1736,0.61,0.16,0.12,0.48,0.25,0.06,1.37,0.278,10.0,2.14,665795,2024
Griffin Canning,28,623,Maj-AL,Los Angeles,32,31,6.0,13.0,,171.2,174,105,99,66,130,31,6,5.19,656,28,3,1,17,9,6,3,3,739,2871,0.63,0.14,0.11,0.41,0.23,0.06,1.398,0.284,6.8,1.97,656288,2024
Jonathan Cannon,23,622,Maj-AL,Chicago,23,21,5.0,10.0,1.0,124.1,125,65,62,40,91,18,4,4.49,475,24,3,0,13,2,10,7,1,522,2028,0.63,0.16,0.09,0.38,0.28,0.08,1.327,0.291,6.6,2.28,686563,2024
Joey Cantillo,24,603,Maj-AL,Cleveland,12,8,2.0,4.0,,41.0,35,23,22,19,47,6,0,4.83,153,11,0,0,4,1,1,0,0,173,759,0.6,0.18,0.12,0.48,0.21,0.07,1.317,0.287,10.3,2.47,676282,2024
Carlos Carrasco,37,675,Maj-AL,Cleveland,21,21,3.0,10.0,,103.2,112,68,65,33,89,19,5,5.64,406,26,5,0,10,2,7,4,3,447,1693,0.65,0.16,0.1,0.46,0.23,0.06,1.399,0.31,7.7,2.7,471911,2024
Ben Casparius,25,592,Maj-NL,Los Angeles,7,1,3.0,,,14.2,12,4,3,9,17,0,0,1.84,55,3,0,0,1,0,3,0,0,64,269,0.64,0.17,0.12,0.32,0.26,0.08,1.432,0.316,10.4,1.89,676508,2024
Luis Castillo,31,643,Maj-AL,Seattle,30,30,11.0,12.0,,175.1,158,73,71,47,175,25,5,3.64,663,36,2,2,13,2,13,7,0,719,2856,0.66,0.15,0.12,0.41,0.22,0.1,1.169,0.286,9.0,3.72,622491,2024
Dylan Cease,28,612,Maj-NL,San Diego,35,35,14.0,12.0,,194.1,147,88,81,68,230,20,2,3.75,709,34,1,0,11,6,7,3,0,790,3308,0.63,0.14,0.15,0.4,0.23,0.07,1.106,0.273,10.7,3.38,656302,2024
Slade Cecconi,25,640,Maj-NL,Arizona,20,13,2.0,7.0,,77.0,92,57,57,17,64,16,4,6.66,313,23,1,1,1,3,6,5,1,338,1294,0.66,0.17,0.09,0.34,0.24,0.07,1.416,0.322,7.5,3.76,677944,2024
Yonny Chirinos,30,691,Maj-NL,Miami,6,6,,2.0,,30.0,43,21,21,13,25,7,3,6.3,127,9,1,0,1,1,7,1,0,144,515,0.66,0.19,0.09,0.37,0.21,0.12,1.867,0.375,7.5,1.92,630023,2024
Aaron Civale,29,620,"Maj-AL,Maj-NL","Milwaukee,Tampa Bay",32,31,8.0,9.0,,164.0,158,82,78,53,151,29,6,4.28,636,31,0,0,12,2,4,2,1,699,2734,0.64,0.19,0.09,0.36,0.27,0.08,1.287,0.282,8.3,2.85,650644,2024
Mike Clevinger,33,751,Maj-AL,Chicago,4,4,,3.0,,16.0,22,13,12,9,15,4,0,6.75,69,5,1,1,1,0,5,0,1,78,303,0.63,0.16,0.12,0.35,0.24,0.04,1.938,0.36,8.4,1.67,605182,2024
Alex Cobb,36,607,Maj-AL,Cleveland,5,5,2.0,3.0,,22.0,22,12,10,7,15,2,0,4.09,82,2,1,1,4,2,1,0,0,91,348,0.61,0.21,0.05,0.54,0.25,0.0,1.318,0.299,6.1,2.14,502171,2024
Gerrit Cole,33,591,Maj-AL,New York,22,22,9.0,5.0,,124.0,105,51,43,39,121,12,6,3.12,466,17,3,1,8,3,16,2,0,514,1986,0.66,0.16,0.1,0.35,0.25,0.11,1.161,0.277,8.8,3.1,543037,2024
Roansy Contreras,24,622,"Maj-AL,Maj-NL","Los Angeles,Pittsburgh",49,3,2.0,4.0,2.0,68.1,63,36,33,31,56,11,4,4.35,259,14,0,6,2,3,10,1,1,298,1076,0.64,0.17,0.09,0.45,0.2,0.05,1.376,0.267,7.4,1.81,672710,2024
Patrick Corbin,34,625,Maj-NL,Washington,32,32,6.0,13.0,,174.2,208,114,109,54,139,25,3,5.62,697,42,7,1,16,8,24,9,3,764,2888,0.63,0.15,0.1,0.47,0.28,0.04,1.5,0.338,7.2,2.57,571578,2024
Nestor Cortes,29,593,Maj-AL,New York,33,30,9.0,10.0,,176.1,163,76,75,40,163,25,4,3.83,668,44,0,1,11,4,8,5,5,718,2865,0.65,0.15,0.11,0.32,0.24,0.12,1.151,0.285,8.3,4.08,641482,2024
Kutter Crawford,28,623,Maj-AL,Boston,33,33,9.0,16.0,,183.2,155,97,89,51,175,34,9,4.36,695,30,2,0,9,3,7,3,1,759,2822,0.68,0.16,0.12,0.34,0.22,0.12,1.122,0.247,8.6,3.43,676710,2024
Cooper Criswell,27,631,Maj-AL,Boston,26,18,6.0,5.0,,99.1,103,52,45,31,73,10,7,4.08,377,22,2,0,15,8,2,1,0,424,1756,0.63,0.19,0.07,0.5,0.22,0.05,1.349,0.308,6.6,2.35,681867,2024
Garrett Crochet,25,624,Maj-AL,Chicago,31,31,6.0,12.0,,146.0,123,61,58,33,209,18,5,3.58,555,25,2,0,8,2,17,1,1,595,2391,0.68,0.15,0.16,0.45,0.24,0.05,1.068,0.318,12.9,6.33,676979,2024
Fernando Cruz,34,622,Maj-NL,Cincinnati,69,3,3.0,8.0,,66.2,54,36,36,35,109,9,1,4.86,250,14,1,2,3,1,11,1,0,288,1142,0.62,0.15,0.17,0.36,0.3,0.08,1.335,0.338,14.7,3.11,518585,2024
Johnny Cueto,38,655,Maj-AL,Los Angeles,2,2,,2.0,,11.1,14,9,9,3,6,4,0,7.15,47,4,1,1,1,0,0,0,0,50,167,0.65,0.18,0.07,0.41,0.15,0.05,1.5,0.27,4.8,2.0,456501,2024
Xzavion Curry,25,623,"Maj-AL,Maj-NL","Cleveland,Miami",16,5,2.0,2.0,,42.2,38,23,22,7,28,8,0,4.64,164,14,1,1,2,1,2,0,0,172,639,0.67,0.16,0.08,0.23,0.23,0.1,1.055,0.233,5.9,4.0,675540,2024
Caden Dana,20,636,Maj-AL,Los Angeles,3,3,1.0,2.0,,10.1,14,12,11,7,8,5,1,9.58,43,3,0,0,1,1,1,0,0,52,206,0.59,0.14,0.11,0.56,0.08,0.03,2.032,0.29,7.0,1.14,702674,2024
Davis Daniel,27,670,Maj-AL,Los Angeles,6,6,1.0,4.0,,30.0,39,22,21,6,28,5,1,6.3,127,11,0,0,2,0,2,1,0,134,508,0.68,0.19,0.09,0.36,0.26,0.08,1.5,0.362,8.4,4.67,669721,2024
Yu Darvish,37,610,Maj-NL,San Diego,18,18,8.0,4.0,,95.1,71,35,33,25,85,14,3,3.12,344,13,1,0,4,5,15,2,2,379,1420,0.67,0.15,0.12,0.4,0.21,0.09,1.007,0.228,8.0,3.4,506433,2024
Jacob deGrom,36,624,Maj-AL,Texas,3,3,,,,10.2,11,2,2,1,14,1,1,1.69,42,3,0,0,1,0,3,0,0,44,172,0.68,0.19,0.14,0.39,0.18,0.18,1.125,0.37,11.8,14.0,594798,2024
Reid Detmers,24,624,Maj-AL,Los Angeles,17,17,4.0,9.0,,87.1,98,67,65,38,109,18,2,6.7,348,20,3,0,8,3,14,3,2,391,1559,0.65,0.17,0.13,0.4,0.2,0.07,1.557,0.357,11.2,2.87,672282,2024
Jhonathan Diaz,27,634,Maj-AL,Seattle,5,1,,1.0,,9.2,14,6,5,3,8,2,0,4.66,44,3,1,0,0,0,1,0,0,47,166,0.66,0.19,0.06,0.44,0.19,0.03,1.759,0.353,7.4,2.67,646242,2024
Yilber Diaz,23,627,Maj-NL,Arizona,7,4,1.0,1.0,,28.1,27,13,12,12,19,3,0,3.81,105,5,2,0,3,2,2,0,1,119,469,0.62,0.18,0.08,0.36,0.31,0.07,1.376,0.282,6.0,1.58,700270,2024
Shawn Dubin,28,623,Maj-AL,Houston,31,2,1.0,1.0,2.0,45.1,45,25,21,26,49,3,2,4.17,176,12,0,0,4,3,2,0,0,207,843,0.61,0.18,0.1,0.46,0.22,0.05,1.566,0.331,9.7,1.88,681869,2024
Dane Dunning,29,623,Maj-AL,Texas,26,15,5.0,7.0,,95.0,97,60,56,40,91,18,6,5.31,373,19,1,1,6,2,9,2,0,421,1689,0.63,0.17,0.1,0.45,0.21,0.05,1.442,0.297,8.6,2.28,641540,2024
Zach Eflin,30,619,Maj-AL,"Baltimore,Tampa Bay",29,29,10.0,9.0,,169.1,170,72,67,25,137,22,4,3.56,669,29,2,0,6,3,5,4,0,702,2522,0.68,0.18,0.09,0.44,0.22,0.08,1.152,0.288,7.3,5.48,621107,2024
Bryce Elder,25,676,Maj-NL,Atlanta,10,10,2.0,5.0,,49.2,64,37,36,17,46,8,2,6.52,206,9,2,0,3,1,9,1,0,226,864,0.62,0.18,0.11,0.5,0.23,0.04,1.631,0.366,8.3,2.71,693821,2024
Mason Englert,24,654,Maj-AL,Detroit,12,1,1.0,,,21.2,23,15,13,5,16,4,1,5.4,87,9,1,1,1,0,1,1,0,93,365,0.64,0.12,0.14,0.35,0.23,0.06,1.292,0.284,6.6,3.2,669438,2024
Nathan Eovaldi,34,622,Maj-AL,Texas,29,29,12.0,8.0,,170.2,147,74,72,42,166,23,7,3.8,642,28,2,0,10,5,13,0,1,696,2621,0.68,0.16,0.13,0.49,0.23,0.04,1.107,0.271,8.8,3.95,543135,2024
Paolo Espino,37,682,Maj-AL,Toronto,3,1,,1.0,,8.2,14,8,8,5,3,3,1,8.31,37,3,2,0,2,1,1,0,0,44,158,0.61,0.16,0.04,0.29,0.26,0.11,2.192,0.344,3.1,0.6,502179,2024
Joey Estes,22,623,Maj-AL,Oakland,25,24,7.0,9.0,,127.2,130,73,71,27,92,23,10,5.01,501,34,2,1,6,5,4,1,0,543,2027,0.69,0.14,0.09,0.25,0.26,0.14,1.23,0.274,6.5,3.41,683155,2024
Alex Faedo,28,662,Maj-AL,Detroit,37,6,5.0,3.0,,57.1,49,24,23,28,55,9,3,3.61,210,9,0,0,1,3,1,4,3,246,1007,0.63,0.15,0.14,0.39,0.27,0.06,1.343,0.268,8.6,1.96,656412,2024
Bailey Falter,27,622,Maj-NL,Pittsburgh,28,28,8.0,9.0,,142.1,138,72,70,45,97,17,0,4.43,531,34,1,0,19,5,18,5,0,589,2138,0.66,0.17,0.09,0.38,0.26,0.09,1.286,0.287,6.1,2.16,663559,2024
Buck Farmer,33,622,Maj-NL,Cincinnati,61,1,3.0,2.0,1.0,71.0,56,25,24,29,70,7,7,3.04,260,17,1,6,6,2,12,2,0,299,1171,0.64,0.18,0.11,0.37,0.23,0.12,1.197,0.265,8.9,2.41,571656,2024
Erick Fedde,31,626,"Maj-AL,Maj-NL","Chicago,St. Louis",31,31,9.0,9.0,,177.1,154,66,65,52,154,20,5,3.3,661,30,4,0,12,7,10,3,2,726,2891,0.62,0.16,0.09,0.42,0.22,0.09,1.162,0.271,7.8,2.96,607200,2024
Ryan Feltner,27,622,Maj-NL,Colorado,30,30,3.0,10.0,,162.1,165,94,81,52,138,20,7,4.49,628,27,2,0,18,4,29,7,2,692,2574,0.64,0.16,0.11,0.44,0.25,0.05,1.337,0.306,7.7,2.65,663372,2024
David Festa,24,625,Maj-AL,Minnesota,14,13,2.0,6.0,,64.1,62,36,35,23,77,9,2,4.9,251,14,3,0,3,1,10,0,0,277,1099,0.65,0.16,0.13,0.37,0.3,0.09,1.321,0.319,10.8,3.35,701581,2024
Richard Fitts,24,626,Maj-AL,Boston,4,4,,1.0,,20.2,19,6,4,7,9,0,0,1.74,76,3,0,0,2,0,0,0,1,85,314,0.68,0.17,0.06,0.39,0.23,0.06,1.258,0.284,3.9,1.29,690916,2024
Jack Flaherty,28,591,"Maj-AL,Maj-NL","Detroit,Los Angeles",33,33,14.0,9.0,,184.0,159,79,75,47,209,30,5,3.67,693,23,6,0,9,1,11,4,1,747,3033,0.64,0.18,0.13,0.41,0.26,0.06,1.12,0.284,10.2,4.45,656427,2024
Josh Fleming,28,692,Maj-NL,Pittsburgh,25,3,1.0,1.0,1.0,31.1,34,18,14,14,17,3,1,4.02,123,6,0,0,7,0,2,2,1,138,534,0.61,0.14,0.07,0.54,0.23,0.06,1.532,0.301,4.9,1.21,676596,2024
