Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,k_bb_ratio,mlbID,season
Andrew Abbott,25,664,Maj-NL,Cincinnati,25,25,10.0,10.0,,138.0,127,60,57,52,114,25,2,3.72,529,28,1,1,6,2,10,4,3,586,2333,0.64,0.16,0.09,0.35,0.21,0.12,1.297,0.26,7.4,2.19,671096,2024
Joan Adon,25,660,Maj-NL,Washington,8,1,,,,10.2,12,8,8,4,6,2,1,6.75,41,1,0,0,1,1,1,0,0,48,178,0.62,0.17,0.06,0.59,0.19,0.03,1.5,0.294,5.1,1.5,672851,2024
Julian Aguiar,23,632,Maj-NL,Cincinnati,7,7,2.0,1.0,,31.2,30,22,22,12,19,8,5,6.25,123,6,0,1,4,0,1,0,0,140,530,0.64,0.14,0.08,0.38,0.19,0.12,1.326,0.229,5.4,1.58,687924,2024
Sam Aldegheri,22,638,Maj-AL,Los Angeles,3,3,1.0,2.0,,13.0,15,12,7,10,10,2,2,4.85,53,3,0,0,0,2,1,0,0,67,222,0.58,0.16,0.08,0.22,0.24,0.11,1.923,0.302,6.9,1.0,691951,2024
Tyler Alexander,29,625,Maj-AL,Tampa Bay,23,9,6.0,5.0,,107.2,110,61,61,24,90,23,5,5.1,419,20,1,1,5,5,10,4,3,455,1668,0.69,0.19,0.09,0.32,0.25,0.08,1.245,0.28,7.5,3.75,641302,2024
Kolby Allard,26,627,Maj-NL,Philadelphia,7,4,2.0,,,27.0,34,15,15,8,23,5,0,5.0,109,4,2,0,4,0,0,0,1,117,436,0.66,0.17,0.1,0.47,0.14,0.08,1.556,0.358,7.7,2.88,663465,2024
Logan Allen,25,656,Maj-AL,Cleveland,20,20,8.0,5.0,,97.1,113,62,61,41,79,22,4,5.64,383,26,3,0,14,3,3,2,1,432,1665,0.63,0.17,0.09,0.44,0.22,0.07,1.582,0.319,7.3,1.93,671106,2024
Dan Altavilla,31,724,Maj-AL,Kansas City,5,1,,1.0,,3.2,5,6,6,3,5,1,1,14.73,16,1,0,0,0,0,1,0,0,21,83,0.58,0.14,0.12,0.55,0.18,0.09,2.182,0.4,12.3,1.67,656186,2024
Chase Anderson,36,640,Maj-AL,"Boston,Texas",29,1,,2.0,3.0,58.1,55,41,35,21,42,12,4,5.4,227,11,0,1,1,2,7,1,0,255,1017,0.62,0.16,0.1,0.32,0.22,0.12,1.303,0.246,6.5,2.0,502624,2024
Shaun Anderson,29,624,"Maj-AL,Maj-NL","Miami,Texas",6,2,,2.0,,16.1,34,19,15,1,10,3,1,8.27,82,9,1,0,1,1,0,0,0,85,244,0.7,0.19,0.05,0.37,0.34,0.07,2.143,0.443,5.5,10.0,641312,2024
Tyler Anderson,34,625,Maj-AL,Los Angeles,31,31,10.0,15.0,,179.1,158,83,76,73,142,24,7,3.81,681,32,3,2,6,4,15,3,0,765,2914,0.64,0.15,0.13,0.38,0.24,0.08,1.288,0.258,7.1,1.95,542881,2024
Shawn Armstrong,33,632,"Maj-AL,Maj-NL","Chicago,St. Louis,Tampa Bay",57,7,3.0,3.0,1.0,66.2,77,38,36,25,66,6,2,4.86,266,17,2,0,5,1,9,2,0,295,1109,0.68,0.17,0.09,0.36,0.29,0.1,1.53,0.364,8.9,2.64,542888,2024
Spencer Arrighetti,24,624,Maj-AL,Houston,29,28,7.0,13.0,,145.0,139,80,73,65,171,21,7,4.53,557,32,1,0,5,3,16,5,1,632,2505,0.64,0.17,0.12,0.36,0.28,0.08,1.407,0.321,10.6,2.63,681293,2024
Aaron Ashby,26,620,Maj-NL,Milwaukee,15,2,1.0,2.0,,28.1,23,15,11,12,33,2,0,3.49,110,6,0,1,1,1,5,0,0,124,502,0.65,0.22,0.11,0.61,0.18,0.0,1.235,0.276,10.5,2.75,676879,2024
Graham Ashcraft,26,706,Maj-NL,Cincinnati,15,15,5.0,5.0,,77.1,89,50,45,27,57,11,6,5.24,316,15,0,0,8,1,4,1,1,350,1342,0.63,0.14,0.1,0.49,0.23,0.05,1.5,0.313,6.6,2.11,668933,2024
Javier Assad,26,626,Maj-NL,Chicago,29,29,7.0,6.0,,147.0,143,64,61,63,124,20,5,3.73,562,30,2,0,10,4,11,6,2,638,2538,0.61,0.19,0.07,0.44,0.23,0.06,1.401,0.291,7.6,1.97,665871,2024
Anthony Banda,30,591,Maj-NL,Los Angeles,58,2,3.0,2.0,2.0,57.2,50,20,18,24,61,5,4,2.81,215,4,1,7,1,2,6,2,1,247,930,0.65,0.14,0.14,0.46,0.24,0.08,1.283,0.298,9.5,2.54,607455,2024
Tanner Banks,32,616,"Maj-AL,Maj-NL","Chicago,Philadelphia",64,2,2.0,3.0,2.0,73.1,71,42,33,25,80,6,3,4.05,282,11,1,2,3,5,14,5,4,316,1197,0.65,0.16,0.11,0.49,0.23,0.04,1.309,0.323,9.8,3.2,621383,2024
Chris Bassitt,35,628,Maj-AL,Toronto,31,31,10.0,14.0,,171.0,180,91,79,70,168,18,16,4.16,667,29,1,2,14,3,14,9,2,758,2960,0.64,0.19,0.09,0.41,0.27,0.07,1.462,0.335,8.8,2.4,605135,2024
Brady Basso,26,626,Maj-AL,Oakland,7,4,1.0,1.0,,22.1,23,10,10,5,19,3,0,4.03,87,1,0,0,1,1,2,1,1,93,350,0.64,0.17,0.11,0.42,0.19,0.09,1.254,0.303,7.7,3.8,669620,2024
Shane Baz,25,623,Maj-AL,Tampa Bay,14,14,4.0,3.0,,79.1,57,28,27,27,69,9,4,3.06,285,7,0,0,6,3,3,2,1,319,1207,0.65,0.15,0.11,0.39,0.2,0.1,1.059,0.229,7.8,2.56,669358,2024
Tristan Beck,28,623,Maj-NL,San Francisco,7,1,,,,16.0,14,3,3,4,14,2,1,1.69,61,4,0,0,0,1,0,0,0,67,242,0.68,0.17,0.1,0.33,0.19,0.1,1.125,0.261,7.9,3.5,663941,2024
Brayan Bello,25,627,Maj-AL,Boston,30,30,14.0,8.0,,162.1,157,84,81,64,153,19,11,4.49,622,31,0,0,15,5,12,2,1,702,2712,0.63,0.17,0.11,0.51,0.24,0.05,1.361,0.303,8.5,2.39,678394,2024
Valente Bellozo,24,625,Maj-NL,Miami,13,13,3.0,4.0,,68.2,69,31,28,21,44,15,2,3.67,270,14,1,1,1,2,2,1,1,295,1094,0.62,0.17,0.08,0.3,0.23,0.14,1.311,0.254,5.8,2.1,678368,2024
Jonathan Bermudez,28,640,Maj-NL,Miami,3,1,,1.0,,6.2,11,6,6,2,4,2,2,8.1,28,3,0,0,0,1,1,0,0,33,121,0.59,0.16,0.06,0.4,0.2,0.04,1.95,0.391,5.4,2.0,642834,2024
Brennan Bernardino,32,641,Maj-AL,Boston,57,3,4.0,3.0,,51.0,50,25,23,22,56,6,6,4.06,195,9,1,6,3,2,3,1,4,226,860,0.66,0.21,0.09,0.46,0.26,0.05,1.412,0.326,9.9,2.55,657514,2024
Jose Berrios,30,624,Maj-AL,Toronto,32,32,16.0,11.0,,192.1,168,79,77,54,153,31,13,3.6,714,21,4,1,21,2,12,5,4,786,2915,0.66,0.19,0.09,0.43,0.24,0.07,1.154,0.258,7.2,2.83,621244,2024
Tanner Bibee,25,602,Maj-AL,Cleveland,35,35,12.0,9.0,,189.1,169,77,73,48,203,24,11,3.47,711,45,4,1,10,7,6,6,7,778,3104,0.66,0.15,0.12,0.35,0.25,0.09,1.146,0.295,9.6,4.23,676440,2024
Osvaldo Bido,28,644,Maj-AL,Oakland,16,9,5.0,3.0,,63.1,43,25,24,26,63,3,7,3.41,224,12,0,1,4,1,6,1,1,259,1056,0.62,0.15,0.11,0.31,0.24,0.16,1.089,0.252,9.0,2.42,674370,2024
Shane Bieber,29,802,Maj-AL,Cleveland,2,2,2.0,,,12.0,10,0,0,1,20,0,0,0.0,44,4,0,0,2,0,0,0,0,45,166,0.66,0.19,0.17,0.5,0.33,0.04,0.917,0.417,15.0,20.0,669456,2024
Hunter Bigge,26,622,"Maj-AL,Maj-NL","Chicago,Tampa Bay",19,1,,,1.0,17.1,17,5,5,5,24,2,0,2.6,68,1,1,0,0,0,1,1,0,73,300,0.65,0.13,0.17,0.32,0.32,0.09,1.269,0.357,12.5,4.8,685801,2024
Hayden Birdsong,22,622,Maj-NL,San Francisco,16,16,5.0,6.0,,72.0,57,39,38,43,88,11,4,4.75,264,11,1,0,3,2,4,1,2,315,1388,0.59,0.16,0.12,0.41,0.22,0.03,1.389,0.275,11.0,2.05,806185,2024
Spencer Bivens,30,623,Maj-NL,San Francisco,27,2,3.0,1.0,1.0,48.2,47,20,17,11,37,9,1,3.14,188,7,0,1,5,1,4,0,0,202,768,0.65,0.19,0.07,0.54,0.15,0.06,1.192,0.266,6.8,3.36,702352,2024
Ty Blach,33,644,Maj-NL,Colorado,20,12,3.0,8.0,,71.1,103,55,55,18,36,17,6,6.94,301,20,1,0,9,3,1,0,1,330,1133,0.67,0.17,0.06,0.41,0.25,0.03,1.696,0.343,4.5,2.0,621389,2024
Mason Black,24,626,Maj-NL,San Francisco,9,8,1.0,5.0,,36.1,46,26,26,15,31,7,3,6.44,149,10,0,0,0,1,2,2,0,169,663,0.66,0.18,0.07,0.33,0.24,0.08,1.679,0.348,7.7,2.07,696131,2024
Paul Blackburn,30,659,"Maj-AL,Maj-NL","New York,Oakland",14,14,5.0,4.0,,75.1,76,41,39,21,59,12,3,4.66,290,14,1,0,7,1,6,2,3,316,1212,0.62,0.15,0.1,0.46,0.27,0.06,1.288,0.291,7.0,2.81,621112,2024
Bradley Blalock,23,641,Maj-NL,"Colorado,Milwaukee",7,6,1.0,3.0,,30.2,35,22,20,20,20,4,1,5.87,126,10,1,0,2,0,5,0,0,147,553,0.61,0.15,0.09,0.36,0.31,0.06,1.793,0.304,5.9,1.0,687134,2024
Ronel Blanco,30,620,Maj-AL,Houston,31,29,13.0,6.0,,169.1,115,56,52,71,170,22,2,2.76,606,26,3,0,12,5,7,3,2,686,2802,0.64,0.15,0.13,0.4,0.21,0.09,1.098,0.222,9.0,2.39,669854,2024
Jake Bloss,23,690,Maj-AL,Houston,3,3,,1.0,,11.2,16,9,9,3,11,5,0,6.94,51,1,1,0,0,0,5,0,0,55,235,0.66,0.14,0.11,0.25,0.33,0.1,1.629,0.314,8.5,3.67,814005,2024
Jonathan Bowlan,27,775,Maj-AL,Kansas City,1,1,,1.0,,2.2,6,4,4,3,3,3,0,13.5,14,0,0,0,0,0,0,0,0,17,68,0.63,0.16,0.15,0.45,0.09,0.09,3.375,0.375,10.1,1.0,680742,2024
Matt Bowman,33,623,"Maj-AL,Maj-NL","Arizona,Baltimore,Minnesota,Seattle",25,1,1.0,,,30.2,26,15,15,13,24,5,2,4.4,117,7,0,1,2,0,3,0,0,132,497,0.61,0.18,0.07,0.44,0.26,0.04,1.272,0.239,7.0,1.85,621199,2024
Matthew Boyd,33,604,Maj-AL,Cleveland,11,11,2.0,2.0,,51.1,39,17,13,19,60,4,3,2.28,190,11,0,0,1,1,5,1,3,213,850,0.65,0.16,0.15,0.36,0.26,0.08,1.13,0.276,10.5,3.16,571510,2024
Joe Boyle,24,622,Maj-AL,Oakland,13,10,3.0,6.0,,47.2,42,35,34,40,56,4,4,6.42,179,6,1,0,4,2,10,1,2,226,966,0.56,0.17,0.11,0.37,0.29,0.1,1.72,0.314,10.6,1.4,671212,2024
Cody Bradford,26,626,Maj-AL,Texas,14,13,6.0,3.0,,76.1,64,32,30,13,70,10,1,3.54,293,9,4,0,2,1,8,1,0,308,1175,0.68,0.19,0.1,0.37,0.25,0.1,1.009,0.252,8.3,5.38,674003,2024
